Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
12-Mar-2023 03:00 PM,20-Mar-2023 03:30 PM,12-Mar-2023 03:00 PM,20-Mar-2023 03:00 PM,NA ,NA ,12-Mar-2023 03:00 PM,20-Mar-2023 03:00 PM,22-Mar-2023 04:30 PM,1.0,ICICI BANK,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,500.0,Nil,Nil,No,"35,400",No,fixed,,Nil,Nil,PWD,dshala 15722-50,2023_PWD_70636_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Construction of District Treasury Office building at Dharamshala in Distt. Kangra, H.P. (Deposit work)","Sub Head- Providing and fixing wire mesh on boundary wall, precast RCC slab on drain, P/F Poly carbonate sheet and painting etc",Please refer Tender documents. ,NA ,"17,66,944",Civil Works,NA ,Tender,75.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,Er. J.S. Thakur,Internal,"Sr. DAO, Supdt.Gr-II, HDM, Tender Assisatant",Jagtar Singh Thakur,22-Mar-2023 04:27 PM,22-Mar-2023 04:30 PM,techsummary_106476.pdf (262.98 KB),PWD,2023_PWD_70636_1,dshala 15722-50,"Construction of District Treasury Office building at Dharamshala in Distt. Kangra, H.P. (Deposit work)",10-May-2023,"INR 1,237,143",90.0,Tarlok Dhiman,27-Aug-2023 11:56 AM,70636_1Sushil.pdf (512.00 KB),Shri Sushil Kumar,Er. J.S. Thakur,Internal,"Sr. DAO, Supdt.Gr-II, HDM, Tender Assisatant",Jagtar Singh Thakur,25-Mar-2023 06:46 PM,finsummary_106476.pdf (576.38 KB),1.0,335689.0,Anil Chandel,19-Mar-2023 09:08 PM,Rejected-Finance,HIGHER BIDDER,25-Mar-2023,Technical,AS PER DOCUMENTS ATTACHED,Jagtar Singh Thakur,22-Mar-2023 12:32 PM,technical_106476.pdf,1.0,336000.0,sushil kumar,INR,"1,237,143",Finance,As per document attached,Jagtar Singh Thakur,25-Mar-2023 02:35 PM,finance_106476.pdf,BOQ Comparative Chart
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,334862.0,Anuj,18-Mar-2023 09:59 AM,Rejected-Finance,HIGHER BIDDER,25-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,335733.0,Madan Lal,19-Mar-2023 01:56 PM,Rejected-Finance,HIGHER BIDDER,25-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,336000.0,sushil kumar,18-Mar-2023 05:23 PM,Accepted-AOC,L1,27-Aug-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
