S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
1.0,334228.0,Karan Raj Singh,INR,"50,517,308",Finance,Summary,Gurvachan Singh,02-May-2023 11:35 AM,finance_105265.pdf,BOQ Comparative Chart,Technical,Summary,Dinesh Kumar Dhiman,11-Apr-2023 04:53 PM,technical_105265.pdf,1.0,334413.0,ganesh,13-Mar-2023 04:04 PM,Rejected-Finance,Highest Bidder,02-May-2023,27-May-2023,"INR 48,679,469",540.0,Gurvachan Singh,27-May-2023 12:41 PM,69800_1Award.pdf (608.00 KB),Work award issued,SE Nurpur,Internal,DAO Dehra EE Dehra Divn. EE Design,Gurvachan Singh,02-May-2023 11:47 AM,finsummary_105265.pdf (463.90 KB),SE Nurpur,Internal,"DAO Dehra, EE Dehra, EE Design Nurpur",Dinesh Kumar Dhiman,11-Apr-2023 05:01 PM,12-Apr-2023 11:00 AM,techsummary_105265.pdf (16803.51 KB),PWD,2023_PWD_69800_1,SE Nurpur letter No. 8831-40 dt. 24.02.23,Construction of road from Pir Bar Satsang Ghar to Radha Swami Satsang Ghar at Beh Dhounta via Paniali i/c Causway on Dhounta Khad Km 0/0 to 7/160,Construction of road from Pir Bar Satsang Ghar to Radha Swami Satsang Ghar at Beh Dhounta via Paniali i/c Causway on Dhounta Khad Km 0/0 to 7/160,"F.C, Passing Places, R/walls, B/wall, CD works, GSB, WBM G-II, WBM G-III, Tarring work, CC. pavement, Road side drain, Parapets, Road Furniture i/c five years routine maintenance in Km 0/0 to 7/160. (Under NABARD RIDF-XXVIII",Please refer to tender documents ,NA ,"4,86,79,469",Civil Works,NA ,Tender,75.0,540.0,Dehra,177101.0,NA ,NA ,NA ,Nurpur,No ,No,"5,000",Nil,Nil,No,Superintending Engineer,9th Circle HPPWD Nurpur,03-Mar-2023 10:00 AM,14-Mar-2023 11:00 AM,03-Mar-2023 10:00 AM,13-Mar-2023 05:00 PM,NA ,NA ,03-Mar-2023 10:00 AM,13-Mar-2023 05:00 PM,12-Apr-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of document of online payment on account of Bid document as per Section 1(2),PWD,SE Nurpur letter No. 8831-40 dt. 24.02.23,2023_PWD_69800_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"9,74,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,2.0,334228.0,Karan Raj Singh,13-Mar-2023 03:55 PM,Accepted-AOC,L1,27-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of document of online payment on account of Bid security as per Section 1,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,
,,,,,,,,,,,,,,,,3.0,333281.0,M/s Bhagwati Construction Co.,13-Mar-2023 09:11 AM,Rejected-Technical,Non Responsive,11-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration certificate, Legal status as per ITB Section 2 4.2 (a)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,4.0,334551.0,rajat thakur govt contractor,13-Mar-2023 01:19 PM,Rejected-Technical,Non Responsive,11-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid Registration under EPF miscellaneous Provision Act. 1952 ITB Sec. 2(4.1.1),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,5.0,332237.0,SUBHASH CHAND,09-Mar-2023 12:09 PM,Rejected-Technical,Non Responsive,11-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,6.0,333679.0,V.B Const Co.,13-Mar-2023 01:51 PM,Rejected-Technical,Non Responsive,11-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover certificate from CA for last financial year with Profit and loss report,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate of similar Nature for last five years duly signed by the concerned Exe. Engr.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of work in hand/ existing commitments duly signed by the Executive Engineer concerned,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery/equipments with ownership/ hired /lease, buying proof.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of availability of technical Persons.,,,,,,,,,,,,,,,,,,,,,,
