Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
18-May-2023,INR 3.1857E+7,365.0,BHABANANDA DEKA,18-May-2023 05:04 PM,MMPPNA74a.pdf (303.00 KB),Awarded as L1 Bidder,Finance,Financial opened,SUSHIL KUMAR DAS,13-Mar-2023 06:28 PM,,BOQ Comparative Chart,1.0,168122.0,M S Perfect Engineering and Steel Fabrication,INR,31857000.0,Public Works Roads Department,2022_PWD_27897_74,CE/DEV/TB/235/2022-23/01,MMPPNA_22_23_74 Construction of road from (i) NH 54 Latigram to Moinagarh (Ch-2160.00 m to Ch-4760.00 M) (ii) Subong to Mikir Punjee (Ch.-0.00 m to Ch-2100.00 m) including routine maintenance for 4 (four) years under Mukhya Mantrir Paki Path Nirman,"Chief Engineer (Roads), PWRD, Assam",Internal,,BHABANANDA DEKA,13-Mar-2023 03:50 PM,13-Mar-2023 04:00 PM,techsummary_43649.pdf (491.56 KB),1,168535,Abdul Munim Borbhuiya,22-Dec-2022 01:57 PM,Rejected-AOC,Rejected,18-May-2023 05:05 PM,Technical,Verified,BHABANANDA DEKA,13-Mar-2023 03:48 PM,,"Chief Engineer (Roads), PWRD, Assam",Internal,,BHABANANDA DEKA,18-May-2023 05:01 PM,finsummary_43649.pdf (310.26 KB),AOC,1.0,SBI Bank,"7,03,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Standard Bidding Documents,"7,030",Nil,Nil,No,01-Dec-2022 06:55 PM,23-Dec-2022 02:30 PM,01-Dec-2022 06:55 PM,22-Dec-2022 02:00 PM,01-Dec-2022 06:55 PM ,14-Dec-2022 12:00 PM ,15-Dec-2022 02:00 PM,22-Dec-2022 02:00 PM,13-Mar-2023 04:00 PM,Public Works Roads Department,CE/DEV/TB/235/2022-23/01,2022_PWD_27897_74,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,MMPPNA_22_23_74 Construction of road from (i) NH 54 Latigram to Moinagarh (Ch-2160.00 m to Ch-4760.00 M) (ii) Subong to Mikir Punjee (Ch.-0.00 m to Ch-2100.00 m) including routine maintenance for 4 (four) years under Mukhya Mantrir Paki Path Nirman,MMPPNA_22_23_74 Construction of road from (i) NH 54 Latigram to Moinagarh (Ch-2160.00 m to Ch-4760.00 M) (ii) Subong to Mikir Punjee (Ch.-0.00 m to Ch-2100.00 m) including routine maintenance for 4 (four) years under Mukhya Mantrir Paki Path Nirman,Please refer Tender documents. ,NA ,"3,30,30,000",Civil Works,NA ,Tender,180.0,365.0,Borkhola,781003.0,"Development Branch, O/o the CE (Roads)PWRD, Assam  ","O/o the Chief Engineer,(Roads)PWRD, Assam , Chandmari, Guwahati-781003 ",14-Dec-2022 12:00 PM ,"Development Branch, O/o the CE (Roads)PWRD, Assam",No ,No,"Chief Engineer, Roads, PWRD","O/o the Chief Engineer,(Roads)PWRD, Assam , Chandmari, Guwahati-781003",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,167222,Aktar Hussain Laskar,21-Dec-2022 04:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Mar-2023 03:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,168243,Anamul Haque laskar,21-Dec-2022 12:52 PM,Rejected-AOC,Rejected,18-May-2023 05:05 PM,,,,,,,,,,,,AOC,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,167041,DEBOJIT DEB,19-Dec-2022 11:11 AM,Rejected-AOC,Rejected,18-May-2023 05:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,167237,Debopriya Deb,22-Dec-2022 01:28 PM,Rejected-AOC,Rejected,18-May-2023 05:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,169610,M.S. CONSTRUCTION,22-Dec-2022 01:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Mar-2023 03:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,168122,M S Perfect Engineering and Steel Fabrication,21-Dec-2022 12:09 AM,Accepted-AOC,Awarded,18-May-2023 05:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,169620,Ramish Access,22-Dec-2022 12:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,13-Mar-2023 03:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,169225,Sankar Roy,20-Dec-2022 08:12 PM,Rejected-AOC,Rejected,18-May-2023 05:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,167394,Sri Ambarish Roy,21-Dec-2022 10:48 PM,Rejected-AOC,Rejected,18-May-2023 05:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
