Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
08-May-2023,"INR 24,760,552",365.0,Pradeep Singh,09-May-2023 03:50 PM,AOC.PDF (906.00 KB),AOC No. 1578-90 dated 08/05/2023,Er. J.K. Gupta,Internal,AE Padhar DAO Supdt. HDM,Jitender Kumar,25-Feb-2023 03:41 PM,finsummary_101594.pdf (816.67 KB),Er. J.K. Gupta,Internal,AE Padhar Supdt. HDM,Jitender Kumar,10-Feb-2023 02:50 PM,16-Feb-2023 11:00 AM,techsummary_101594.pdf (476.28 KB),PWD,2023_PWD_67414_1,PW-MDI(P)Tender-NIT- 17937-72 dated 16.01.2023,Construction of Police Station building at Padhar Distt. Mandi (H.P.) under Scheme of Modernization of State Police Force 2014-15 (MPF),Finance,fbosummary,Jitender Kumar,20-Feb-2023 10:36 AM,finance_101594.pdf,BOQ Comparative Chart,1.0,318051.0,PARAS SOOD,INR,"20,204,603",Technical,summary,Jitender Kumar,01-Feb-2023 03:19 PM,technical_101594.pdf,1.0,317673.0,Hem Raj,31-Jan-2023 05:08 PM,Rejected-Finance,L-3,25-Feb-2023,PWD,PW-MDI(P)Tender-NIT- 17937-72 dated 16.01.2023,2023_PWD_67414_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of Police Station building at Padhar Distt. Mandi (H.P.) under Scheme of Modernization of State Police Force 2014-15 (MPF),"Construction of balance work of building portion including water supply and sanitary installation, septic tank, rain water harvesting system and site development",As per bid documents ,NA ,"2,47,60,552",Civil Works - Buildings,NA ,Tender,120.0,365.0,Padhar,175012.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,1.0,ICICI BANK,23-Jan-2023 11:00 AM,01-Feb-2023 11:30 AM,23-Jan-2023 11:00 AM,01-Feb-2023 10:00 AM,NA ,NA ,23-Jan-2023 11:00 AM,01-Feb-2023 10:00 AM,16-Feb-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,"5,000",Nil,Nil,No,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,"4,95,200",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,318072.0,Kumar Associates,31-Jan-2023 05:48 PM,Rejected-Finance,L-4,25-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,318372.0,Pankaj Gupta,31-Jan-2023 02:21 PM,Rejected-Finance,L-2,25-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,318051.0,PARAS SOOD,31-Jan-2023 06:08 PM,Accepted-AOC,AOC,09-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Proof of registration under EPF Employee Provident Funds and Miscellaneous provision Act, 1952",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,318205.0,PAWAN KUMAR SHANDIL,31-Jan-2023 12:52 PM,Rejected-Technical,Non-Responsive,10-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Latest ITR Return, Bid Capacity, Annual Turnover in last five years alongwith balance sheet from CA",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,
