Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No.2,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,2023_HPCDP_71916_1,F(5)-10/2023-02dt04.04.2023,"C/o Flow Irrigation Scheme Padhar to Aarang at Village Padhar, Aarang, G.P. Sanwad , Tehsil Padhar, District Mandi (H.P.).",1.0,342254.0,Raj Kumar,INR,"4,933,573",Navneet kumar sood,Internal,"Pradeep Sharma,Praveen Gupta, O.P Chauhan, Vivek Saklani",NAVNEET SOOD,21-Apr-2023 02:56 PM,finsummary_108192.pdf (48.21 KB),1.0,342239.0,GULZARI LAL,15-Apr-2023 06:53 PM,Rejected-Finance,Reject,21-Apr-2023,Navneet kumar sood,Internal,Pradeep Sharma Vivek Saklani Praveen Kumar Gupta OP Chauhan,NAVNEET SOOD,18-Apr-2023 04:40 PM,18-Apr-2023 04:45 PM,techsummary_108192.pdf (96.77 KB),01-May-2023,"INR 4,933,573",365.0,NAVNEET SOOD,15-Jun-2023 12:34 PM,Padhartoaarangawardletter.pdf (259.00 KB),Letter of Acceptance,Technical,Technical Evaluation Summary,NAVNEET SOOD,18-Apr-2023 04:35 PM,technical_108192.pdf,Finance,Finnacial Evaluation Summary,NAVNEET SOOD,21-Apr-2023 02:37 PM,finance_108192.pdf,BOQ Comparative Chart,"C/o Flow Irrigation Scheme Padhar to Aarang at Village Padhar, Aarang, G.P. Sanwad , Tehsil Padhar, District Mandi (H.P.).","C/o Flow Irrigation Scheme Padhar to Aarang at Village Padhar, Aarang, G.P. Sanwad , Tehsil Padhar, District Mandi (H.P.).",Please refer Tender documents. ,NA ,"36,16,200",Civil Works - Water Works,NA ,Tender,90.0,365.0,"Village Padhar, Aarang, G.P. Sanwad , Tehsil Padha",175005.0,"District Project Manager, HPCDP (Phase-II), JICA-O ","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.).  ",10-Apr-2023 11:00 AM ,"District Project Manager, HPCDP (Phase-II), JICA-O",No ,No,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Palampur,F(5)-10/2023-02dt04.04.2023,2023_HPCDP_71916_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"62,000",No,fixed,,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.).",1.0,DD - Demand Draft,04-Apr-2023 05:00 PM,18-Apr-2023 11:00 AM,04-Apr-2023 05:00 PM,17-Apr-2023 05:00 PM,NA ,NA ,04-Apr-2023 05:00 PM,17-Apr-2023 05:00 PM,18-Apr-2023 04:45 PM,"1,500","District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-O",No
,,,,,,,,,,,,,,,2.0,342325.0,JAGDISH CHAND,16-Apr-2023 05:02 PM,Rejected-Finance,Reject,21-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,
,,,,,,,,,,,,,,,3.0,342519.0,MADAN KATOCH,17-Apr-2023 04:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4.0,342254.0,Raj Kumar,17-Apr-2023 01:57 PM,Accepted-AOC,Accept,15-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,
