S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"18,200",Yes,fixed,,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender (Separately),PWD,PW-NCD-TA-NIQ-2023- 20141-190 dt. 31-03-2023,2023_PWD_71983_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,350.0,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,Yes,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,Restoration of Damages caused by laying of optical fiber cable on Nagchala Chakradi road km 0/00 to 3/750,Providing and laying WBM G-III for correction layer and repair of pot holes in km 0/00 to 3/665. Against cable deposit for restoration of road damages caused by laying of OFC.,Please refer Tender documents. ,NA ,"9,09,493",Civil Works,NA ,Tender,90.0,30.0,Nerchowk,175008.0,NA ,NA ,NA ,HPPWD Division Nerchowk,No ,No,06-Apr-2023 11:30 AM,17-Apr-2023 11:30 AM,06-Apr-2023 11:30 AM,17-Apr-2023 10:30 AM,NA ,NA ,06-Apr-2023 11:30 AM,17-Apr-2023 10:30 AM,03-May-2023 12:30 PM,1.0,ICICI BANK,EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt. G-II, DAO",Bhupender Pal,03-May-2023 11:06 AM,03-May-2023 12:30 PM,techsummary_108327.pdf (537.54 KB),PWD,2023_PWD_71983_2,PW-NCD-TA-NIQ-2023- 20141-190 dt. 31-03-2023,Restoration of Damages caused by laying of optical fiber cable on Nagchala Chakradi road km 0/00 to 3/750,19-May-2023,"INR 827,638",30.0,Bhupender Pal,19-May-2023 12:04 PM,Award.pdf (490.00 KB),Award Letter,EE Devi Ram Chauhan,Internal,"AE Chakkar, Supdt. G-II, DAO",Bhupender Pal,19-May-2023 12:01 PM,finsummary_108327.pdf (222.44 KB),1.0,342358.0,Amit kumar,17-Apr-2023 07:56 AM,Rejected-Finance,Being L2,19-May-2023,Technical,Technical Bid Summary,Bhupender Pal,03-May-2023 10:49 AM,technical_108327.pdf,1.0,342368.0,TEK CHAND,INR,"827,638",Finance,Financial Bid Summary,Bhupender Pal,19-May-2023 11:56 AM,finance_108327.pdf,BOQ Comparative Chart
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,.pdf,Earnest Money (Separately),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,2.0,342359.0,Ankit kumar,17-Apr-2023 08:35 AM,Rejected-Finance,Being L4,19-May-2023,,,,,,,,,,,,,,,,
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,342266.0,Prince Chauhan,16-Apr-2023 10:19 PM,Rejected-Finance,Being L3,19-May-2023,,,,,,,,,,,,,,,,
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,342368.0,TEK CHAND,17-Apr-2023 10:12 AM,Accepted-AOC,Being L1,19-May-2023,,,,,,,,,,,,,,,,
5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
