Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
28-Mar-2023 05:00 PM,04-Apr-2023 11:00 AM,28-Mar-2023 05:00 PM,04-Apr-2023 10:00 AM,NA ,NA ,28-Mar-2023 05:00 PM,04-Apr-2023 10:00 AM,04-Apr-2023 03:30 PM,"66,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,"C/O Ghollo to Nihari road km. 0/00 to 1/270 (SH C/O B/wall at Rd.0/225 to 0/240,0/330 to 0/345, R/wall at RD. 0/225 to 0/240 and V-shpe drain","C/O Ghollo to Nihari road km. 0/00 to 1/270 (SH C/O B/wall at Rd.0/225 to 0/240,0/330 to 0/345, R/wall at RD. 0/225 to 0/240 and V-shpe drain",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,90.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),"1,500",Nil,Nil,No,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,PWD,SD-I-CTR-Tender-2023- 26169 dated 25-03-2023,2023_PWD_71602_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,339766.0,Bhuvneshwar Dutt Sharma,03-Apr-2023 03:40 PM,Rejected-Finance,2nd Lowest,25-May-2023,Technical,Bid opening summary,Parveen Kumar Verma,04-Apr-2023 02:33 PM,technical_107719.pdf,Finance,Bid opening summary,Parveen Kumar Verma,06-Apr-2023 04:03 PM,finance_107719.pdf,BOQ Comparative Chart,1.0,340155.0,OM PRAKASH,INR,"3,288,845",ErParveenverma,Internal,ShSureshvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Parveen Kumar Verma,04-Apr-2023 02:34 PM,04-Apr-2023 03:30 PM,techsummary_107719.pdf (217.66 KB),PWD,2023_PWD_71602_3,SD-I-CTR-Tender-2023- 26169 dated 25-03-2023,"C/O Ghollo to Nihari road km. 0/00 to 1/270 (SH C/O B/wall at Rd.0/225 to 0/240,0/330 to 0/345, R/wall at RD. 0/225 to 0/240 and V-shpe drain",25-May-2023,"INR 3,288,845",90.0,Parveen Kumar Verma,06-Jul-2024 09:39 AM,AOC71602_3.pdf (588.00 KB),AOC,ErParveenverma,Internal,ShSureshKumarHDMShManojKumarSupdtShAnilkumarantalsrDAO,Parveen Kumar Verma,25-May-2023 02:53 PM,finsummary_107719.pdf (688.07 KB)
,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,2.0,340155.0,OM PRAKASH,03-Apr-2023 02:11 PM,Accepted-AOC,Awarded,06-Jul-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Contractor registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"email Mobile No , and Full Address",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
