Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,"39,900",No,fixed,,Nil,Nil,PWD,Nagrota 14880,2023_PWD_70923_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,500.0,Nil,Nil,No,1.0,ICICI BANK,"Metalling and Tarring on Saroot to Chaprehar road in District Kangra, (H.P.). (SH-Providing and laying 30mm thick bituminous concrete pavement in Km 0/000 to 1/700)","Metalling and Tarring on Saroot to Chaprehar road in District Kangra, (H.P.). (SH-Providing and laying 30mm thick bituminous concrete pavement in Km 0/000 to 1/700)",Please refer Tender documents. ,NA ,"19,93,590",Civil Works - Roads,NA ,Tender,120.0,30.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,16-Mar-2023 01:00 PM,24-Mar-2023 11:00 AM,16-Mar-2023 01:00 PM,24-Mar-2023 10:00 AM,NA ,NA ,16-Mar-2023 01:00 PM,24-Mar-2023 10:00 AM,28-Mar-2023 02:00 PM,PWD,2023_PWD_70923_3,Nagrota 14880,"Metalling and Tarring on Saroot to Chaprehar road in District Kangra, (H.P.). (SH-Providing and laying 30mm thick bituminous concrete pavement in Km 0/000 to 1/700)",Executive Engineer,Internal,AE Dao Supdt HDm,Ankit Kumar,28-Mar-2023 01:16 PM,28-Mar-2023 02:00 PM,techsummary_106871.pdf (951.52 KB),Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,03-Apr-2023 11:34 AM,finsummary_106871.pdf (189.21 KB),25-May-2023,"INR 1,993,590",30.0,Suresh Kumar Walia,25-Apr-2023 03:06 PM,Award.pdf (332.00 KB),Award,1.0,336729.0,VP SHARMA,INR,"2,093,270",Finance,sum,Suresh Kumar Walia,03-Apr-2023 11:33 AM,finance_106871.pdf,BOQ Comparative Chart,1.0,337397.0,NAVNEET SHARMA,23-Mar-2023 10:57 AM,Rejected-Finance,Lowest,03-Apr-2023,Technical,sum,Ankit Kumar,28-Mar-2023 01:14 PM,technical_106871.pdf
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,337625.0,Ujjawal Singh,23-Mar-2023 04:56 PM,Rejected-Finance,Lowest 3,03-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,336729.0,VP SHARMA,23-Mar-2023 10:27 AM,Accepted-AOC,Award,25-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
