Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Technical,Summary,Suresh Kaushal,03-Apr-2023 10:45 AM,,1.0,338843.0,Hemant Kumar,30-Mar-2023 02:24 PM,Rejected-Finance,L4,08-May-2023,1.0,339416.0,Hem Raj,INR,"28,818,189.89",Finance,Summary,Suresh Kaushal,07-Apr-2023 01:04 PM,,BOQ Comparative Chart,Er. S.K Dhiman EE,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur 3. Sh. Amit Naggar 4. Er. Govind Singh Thakur AE,Suresh Kumar Dhiman,08-May-2023 04:22 PM,finsummary_107397.pdf (129.04 KB),15-May-2023,"INR 28,818,189.89",365.0,Suresh Kumar Dhiman,30-May-2023 12:27 PM,AOCkholanal.pdf (262.00 KB),Detail attached,PWD,2023_PWD_71335_1,NO.PW.TLD.Tender/2022-33452-72 dt. 18.03.2023,"Construction of Additional accommodation Govt. Senior Secondary School building at Kholanal Tehsil Balichowki Distt. Mandi HP SH-Construction of building portion WS and SI rain water harvesting system septic tank, site development and approach road.",Er. S.K Dhiman EE,Internal,Sh. Keshav Ram Supdtt 2. Sh. Jagdish Kumar DHD 3. Sh. Amit Nagar DAO 4. Er. Govind Singh Thakur AE,Suresh Kumar Dhiman,06-Apr-2023 02:41 PM,06-Apr-2023 02:45 PM,techsummary_107397.pdf (259.59 KB),1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,1.0,ICICI BANK,Executive Engineer Thalout Division HPPWD Thalout,Executive Engineer Thalout Division HPPWD Thalout,"5,86,000",No,fixed,,Nil,Nil,PWD,NO.PW.TLD.Tender/2022-33452-72 dt. 18.03.2023,2023_PWD_71335_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,22-Mar-2023 05:00 PM,31-Mar-2023 11:30 AM,22-Mar-2023 05:00 PM,30-Mar-2023 05:00 PM,NA ,NA ,22-Mar-2023 05:00 PM,30-Mar-2023 05:00 PM,06-Apr-2023 02:45 PM,"5,000",Nil,Nil,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Construction of Additional accommodation Govt. Senior Secondary School building at Kholanal Tehsil Balichowki Distt. Mandi HP SH-Construction of building portion WS and SI rain water harvesting system septic tank, site development and approach road.","Construction of Additional accommodation Govt. Senior Secondary School building at Kholanal Tehsil Balichowki Distt. Mandi HP SH-Construction of building portion WS and SI rain water harvesting system septic tank, site development and approach road.",Please refer Tender documents. ,NA ,"2,92,57,052",Civil Works,NA ,Tender,120.0,365.0,Kholanal,175124.0,NA ,NA ,NA ,Executive Engineer Thalout Division HPPWD Thalout,No ,No
,,,,,2.0,339416.0,Hem Raj,29-Mar-2023 04:52 PM,Accepted-AOC,L1,30-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money as per Tender Document,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,
,,,,,3.0,339495.0,Shakti Singh,30-Mar-2023 01:10 PM,Rejected-Finance,L2,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,
,,,,,4.0,338068.0,SOHAN LAL,30-Mar-2023 11:08 AM,Rejected-Finance,L3,08-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
