Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Recommended by bid evaluation committee,Bhupendra Nath Das,09-May-2023 12:38 PM,,BOQ Comparative Chart,Technical,Technical Evaluation Summary Sheet Uploaded,Pranjal Bhattacharyya,22-Feb-2023 03:53 PM,technical_43835.pdf,Public Works Roads Department,2022_PWD_27924_143,CE/CMRDP/MMPNA/2022/11,Maint/MMPPNA/265,Chief Engineer PWD_Roads Department Assam,Internal,AEE Maintenance cell EE IBRC Branch SE Traffic Engineering Cell_ Chief Engineer PWD Roads Department Assam,Pranjal Bhattacharyya,22-Feb-2023 03:57 PM,22-Feb-2023 04:00 PM,techsummary_43835.pdf (394.20 KB),Chief_Engineer_PWD_Roads,Internal,AEE_Maintenance_cell_EE_IBRC_Branch_SE_Traffic_Engineering_Cell_ Chief Engineer_PWD _Roads_Department_Assam,Bhupendra Nath Das,09-May-2023 12:45 PM,finsummary_43835.pdf (799.04 KB),1.0,166928.0,Ariful Ahmed,INR,10976000.0,1,167732,ABDUL HASIM,20-Dec-2022 11:15 AM,Rejected-Finance,Rejected by BEC,09-May-2023 12:45 PM,09-May-2023,INR 1.0976E+7,270.0,Bhupendra Nath Das,09-May-2023 12:47 PM,AOC_pkg_no_265.pdf (341.00 KB),Awarded cost of contract,AOC,"2,43,000",Yes,fixed,,Nil,Nil,"Chief Engineer,PWD(Roads),Assam","O/o the Chief Engineer, Roads,PWRD Assam, chandmari, Guwahati-781003",02-Dec-2022 10:00 AM,21-Dec-2022 02:00 PM,02-Dec-2022 10:00 AM,20-Dec-2022 02:00 PM,02-Dec-2022 10:00 AM ,12-Dec-2022 12:00 PM ,13-Dec-2022 02:00 PM,20-Dec-2022 02:00 PM,22-Feb-2023 04:00 PM,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.pdf,Cost of Bid Document,"2,430",Nil,Nil,Yes,Maint/MMPPNA/265,Maint/MMPPNA/265 Construction of Road from Haladhibari to Kapla Bill (Baniakuchi to Haladhibari) including Routine Maintanence for 4 Years Under Mukhya Mantrir Paki Path Nirman AAachani for the year 2022-23,Please refer Tender documents. ,NA ,"1,21,53,000",Civil Works,NA ,Tender,180.0,270.0,Sarukhetri,781003.0,"O/o the Chief Engineer, Roads,PWRD Assam,chandmari ","O/o the Chief Engineer, Roads,PWRD Assam, chandmari, Guwahati-781003  ",12-Dec-2022 12:00 PM ,"O/o the Chief Engineer, Roads,PWRD Assam,chandmari",No ,No,Public Works Roads Department,CE/CMRDP/MMPNA/2022/11,2022_PWD_27924_143,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,166928,Ariful Ahmed,18-Dec-2022 01:10 AM,Accepted-AOC,Accepted by BEC,09-May-2023 12:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,167931,Aroop Hussain,18-Dec-2022 02:40 AM,Rejected-Finance,Rejected by BEC,09-May-2023 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,168312,DEBAJIT PATGIRI,20-Dec-2022 12:01 AM,Rejected-Finance,Rejected by BEC,09-May-2023 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,166791,Dilip Kumar Barman,19-Dec-2022 07:05 PM,Rejected-Finance,Rejected by BEC,09-May-2023 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,166916,Dinamani Haloi,16-Dec-2022 11:23 PM,Rejected-Finance,Rejected by BEC,09-May-2023 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Form Of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,168735,PULAKESH DUTTA,19-Dec-2022 11:00 PM,Rejected-Finance,Rejected by BEC,09-May-2023 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,168725,Sanjib Kr. Das,19-Dec-2022 06:50 PM,Rejected-Finance,Rejected by BEC,09-May-2023 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,166794,SRI BIJUMANI DEKA BARMAN,20-Dec-2022 03:22 AM,Rejected-Finance,Rejected by BEC,09-May-2023 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,166476,Sri Dhiraj Patowary,17-Dec-2022 08:29 PM,Rejected-Finance,Rejected by BEC,09-May-2023 12:45 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
