Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.3,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1.1,Corrigendum Title,Corrigendum Type,View,S.No.2,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Er.Pawan Kumar,Internal,"Ms. Akriti Aggarwal DAO, Er. Harish Chander JE, Sh. Rajender Singh Supdt Gr.II, Smt. Samriti Verma TA",Bhupender Kumar Goel,21-Apr-2023 01:29 PM,finsummary_107800.pdf (322.32 KB),17-May-2023,"INR 28,073,536",60.0,Kulbir Singh Thakur,08-Aug-2023 03:54 PM,LOA.pdf (301.00 KB),LOA,PWD,2023_PWD_71651_2,7189-7219,Maintenance of existing road Kaithlighat to Dhalli section of NH05 from Km 131/000 to Km 145/100 Km 0/000 to 24/250 and Km 153/180 to 56/500 for G 20 visit,Er.Pawan Kumar,Internal,"Ms. Akriti Agarwal DAO, Er. Harish Chander JE, Sh. Rajender Singh Supdt GrII, Smt. Samriti Verma TA",Bhupender Kumar Goel,20-Apr-2023 11:31 AM,20-Apr-2023 12:00 PM,techsummary_107800.pdf (772.99 KB),Technical,Bill opening Summar,Bhupender Kumar Goel,20-Apr-2023 11:27 AM,technical_107800.pdf,1.0,340814.0,Ajay Kumar Sood Engineers and Contractors,10-Apr-2023 09:37 PM,Accepted-AOC,Being L1,08-Aug-2023,Finance,Financial bid opening,Bhupender Kumar Goel,21-Apr-2023 01:21 PM,finance_107800.pdf,BOQ Comparative Chart,1.0,340814.0,Ajay Kumar Sood Engineers and Contractors,INR,"28,073,536",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,7189-7219,2023_PWD_71651_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Corrigendum I,Other,,1.0,DD - Demand Draft,"5,000",Executive Engineer NH Division HPPWD Solan,Solan,No,"7,32,500",No,fixed,,Executive Engineer NH Division HPPWD Solan,Solan,1.0,Fee/PreQual/Technical,.pdf,cost of tender and earnest money,Executive Engineer NH Division HPPWD Solan,Executive Engineer NH Division HPPWD Solan,Maintenance of existing road Kaithlighat to Dhalli section of NH05 from Km 131/000 to Km 145/100 Km 0/000 to 24/250 and Km 153/180 to 56/500 for G 20 visit,"C/O Breast wall at various RDs , U shape and V shape drain at various RDs , Catch pit and Parapets on Culverts in Kms 131/000 to 145/100 and 0/000 to 13/000 on Shimla Bye pass",Please refer Tender documents. ,NA ,"3,66,20,840",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,Solan,No ,No,27-Mar-2023 05:00 PM,11-Apr-2023 11:00 AM,27-Mar-2023 05:00 PM,11-Apr-2023 10:30 AM,NA ,NA ,27-Mar-2023 05:00 PM,11-Apr-2023 10:30 AM,20-Apr-2023 12:00 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341350.0,P K Construction Shimla Pvt Ltd,10-Apr-2023 05:02 PM,Rejected-Finance,Being L2,21-Apr-2023,,,,,,,,,,,,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,.pdf,contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,340625.0,Rajender Sharma,10-Apr-2023 05:49 PM,Rejected-Technical,Non-Responsive,20-Apr-2023,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,341113.0,RANDEEP CHAUHAN,11-Apr-2023 09:47 AM,Rejected-Finance,Being L3,21-Apr-2023,,,,,,,,,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/Sales Tax number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,341456.0,Vinay Thakur,11-Apr-2023 09:49 AM,Rejected-Finance,Being L4,21-Apr-2023,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tools and plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of all documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding gazetted and non gazetted employees in HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
