Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address
30-May-2023,"INR 934,025",30.0,Bhupender Singh,07-Jul-2023 11:39 AM,AOCAmit934025.pdf (514.00 KB),AOC,PKVermaE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,22-May-2023 05:21 PM,finsummary_109881.pdf (290.02 KB),ParveenKumarE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,19-May-2023 03:52 PM,19-May-2023 04:00 PM,techsummary_109881.pdf (419.01 KB),PWD,2023_PWD_73055_7,SD-III-T-1300- 1315 dt.6-5-23,"Repair Renovation to various residential buildings under Division No. III Shimla. (SH- Repair of floor, and walls, repair of cupboard, repair of roof, in block no. 20 set no.19 block no.19 set No.11 , block 24 set no.1-2 at U.S. Club Shimla).",Technical,BOS,Bhupender Singh,19-May-2023 03:50 PM,technical_109881.pdf,1.0,346714.0,Amit,15-May-2023 06:51 PM,Accepted-AOC,L1,07-Jul-2023,Finance,BOS,Bhupender Singh,19-May-2023 07:46 PM,finance_109881.pdf,BOQ Comparative Chart,1.0,346714.0,Amit,INR,"934,025","Repair Renovation to various residential buildings under Division No. III Shimla. (SH- Repair of floor, and walls, repair of cupboard, repair of roof, in block no. 20 set no.19 block no.19 set No.11 , block 24 set no.1-2 at U.S. Club Shimla).","Repair Renovation to various residential buildings under Division No. III Shimla. (SH- Repair of floor, and walls, repair of cupboard, repair of roof, in block no. 20 set no.19 block no.19 set No.11 , block 24 set no.1-2 at U.S. Club Shimla).",As per SBD ,NA ,"9,34,027",Civil Works - Bridges,NA ,Tender,75.0,30.0,U.S.Club,171002.0,NA ,NA ,NA ,"Executive Engineer Shimla Division No.IIIHP.PWD.,",No ,No,PWD,SD-III-T-1300- 1315 dt.6-5-23,2023_PWD_73055_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,10-May-2023 09:00 AM,18-May-2023 11:00 AM,10-May-2023 09:00 AM,18-May-2023 09:00 AM,NA ,NA ,10-May-2023 09:00 AM,18-May-2023 09:00 AM,19-May-2023 04:00 PM,"18,681",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),350.0,Nil,Nil,No,1.0,ICICI BANK,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,346852.0,BHARAT SINGH CHAUHAN,15-May-2023 07:12 PM,Rejected-Finance,L2,22-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-7/8,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest Income tax return,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,
