Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Executive Engineer Kasauli,Executive Engineer HPPWD Division Kasauli,"22,74,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,IFB,20-Sep-2022 11:10 AM,10-Oct-2022 11:30 AM,20-Sep-2022 11:10 AM,07-Oct-2022 04:00 PM,NA ,NA ,20-Sep-2022 11:15 AM,07-Oct-2022 04:00 PM,11-Oct-2022 12:30 PM,PWD,9802-14 dated 08.09.2022,2022_PWD_65215_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Upgradation of GharadePatta Road Stage II BhudBatolliPatta in Km 1500 to 30 300,Upgradation of GharadePatta Road Stage II BhudBatolliPatta in Km 1500 to 30 300 SH Formation cutting R walls B walls Cross Drainage work PL GSB G II G III and BC C O U Shape V Shape drain Parapets and PF sign board and Crash barrier in Km 1500 to 30,As per tender document ,NA ,"11,36,51,150",Civil Works,NA ,Tender,75.0,NA ,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,ICICI BANK,"5,000",Nil,Nil,No,Er. M.L.Sharma,Internal,Sh Dharam Singh HDM Sh Sumit Tanwar Supdt Gr-II. Sh Vikas Sharma Sr.DAO,Manohar Lal Sharma,11-Oct-2022 12:28 PM,11-Oct-2022 12:30 PM,techsummary_98177.pdf (799.37 KB),PWD,2022_PWD_65215_1,9802-14 dated 08.09.2022,Upgradation of GharadePatta Road Stage II BhudBatolliPatta in Km 1500 to 30 300,10-May-2023,"INR 113,651,150",548.0,Satish Kumar,27-Mar-2024 01:06 PM,AOC50.pdf (2669.00 KB),AOC,Er M.L.Sharma,Internal,Sh Dharam Singh HDM Sh Sumit Tanwar Supdt Gr-II Sh Vikas Sharma Sr DAO,Satish Kumar,06-May-2023 10:56 AM,finsummary_98177.pdf (772.25 KB),1.0,305936.0,Asphalt Carpet Construction Company,INR,"92,633,116",Finance,financial summary,Satish Kumar,06-May-2023 10:50 AM,finance_98177.pdf,BOQ Comparative Chart,1.0,306956.0,ashish kaushal,07-Oct-2022 02:12 PM,Rejected-Finance,Being L2,06-May-2023,Technical,technical summary,Manohar Lal Sharma,11-Oct-2022 12:22 PM,technical_98177.pdf
,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,305936.0,Asphalt Carpet Construction Company,07-Oct-2022 01:34 PM,Accepted-AOC,work in progress,27-Mar-2024,,,,,
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Financial Details ,Payment Certificates ,"Certificates pertaining to only eligible year for bidcapacity, no tds certificates acceptable, those for which turnover uploaded for Civil Works only ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Litigation Details ,Litigation Details ,Litigation Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
