Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Finance,Proceedingregardingopeningoffinancialbids,Baldev Singh,19-May-2023 02:20 PM,finance_109890.pdf,BOQ Comparative Chart,1.0,347406.0,Shivalik Construction Company,INR,"1,049,693",Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,18-May-2023 04:13 PM,technical_109890.pdf,1.0,346637.0,Atul Shrma,17-May-2023 11:28 AM,Rejected-Technical,As per Evaluation Bids,18-May-2023,25-May-2023,"INR 1,061,153",30.0,Baldev Singh,19-Sep-2023 05:58 PM,Awardletter.pdf (1207.00 KB),Awardletter,E.E. Una Division,Internal,"Supdt - A Supdt-Est. Divisional Head Draughtsman , Sr. DAO, and AE to EE",Baldev Singh,19-May-2023 02:37 PM,finsummary_109890.pdf (530.44 KB),E.E. Una Division,Internal,"Supdt - A Supdt-Est. Divisional Head Draughtsman , Sr. DAO, and AE to EE",Arvind Chaudhary,18-May-2023 04:21 PM,19-May-2023 10:00 AM,techsummary_109890.pdf (81.05 KB),PWD,2023_PWD_73066_1,Job 2 Restoration of repair on link road to Gondp,Job 2 Restoration of repair on link road to Gondpur Turf Jai Chand from Laluwal Gondpur road km.0-0 to 2-500 -Deposit work,Job 2 Restoration of repair on link road to Gondpur Turf Jai Chand from Laluwal Gondpur road km.0-0 to 2-500 -Deposit work,Job 2 Restoration of repair on link road to Gondpur Turf Jai Chand from Laluwal Gondpur road km.0-0 to 2-500 -Deposit work,Please refer to Bidding Documents ,NA ,"10,61,153",Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,1.0,ICICI BANK,"21,300",No,fixed,,Nil,Nil,PWD,Job 2 Restoration of repair on link road to Gondp,2023_PWD_73066_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,11-May-2023 09:00 AM,18-May-2023 11:00 AM,11-May-2023 09:00 AM,18-May-2023 09:00 AM,NA ,NA ,11-May-2023 09:00 AM,18-May-2023 09:00 AM,19-May-2023 10:00 AM,500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,2.0,347549.0,Balbir Singh Govt Contractor,17-May-2023 01:21 PM,Rejected-Finance,Not L-1,19-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money through online,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,347406.0,Shivalik Construction Company,17-May-2023 10:31 AM,Accepted-AOC,ok,19-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
