Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
27-May-2023,"INR 1,612,134",90.0,Suresh Kumar Dhiman,30-May-2023 01:32 PM,AOPCBouncharitosudharani.pdf (266.00 KB),Detail attached,Er. S.K. Dhiman EE,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur DHD 3. Er. Ajay Sood AE,Suresh Kumar Dhiman,25-Apr-2023 03:42 PM,finsummary_108120.pdf (431.52 KB),"Er. S.K. Dhiman, EE",Internal,Sh. Keshav Ram Supdtt 2. Sh. Jagdish Thakur DHD 3. Sh. Amit Naggar DAO 4. Sh. Govind Singh Thakur AE,Suresh Kumar Dhiman,18-Apr-2023 03:08 PM,18-Apr-2023 03:20 PM,techsummary_108120.pdf (247.98 KB),PWD,2023_PWD_71859_1,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,Periodical Maintenance on Bounchari to Sudhrani road km 0.0 to 14.500 SH Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 0.0 to 1.0 and 2.0 to 3.0 AMP for the year 2023 24 PMGSY,1.0,341529.0,AJAY PATHANIA,INR,"1,612,134",Finance,Detail attached.,Suresh Kumar Dhiman,25-Apr-2023 03:13 PM,finance_108120.pdf,BOQ Comparative Chart,Technical,Detailed summary attached,Suresh Kumar Dhiman,18-Apr-2023 03:01 PM,technical_108120.pdf,1.0,341529.0,AJAY PATHANIA,11-Apr-2023 04:42 PM,Accepted-AOC,L1,30-May-2023,1.0,ICICI BANK,Periodical Maintenance on Bounchari to Sudhrani road km 0.0 to 14.500 SH Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 0.0 to 1.0 and 2.0 to 3.0 AMP for the year 2023 24 PMGSY,Periodical Maintenance on Bounchari to Sudhrani road km 0.0 to 14.500 SH Providing and laying 30 mm thick bituminous concrete single layer and hot applied thermoplastic in km 0.0 to 1.0 and 2.0 to 3.0 AMP for the year 2023 24 PMGSY Roads.,Please refer Tender documents. ,NA ,"30,73,658",Civil Works,NA ,Tender,120.0,90.0,Sudhrani,175106.0,NA ,NA ,NA ,Executive Engineer Thalout Division HPPWD Thalout,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,04-Apr-2023 05:00 PM,13-Apr-2023 11:30 AM,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,NA ,NA ,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,18-Apr-2023 03:20 PM,PWD,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,2023_PWD_71859_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"61,500",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer Thalout Division HPPWD Thalout,"1,500",Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,341779.0,SANDEEP KUMAR SHARMA,12-Apr-2023 01:37 PM,Rejected-Finance,L2,25-Apr-2023,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per Tender Document,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
