Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"5,000",Nil,Nil,No,16-Apr-2021 10:00 AM,23-Apr-2021 11:30 AM,16-Apr-2021 10:00 AM,23-Apr-2021 11:00 AM,NA ,NA ,16-Apr-2021 10:00 AM,23-Apr-2021 11:00 AM,06-May-2021 11:30 AM,Superintending Engineer7th Circle HPPPWD Dalhousie,Superintending Engineer 7th Circle HPPPWD Dalhousie,PWD,No.SEVII/NIT/NABARD/ 117-50 dated 01/04/2021,2021_PWD_46520_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Metalling/Tarring of link road to village Sirna Km. 0/0 to 4/325 under NABARD Project-RIDF XXVI Formation cutting Retaining wall, PCC drain , parapets and Metalling and Tarring","Metalling/Tarring of link road to village Sirna Km. 0/0 to 4/325 under NABARD Project-RIDF XXVI Formation cutting Retaining wall, PCC drain , parapets and Metalling and Tarring",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,75.0,365.0,Chamba,176310.0,NA ,NA ,NA ,Superintending Engineer7th Circle HPPPWD Dalhousie,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6,"5,06,000",No,fixed,,Nil,Nil,1.0,209399.0,construction,22-Apr-2021 04:02 PM,Rejected-Finance,L2,28-Jul-2021,Technical,Bid opening Summary,Jeet Singh Thakur,27-Apr-2021 12:52 PM,technical_69962.pdf,Finance,Bid opening Summary,Jeet Singh Thakur,17-Jun-2021 04:59 PM,finance_69962.pdf,BOQ Comparative Chart,1.0,209512.0,Manesh Mehta,INR,"26,423,056",PWD,2021_PWD_46520_2,No.SEVII/NIT/NABARD/ 117-50 dated 01/04/2021,"Metalling/Tarring of link road to village Sirna Km. 0/0 to 4/325 under NABARD Project-RIDF XXVI Formation cutting Retaining wall, PCC drain , parapets and Metalling and Tarring",Executive Engineer,Internal,Assistant Engineer HDM DAO Superintendent Senior Assistant,Jeet Singh Thakur,30-Apr-2021 08:10 PM,06-May-2021 11:30 AM,techsummary_69962.pdf (1590.54 KB),Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,28-Jul-2021 04:53 PM,finsummary_69962.pdf (291.68 KB),18-May-2023,"INR 25,294,864",365.0,Rajeev Kumar,18-May-2023 11:57 AM,5273-83.pdf (1265.00 KB),"Metalling/Tarring of link road to village Sirna Km. 0/0 to 4/325 under NABARD Project-RIDF XXVI Formation cutting Retaining wall, PCC drain , parapets and Metalling and Tarring"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of Tender Form as per Section-1 Point No. 3 through online mode i.e. Scanned copy of e-Payment,,,,,,,2.0,209512.0,Manesh Mehta,23-Apr-2021 10:42 AM,Accepted-AOC,Work completed,18-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.2 through online mode i.e. Scanned copy of e-Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3(1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.2 g) and Cl 4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4A (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. as per Section-2 Cl (4.4B (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidder would like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Part II of Bid as per Section 6 a/w item rate offered by Employer Routine Maintenance asper Section7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
