S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description
1.0,341907.0,SHARMA ELECTRICAL CO.,INR,"4,280,000","Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",2023_HIMUD_71946_1,HIMUDA/EDD/W7/28-38,Construction of Integrated Command and Control Centre for Dharamshala Distt Kangra,Er. Rajni Duggal EE(E),Internal,"Er ram Krishan AE(E), Sh. Abhishek Thakur Divisional Accountant, Sh. Hans Raj JDM, Miss Reenu JOA(IT)",Ram Krishan,19-Apr-2023 04:27 PM,finsummary_108283.pdf (1564.53 KB),Technical,Bid opening SUmmary,Ram Krishan,19-Apr-2023 11:44 AM,technical_108283.pdf,Finance,Bid opening Summary,Ram Krishan,19-Apr-2023 04:21 PM,finance_108283.pdf,BOQ Comparative Chart,12-May-2023,"INR 4,280,000",150.0,Ram Krishan,17-May-2023 11:53 AM,Award.pdf (1907.00 KB),Award of Contract,1.0,341921.0,classic construction company,15-Apr-2023 06:11 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Apr-2023,Er Rajni Duggal,Internal,"Er Ram Krishan Miss Reenu JOA(IT), Sh. Hans Raj JDM, Sh. Abhishek Thakur Divisional Accountant",Ram Krishan,19-Apr-2023 11:49 AM,19-Apr-2023 12:00 PM,techsummary_108283.pdf (830.64 KB),"85,740",Yes,fixed,,Nil,Nil,Construction of Integrated Command and Control Centre for Dharamshala Distt Kangra,"Sub Head Providing Installation, Testing and Commissioning 0f 8 Pessanger 2 Nos. Elevator therein Makes Otis Thyssenkrupp Kone Schindler",Please refer Tender documents. ,NA ,"42,86,692",Electrical Works,NA ,Tender,60.0,150.0,Dharamshala Distt Kangra,176215.0,NA ,NA ,NA ,HIMUDA ELECTRICAL DIVISION DHARAMSHALA,No ,No,"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",HIMUDA/EDD/W7/28-38,2023_HIMUD_71946_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,06-Apr-2023 10:00 AM,17-Apr-2023 02:00 PM,06-Apr-2023 04:00 PM,17-Apr-2023 12:00 PM,06-Apr-2023 04:00 PM ,17-Apr-2023 12:00 PM ,06-Apr-2023 04:00 PM,17-Apr-2023 12:00 PM,19-Apr-2023 12:00 PM,"2,360",Nil,Nil,Yes,Executive Engineer Electrical,HIMUDA Electrical Division Dharamshala Distt Kangra H.P.,1.0,Fee/PreQual/Technical,.pdf,Copy of Earnest Money and Cost of Tender (As per NIT)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,342417.0,JAMWAL ELECTRICAL WORKS,17-Apr-2023 11:50 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration/Enlistment/Approval (As per NIT)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,341912.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,15-Apr-2023 04:41 PM,Rejected-Finance,Rejected,19-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN/TAN No.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,341907.0,SHARMA ELECTRICAL CO.,15-Apr-2023 04:15 PM,Accepted-AOC,Lowest Bidder,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration Certificate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate as per Condition No. 16 of From 6 of Tender Documents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Integrity Pact submitted by the Bidder as per Form No. 8 Page No. 51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Elevator of makes OTIS, THYSSENKRUPP, KONE, SCHINDLER"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
