Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
11-May-2023,"INR 771,433",30.0,Gurvachan Singh,11-May-2023 04:35 PM,68831_5Award.pdf (849.00 KB),Work award issued,EE Dehra,Internal,"HDM Supdt, DAO",Dinesh Kumar Dhiman,28-Mar-2023 03:24 PM,finsummary_103836.pdf (225.25 KB),EE Dehra,Internal,"HDM, Supdt, DAO",Dinesh Kumar Dhiman,04-Mar-2023 01:27 PM,04-Mar-2023 01:30 PM,techsummary_103836.pdf (1655.93 KB),PWD,2023_PWD_68831_5,EE Dehra letter No. 11076-81 dt. 13.02.2023,Improvement of Blackspot on Bassi to sunhet road Km. 00/00 to 11/600,Technical,Summary,Dinesh Kumar Dhiman,04-Mar-2023 01:02 PM,technical_103836.pdf,1.0,328091.0,ashish chaudhry,23-Feb-2023 03:12 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,1.0,328187.0,M/S Surjeet Singh Govt. Contractor,INR,"617,207",Finance,Summary,Dinesh Kumar Dhiman,28-Mar-2023 03:12 PM,finance_103836.pdf,BOQ Comparative Chart,350.0,Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,1.0,ICICI BANK,PWD,EE Dehra letter No. 11076-81 dt. 13.02.2023,2023_PWD_68831_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,000",No,fixed,,Nil,Nil,Improvement of Blackspot on Bassi to sunhet road Km. 00/00 to 11/600,"Providing and Fixing W-metal Beam Crash Barrier at RD.6/400 to 6/500, 7/450 to 7/500 and 9/250 to 9/300",Please refer to tender documents ,NA ,"7,71,433",Civil Works,NA ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,16-Feb-2023 10:00 AM,24-Feb-2023 11:30 AM,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,NA ,NA ,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,04-Mar-2023 01:30 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328187.0,M/S Surjeet Singh Govt. Contractor,23-Feb-2023 04:06 PM,Accepted-AOC,L1,11-May-2023,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,327814.0,RAJ KUMAR,23-Feb-2023 11:45 AM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,328149.0,RAJNIKANT,23-Feb-2023 02:29 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,325619.0,VISHAL DHIMAN GOVT CONTRACTOR,21-Feb-2023 01:49 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
