Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description
Executive Engineer,Internal,Superintendent G-II DAO HDM,Rattan Kumar Sharma,02-May-2023 10:35 AM,finsummary_102394.pdf (948.97 KB),PWD,2023_PWD_67967_10,Sangrah 11646-71 dated 31.01.2023-2,C/O and M/T on Link Road Village Kalath to Dhal Paliyara (Dada Khilor Via Begrath) G.P Rajana Km. 0/00 to 5/00 (SH - 5/7 mtr wide formation cutting from Km. 2/360 to 3/760) Under SCSP,26-May-2023,"INR 1,623,336",180.0,Rattan Kumar Sharma,31-May-2023 11:34 AM,08.pdf (544.00 KB),AOC,1.0,322736.0,vijay singh,INR,"1,623,336",Technical,SUMMARY,Rattan Kumar Sharma,17-Feb-2023 11:54 AM,technical_102394.pdf,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,22-Feb-2023 10:17 AM,22-Feb-2023 10:30 AM,techsummary_102394.pdf (581.65 KB),1.0,323287.0,JAIPAL THAKUR CONTARCTOR,14-Feb-2023 10:50 PM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,Finance,SUMMARY,Rattan Kumar Sharma,01-May-2023 04:27 PM,finance_102394.pdf,BOQ Comparative Chart,04-Feb-2023 05:00 PM,15-Feb-2023 10:30 AM,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,NA ,NA ,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,22-Feb-2023 10:30 AM,1.0,ICICI BANK,C/O and M/T on Link Road Village Kalath to Dhal Paliyara (Dada Khilor Via Begrath) G.P Rajana Km. 0/00 to 5/00 (SH - 5/7 mtr wide formation cutting from Km. 2/360 to 3/760) Under SCSP,C/O and M/T on Link Road Village Kalath to Dhal Paliyara (Dada Khilor Via Begrath) G.P Rajana Km. 0/00 to 5/00 (SH - 5/7 mtr wide formation cutting from Km. 2/360 to 3/760) Under SCSP,Please refer Tender documents. ,NA ,"23,18,904",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,500.0,Nil,Nil,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah","46,400",No,fixed,,Nil,Nil,PWD,Sangrah 11646-71 dated 31.01.2023-2,2023_PWD_67967_10,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,323280.0,RAJESH KUMAR,15-Feb-2023 08:45 AM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,322858.0,Tika Ram,14-Feb-2023 02:19 PM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,322736.0,vijay singh,15-Feb-2023 06:25 AM,Accepted-AOC,AOC,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,323331.0,Vikram Chauhan,14-Feb-2023 10:22 PM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY
