S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1.0,DD - Demand Draft,"2,600",No,fixed,,EE HPPWD Baijnath,Baijnath,"A/R and M/O Various Road under Baijnath sub Division, HPPWD Baijnath",Hiring of Tractor with Trolley,Please refer Tender documents. ,NA ,"1,26,000",Civil Works - Others,NA ,Tender,60.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,22-Mar-2023 02:00 PM,28-Mar-2023 11:30 AM,22-Mar-2023 02:00 PM,28-Mar-2023 11:00 AM,NA ,NA ,22-Mar-2023 02:00 PM,28-Mar-2023 11:00 AM,10-Apr-2023 11:00 AM,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,350.0,EE HPPWD Baijnath,Baijnath,No,PWD,PWD-BD-TA-2022-23-21310-61,2023_PWD_71399_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,PWD,2023_PWD_71399_1,PWD-BD-TA-2022-23-21310-61,"A/R and M/O Various Road under Baijnath sub Division, HPPWD Baijnath",Xen HPPWD Baijnath,Internal,"HDM, SupdtGII, DAO, AE Baijnath",Sanjiv Kumar,04-Apr-2023 03:43 PM,10-Apr-2023 11:00 AM,techsummary_107473.pdf (275.50 KB),Xen HPPWD Baijnath,Internal,"DAO, HDM, SupdtGII AE Baijnath",Sanjiv Kumar,24-May-2023 12:04 PM,finsummary_107473.pdf (333.06 KB),24-May-2023,"INR 126,000",60.0,Sanjiv Kumar,24-May-2023 12:04 PM,AwardTrollyBaij.PDF (347.00 KB),1.0,338300.0,Krishan Kumar,27-Mar-2023 06:09 PM,Rejected-Finance,Higher Side,24-May-2023,Technical,Four bidders participated in this tender and found responsive.,Sanjiv Kumar,04-Apr-2023 03:42 PM,technical_107473.pdf,1.0,338881.0,Shashi Kumar,INR,"89,498",Finance,Financial Bid open successfully,Sanjiv Kumar,24-May-2023 12:01 PM,finance_107473.pdf,BOQ Comparative Chart
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,2.0,338252.0,Shalabh Awasthi,25-Mar-2023 04:40 PM,Rejected-Finance,Higher Side,24-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,3.0,338881.0,Shashi Kumar,27-Mar-2023 05:34 PM,Accepted-AOC,Lower Side,24-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,4.0,338933.0,Suvindu Soni,28-Mar-2023 10:46 AM,Rejected-Finance,Higher Side,24-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
