Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
23-Feb-2023 09:00 AM,01-Mar-2023 11:30 AM,23-Feb-2023 09:00 AM,01-Mar-2023 10:00 AM,23-Feb-2023 09:00 AM ,01-Mar-2023 10:00 AM ,23-Feb-2023 09:00 AM,01-Mar-2023 10:00 AM,07-Mar-2023 11:30 AM,PWD,PW-SKT-CB-Tender/2022-23 15834-37 dt 08.02.2023,2023_PWD_69504_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,"Executive Engineer, Sarkaghat Division, HP.PWD. Sarkaghat",Periodic Maintenance on Padasala Hawani Bandropa Road Km. 0/0 to 3/0,(SH- Providing and laying Tack Coat bituminous concrete 30mm thick including profile correction in Km. 2/0 to 3/0 ) AMP Year 2022-23,Please refer Tender documents. ,NA ,"15,82,160",Civil Works - Roads,NA ,Rate Contract,90.0,30.0,Sarkaghat,175024.0,NA ,NA ,NA ,Sarkaghat,No ,No,500.0,Nil,Nil,No,"31,650",No,fixed,,Nil,Nil,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,"Executive Engineer-Chairman,",Internal,"Assistant Engineer Bhaderwar - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Chuni Lal Sharma,04-Mar-2023 03:21 PM,07-Mar-2023 11:30 AM,techsummary_104847.pdf (1317.05 KB),PWD,2023_PWD_69504_1,PW-SKT-CB-Tender/2022-23 15834-37 dt 08.02.2023,Periodic Maintenance on Padasala Hawani Bandropa Road Km. 0/0 to 3/0,17-May-2023,"INR 1,582,160",30.0,Chuni Lal Sharma,17-May-2023 07:36 PM,69504.PDF (3047.00 KB),Work Awarded to contractor,"Executive Engineer-Chairman,",Internal,"Assistant Engineer Bhaderwar - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Chuni Lal Sharma,21-Mar-2023 03:58 PM,finsummary_104847.pdf (2113.29 KB),1.0,330200.0,Kamlesh Kumar Negi,01-Mar-2023 01:07 AM,Rejected-Finance,L4,21-Mar-2023,Technical,Admitted,Chuni Lal Sharma,01-Mar-2023 12:57 PM,,1.0,330146.0,PRATEEK THAKUR GOVT CONTRACTOR,INR,"1,634,845",Finance,Admitted,Chuni Lal Sharma,07-Mar-2023 01:15 PM,,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,2.0,330212.0,M/S Chauhan Civil Structure Co. Pvt. Ltd.,01-Mar-2023 09:31 AM,Rejected-Finance,L2,21-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration General Rule,,,,,,,,,,,,,,,,,,,,,,,,,3.0,330146.0,PRATEEK THAKUR GOVT CONTRACTOR,01-Mar-2023 09:10 AM,Accepted-AOC,Work Awarded,17-May-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule,,,,,,,,,,,,,,,,,,,,,,,,,4.0,329995.0,Roshan Lal,01-Mar-2023 09:14 AM,Rejected-Finance,L5,21-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand and Work Done certificate General Rule,,,,,,,,,,,,,,,,,,,,,,,,,5.0,330123.0,Vijay Kumar,28-Feb-2023 08:11 PM,Rejected-Finance,L3,21-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 7/8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
