Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Verified,MRIDUL TALUKDAR,15-Feb-2023 02:37 PM,,"Chief Engineer (Roads), PWRD, Assam",Internal,,BHABANANDA DEKA,18-May-2023 02:20 PM,finsummary_44371.pdf (280.29 KB),Public Works Roads Department,2022_PWD_27897_438,CE/DEV/TB/235/2022-23/01,"MMPPNA_22_23_438 Construction of road from (i) Patia chuburi pwd road (harigaon masjid) to ranga pukhuri par, (ii) Napaam village road near Tezpur university campus area including routine maintenance for 4 (four) years under Mukhya Mantrir Paki Path",1.0,169364.0,Smt MADHUSMITA HAZARIKA DEKA,INR,11576000.0,1,167899,BIKRAM NATH,21-Dec-2022 02:01 PM,Rejected-AOC,Rejected,18-May-2023 02:29 PM,18-May-2023,INR 1.1576E+7,270.0,BHABANANDA DEKA,18-May-2023 02:27 PM,MMPPNA438a.pdf (256.00 KB),Awarded as L1 Bidder,"Chief Engineer (Roads), PWRD, Assam",Internal,,MRIDUL TALUKDAR,15-Feb-2023 02:39 PM,15-Feb-2023 03:00 PM,techsummary_44371.pdf (300.36 KB),Finance,financial opened,SUSHIL KUMAR DAS,15-Feb-2023 07:55 PM,,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Standard Bidding Documents,"Chief Engineer, Roads, PWRD","O/o the Chief Engineer,(Roads)PWRD, Assam , Chandmari, Guwahati-781003","2,56,000",Yes,fixed,,Nil,Nil,05-Dec-2022 09:55 AM,23-Dec-2022 02:30 PM,05-Dec-2022 09:55 AM,22-Dec-2022 02:00 PM,05-Dec-2022 09:55 AM ,14-Dec-2022 12:00 PM ,15-Dec-2022 02:00 PM,22-Dec-2022 02:00 PM,15-Feb-2023 03:00 PM,Public Works Roads Department,CE/DEV/TB/235/2022-23/01,2022_PWD_27897_438,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"2,560",Nil,Nil,No,"MMPPNA_22_23_438 Construction of road from (i) Patia chuburi pwd road (harigaon masjid) to ranga pukhuri par, (ii) Napaam village road near Tezpur university campus area including routine maintenance for 4 (four) years under Mukhya Mantrir Paki Path","MMPPNA_22_23_438 Construction of road from (i) Patia chuburi pwd road (harigaon masjid) to ranga pukhuri par, (ii) Napaam village road near Tezpur university campus area including routine maintenance for 4 (four) years under Mukhya Mantrir Paki Path",Please refer Tender documents. ,NA ,"1,24,30,000",Civil Works,NA ,Tender,180.0,270.0,Tezpur,781003.0,"Development Branch, O/o the CE (Roads)PWRD, Assam  ","O/o the Chief Engineer,(Roads)PWRD, Assam , Chandmari, Guwahati-781003 ",14-Dec-2022 12:00 PM ,"Development Branch, O/o the CE (Roads)PWRD, Assam",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,2,170014,HADI PAVERB CONSTRUCTION,22-Dec-2022 10:58 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Feb-2023 02:37 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,168653,JAI MAA KAMAKHYA INFRASTRUCTURE,22-Dec-2022 03:53 AM,Rejected-AOC,Rejected,18-May-2023 02:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,169842,Mrigen Baruah,22-Dec-2022 03:19 AM,Rejected-AOC,Rejected,18-May-2023 02:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,169035,M/S SAIKIA ENTERPRISE,22-Dec-2022 11:55 AM,Rejected-AOC,Rejected,18-May-2023 02:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,169987,M/S UDIPTA KUMAR BORAH,22-Dec-2022 05:15 AM,Rejected-AOC,Rejected,18-May-2023 02:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,166951,PABITRA SAIKIA,21-Dec-2022 07:10 PM,Rejected-AOC,Rejected,18-May-2023 02:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,168718,Pitambar Bora,19-Dec-2022 05:00 PM,Rejected-AOC,Rejected,18-May-2023 02:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,168088,Prabrajya Preet Bhuyan,20-Dec-2022 04:13 AM,Rejected-AOC,Rejected,18-May-2023 02:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,169619,RANA MAHAJAN,22-Dec-2022 12:59 AM,Rejected-AOC,Rejected,18-May-2023 02:29 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
