Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"1,200",Nil,Nil,No,1.0,ICICI BANK,SRMO Glen Hogen building at Directorate of Elementary Education Shimla (HP) (SH- Painting and distempering).,(SH- Painting and distempering).,Please refer Tender documents. ,NA ,"9,27,249",Civil Works,NA ,Tender,120.0,120.0,Shimla,171001.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,HP SIDC Limited,Job No. 11,2023_SIDC_71513_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,24-Mar-2023 11:00 AM,01-Apr-2023 11:00 AM,24-Mar-2023 11:00 AM,31-Mar-2023 05:00 PM,NA ,NA ,24-Mar-2023 11:00 AM,31-Mar-2023 05:00 PM,18-Apr-2023 03:10 PM,Executive Engineer,HPSIDC Shimla,"18,600",No,fixed,,Nil,Nil,18-May-2023,"INR 595,321",120.0,Sushant Singh Negi,27-Sep-2023 12:38 PM,mitterdev.pdf (1863.00 KB),Award letter,1.0,339324.0,Mitter Dev Sharma,INR,"595,321",EE,Internal,"DM, Manager (F), AE(HQ)",Sushant Singh Negi,19-Apr-2023 12:45 PM,finsummary_107607.pdf (43.84 KB),HP SIDC Limited,2023_SIDC_71513_1,Job No. 11,SRMO Glen Hogen building at Directorate of Elementary Education Shimla (HP) (SH- Painting and distempering).,Finance,Financial summary,Sushant Singh Negi,19-Apr-2023 12:30 PM,finance_107607.pdf,BOQ Comparative Chart,Technical,Tender summary,Sushant Singh Negi,18-Apr-2023 03:00 PM,technical_107607.pdf,EE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,18-Apr-2023 03:06 PM,18-Apr-2023 03:10 PM,techsummary_107607.pdf (1376.59 KB),1,339166,Abhijeet Sharma,28-Mar-2023 03:15 PM,Rejected-Finance,Sixth lowest bidder,19-Apr-2023
,,.pdf,Signed copy of agreement form and approved make for materials,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,339411,babu ram,31-Mar-2023 12:54 PM,Rejected-Finance,Seventh lowest bidder,19-Apr-2023
,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,339802,BALDEV SINGH THAKUR,31-Mar-2023 01:18 PM,Rejected-Finance,14th lowest bidder,19-Apr-2023
,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,339875,Kaku Ram,31-Mar-2023 04:32 PM,Rejected-Finance,8th lowest bidder,19-Apr-2023
,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,339324,Mitter Dev Sharma,31-Mar-2023 04:01 PM,Accepted-AOC,AOC,27-Sep-2023
,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,339548,M Pandit,30-Mar-2023 12:56 PM,Rejected-Finance,Third lowest bidder,19-Apr-2023
,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,339841,MUKESH KUMAR,31-Mar-2023 03:14 PM,Rejected-Finance,4th lowest bidder,19-Apr-2023
,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,338759,Pawan Kumar,28-Mar-2023 03:47 PM,Rejected-Finance,Second lowest bidder,19-Apr-2023
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,339778,Rajesh Sharma,31-Mar-2023 12:44 PM,Rejected-Finance,Tenth lowest bidder,19-Apr-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,339674,RAJINDER,31-Mar-2023 03:37 PM,Rejected-Finance,Fifth lowest bidder,19-Apr-2023
