S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,ICICI BANK,Executive Engineer Jal Shakti Division Bhoranj,Jal Shakti Division Bhoranj,"86,420",Yes,fixed,,EE JSV Bhoranj,EE JSV Bhoranj,"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP",EE.BHJ.tender-22-1360-1420 DT 31-05-22,2022_HPIPH_61291_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Both(Online/Offline),No,No,No,Providing drinking water facilities to Harizan Basti of village Mundkhar Gainda Mundkhar Tulsi Kangri and Talai in Tehsil Bhoranj,"(Construction of Raw water tank of 105000 Ltr capacity, Sedimentation Tank of 40000 Ltr capacity filter Beds of three units of 10.00 M2 each Clear water tank of 105000 Ltr. capacity Pump house of 30.08 Sqmt area and Main storage tank of 10500",Please refer Tender documents. ,NA ,"53,91,296",Civil Works,NA ,Tender,120.0,90.0,Executive Engineer Jal Shakti Division Bhoranj,176045.0,NA ,NA ,NA ,Executive Engineer Jal Shakti Division Bhoranj,No ,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,800.0,EE JSV Bhoranj,EE JSV Bhoranj,No,31-May-2022 05:00 PM,09-Jun-2022 11:30 AM,31-May-2022 05:30 PM,08-Jun-2022 04:00 PM,NA ,NA ,31-May-2022 05:30 PM,08-Jun-2022 04:00 PM,09-Jun-2022 06:05 PM,24-May-2023,"INR 4,248,799",90.0,OM Parkash Bhardwaj,24-May-2023 11:55 AM,AOC.pdf (413.00 KB),AOC,Technical,proceeding,OM Parkash Bhardwaj,09-Jun-2022 05:22 PM,technical_92524.pdf,Finance,proceeding,OM Parkash Bhardwaj,23-May-2023 03:46 PM,finance_92524.pdf,BOQ Comparative Chart,1,285890,Ajay Kumar,08-Jun-2022 01:54 PM,Rejected-AOC,accept,24-May-2023,Executive Enineer,Internal,Tender Assistant Superintendent Head Draughtsman,OM Parkash Bhardwaj,09-Jun-2022 06:04 PM,09-Jun-2022 06:05 PM,techsummary_92524.pdf (291.78 KB),Executive Engineer,Internal,Tender Assistant Superintendent Head Draughtsman,OM Parkash Bhardwaj,23-May-2023 03:59 PM,finsummary_92524.pdf (291.78 KB),1.0,285674.0,VINAY KUMAR SHARDA,INR,"4,248,799","HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP",2022_HPIPH_61291_1,EE.BHJ.tender-22-1360-1420 DT 31-05-22,Providing drinking water facilities to Harizan Basti of village Mundkhar Gainda Mundkhar Tulsi Kangri and Talai in Tehsil Bhoranj
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,285833,Akhilesh Chaudhary,08-Jun-2022 10:10 AM,Rejected-AOC,accept,24-May-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,285828,AVINASH THAKUR,08-Jun-2022 08:57 AM,Rejected-AOC,accept,24-May-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN No GST, EPF Income Tax Return",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,285703,Dogra Construction Company Pvt Ltd,07-Jun-2022 01:45 PM,Rejected-AOC,accept,24-May-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,285822,M/s.Pawan Kumar Sharma,07-Jun-2022 09:44 PM,Rejected-Technical,Exemption not valid,09-Jun-2022,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,285681,Priyanka Rana Govt. Contractor,07-Jun-2022 12:14 PM,Rejected-AOC,accept,24-May-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,285918,Rajat Attri,08-Jun-2022 02:48 PM,Rejected-AOC,accept,24-May-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,285768,Rama Shankaer,07-Jun-2022 04:57 PM,Rejected-Technical,Exemption not valid,09-Jun-2022,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,285928,Sanat Sharma,08-Jun-2022 03:56 PM,Rejected-AOC,accept,24-May-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,285925,VINAY KUMAR GOVT CONT,08-Jun-2022 03:11 PM,Rejected-AOC,accept,24-May-2023,,,,,,,,,,,,,,,,,,,,,,
