S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,322913.0,SB Trading company,INR,"33,537,294",HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2023_HPIPH_68700_1,11429-78 dated 10.02.2023,Providing Lift Irrigation Scheme from Beas River to Village Tandoo Mehar Pakhari Dawarduand Bhatog in Tehsil Sadar Distt.Mandi HP,Er Rohit Dubey SE,Internal,"Er. Satya Sharma EE D, Er. Vivek Hazri EEEr. Anju Deve AE D, Bishan Dutt Sharma CHD, Sh. Dharmender Kumar Supdt W",Vivek Hazri,17-May-2023 10:28 AM,finsummary_103506.pdf (6710.47 KB),Er. Rohit Dubey SE,Internal,"Er. Satya Sharma EE (D), Er. Vivek Hazri EE, Er. Dinesh Rana AE (D), Sh. Bushan Dutt Sharma CHD, Sh. Dharmender Singh Supdt (W)",Vivek Hazri,01-Mar-2023 03:59 PM,01-Mar-2023 04:00 PM,techsummary_103506.pdf (986.28 KB),1,326160,GANTANTAR THAKUR,21-Feb-2023 04:49 PM,Rejected-Finance,Higher rate quoted,17-May-2023,17-May-2023,"INR 37,300,017",365.0,Vivek Hazri,17-May-2023 10:39 AM,awardS.pdf (5785.00 KB),Work awarded to the Lowest Contractor,Finance,Eleven bidder BOQ and comparative chart downloaded successfully.,Vivek Hazri,01-Mar-2023 04:13 PM,finance_103506.pdf,BOQ Comparative Chart,Technical,Eleven bidder are eligible for opening the financial bid,Vivek Hazri,01-Mar-2023 03:56 PM,technical_103506.pdf,"2,500",EE Padhar,Padhar,No,Providing Lift Irrigation Scheme from Beas River to Village Tandoo Mehar Pakhari Dawarduand Bhatog in Tehsil Sadar Distt.Mandi HP,SH Supply and errection of Pumping Machinery with allied accessories and Providing Laying Jointing Testing and Carriage MSERW pipe in Rising Main and Construction Thrust Block,Please refer Tender documents. ,NA ,"3,73,00,017",Pumps/Motors,NA ,Tender,150.0,365.0,Tandoo,175002.0,NA ,NA ,NA ,Executive Engineer JS Division Padhar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scan copy of cost of tender form if offline or proof if online,Executive Engineer JS Division Padhar,Executive Engineer JS Division Padhar,"4,06,000",Yes,fixed,,EE Padhar,Padhar,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,11429-78 dated 10.02.2023,2023_HPIPH_68700_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,1.0,Corrigendum,Date,,10-Feb-2023 05:00 PM,22-Feb-2023 11:30 AM,10-Feb-2023 05:00 PM,21-Feb-2023 05:00 PM,NA ,NA ,10-Feb-2023 05:00 PM,21-Feb-2023 05:00 PM,01-Mar-2023 04:00 PM
,,,,,,,,,,,,,,,,,,,,,,2,325488,MNBN Enterprises,21-Feb-2023 04:57 PM,Rejected-Finance,Higher rate quoted,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of cost of EMD if offline or proof of EMD if online,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Office Order,Other,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3,325589,Naresh Kumar,21-Feb-2023 11:21 AM,Rejected-AOC,Higher rate quoted,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scan copy of GST, PAN No. and Income tax registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4,322722,SANGRAM NAIK,20-Feb-2023 10:24 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of enlistment with Jal Shakti Vibhag in appropriate class as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5,326280,sanjeev govt cont,21-Feb-2023 04:35 PM,Rejected-Finance,Higher rate quoted,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of undertaking that I have carefully studies all term and condition as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,326208,Saurabh Vasudeva,21-Feb-2023 02:54 PM,Rejected-Finance,Higher rate quoted,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of DSC authorization as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7,322913,SB Trading company,14-Feb-2023 03:20 PM,Accepted-AOC,Lowest,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of undertaking if use exemption as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8,326330,Shashank Jagota Govt. Contractor,21-Feb-2023 04:47 PM,Rejected-Finance,Higher rate quoted,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of the similar nature of work issued by an officer not below the rank of Executive Engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,9,321581,SS RANA CONSTRUCTION PRIVATE LIMITED,21-Feb-2023 02:50 PM,Rejected-Finance,Higher rate quoted,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Curve Chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,10,326067,Sushant Puri,21-Feb-2023 04:48 PM,Rejected-Finance,Higher rate quoted,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,11,322625,Tek Singh Raghav,20-Feb-2023 10:34 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,12,325803,UEE Electrical Engineers Pvt Ltd,21-Feb-2023 04:59 PM,Rejected-Finance,Higher rate quoted,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,13,323777,Universal Electric Engineers,18-Feb-2023 06:43 PM,Rejected-Finance,Higher rate quoted,17-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
