S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Stage
1.0,Revocation,"Without prejudice anything the admittance /Non admittances of tender, NIT No. B/GLP/DFO(T)/CAMPA/e-Tender/2022/5645 dtd.27/09/2022 is getting revoked due technical un knowingness because this step has been taken as technical evaluation while the tech",06-Jan-2023 07:52 PM,CorrigendumCAMPAtender.pdf ,647.72,Technical Opening,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forestes (T) (Lower Assam Zone)||Central Assam Circle||Goalpara Division,2022_PCCF_27210_1,B/GLP/DFO(T)/ETender/2022/5645,Construction of Assam Type Forester Barrack House under CAMPA Scheme,1,159139,Alokesh Bhuyan,20-Oct-2022 12:23 PM,Accepted-AOC,Lowest qualified bidder,12-May-2023 11:53 AM,AOC,910.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Technical Document part I,Pr. Chief Conservator of Forest and Head of Forest Force||Chief Conservator of Forestes (T) (Lower Assam Zone)||Central Assam Circle||Goalpara Division,B/GLP/DFO(T)/ETender/2022/5645,2022_PCCF_27210_1,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,28-Sep-2022 03:00 PM,21-Oct-2022 01:00 PM,28-Sep-2022 03:00 PM,20-Oct-2022 03:00 PM,NA ,NA ,30-Sep-2022 03:30 PM,20-Oct-2022 03:00 PM,07-Jan-2023 12:00 PM,Construction of Assam Type Forester Barrack House under CAMPA Scheme,Construction of Assam Type Forester Barrack House under CAMPA Scheme,Please refer Tender documents. ,NA ,"45,06,238",Civil Works - Building,NA ,Tender,150.0,90.0,Ambari under Lakhipur Range,783129.0,DFO Goalpara Division ,"Divisional Forest Officer, Goalpara Forest Division (T), Baladmari, Goalpara ",30-Sep-2022 11:00 AM ,DFO Goalpara Division Office,No ,No,"90,125",Yes,percentage,2.0%,Nil,Nil,DFO T Goalpara Forest Division,"Divisional Forest Officer, Goalpara Forest Division (T), Baladmari, Goalpara",1.0,SBI Bank,AOC
,,,,,,,,,,,2,160137,BIKRAM MALAKAR,18-Oct-2022 04:55 PM,Rejected-Technical,Disqualified due to no Liquid asset and Net worth certificate. Lack of Experience,06-Jan-2023 11:18 PM,AOC,,,,,,,.pdf,Technical Document Part II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,3,160092,JYOTI CONSTRO COMMERCIALS,19-Oct-2022 10:22 PM,Rejected-Technical,Disqualified due to no Net Worth certificate and Liquid asset based on 31/03/2022 information,06-Jan-2023 11:18 PM,AOC,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,4,159917,LOHIT TALUKDAR,20-Oct-2022 11:35 AM,Rejected-Technical,"Disqualified due to no Liquid asset and Net worth certificate, Cast Certificate not readable",06-Jan-2023 11:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,5,160136,MRINAL KANTI RAY,18-Oct-2022 03:56 PM,Rejected-Technical,Disqualified due to non UIDN Liquid asset and Net worth certificate,06-Jan-2023 11:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,6,160231,M/S Sai Industries,20-Oct-2022 11:19 AM,Rejected-Technical,Disqualified due to no Liquid asset and Net worth certificate,06-Jan-2023 11:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,7,160144,Rahul Nath,18-Oct-2022 08:33 PM,Rejected-Technical,Disqualified due to no Liquid asset Certificate,06-Jan-2023 11:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,8,160262,SAIJI ENTERPRISE,20-Oct-2022 01:02 PM,Rejected-Technical,"Disqualified due to no Liquid asset, Net Worth and Turnover certificate, No Field Visit certificate",06-Jan-2023 11:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,9,160224,SAMIM AKHTER CHOUDHURY,20-Oct-2022 01:22 PM,Rejected-Technical,Disqualified due to no forest registration and no field visit certificate. Liquid asset bassed on 31/03/2022 information,06-Jan-2023 11:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,10,160194,Sri Dhireswar Nath,19-Oct-2022 03:29 PM,Rejected-Technical,Disqualified due to Liquid asset certificate not uptodate. (Liquid asset issued on 15/06/2022),06-Jan-2023 11:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
