Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nalagarh,Irrigation and Public Health,HP",2023_HPIPH_67366_1,15426-86 dated 20-01-2023,Source Strengthening of Various LWSS under JSV Sub Division Nalagarh in Tehsil Nalagarh District Solan HP,1.0,320687.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,INR,"316,500,256",Er. Anju Sharma,Internal,Zonal Level Committee South Zone Shimla HP,Puneet Sharma,31-May-2023 12:40 PM,finsummary_101534.pdf (4130.52 KB),Technical,Downloaded documents checked in Zonal level meeting four bidder participated in the tender in which one bidder M/S MCC power project did not qualify as per eligibility criteria of NIT and other three bidder found in order,Puneet Sharma,25-Feb-2023 01:11 PM,technical_101534.pdf,Finance,Financial bid opened successfully,Puneet Sharma,25-Feb-2023 03:44 PM,finance_101534.pdf,BOQ Comparative Chart,31-May-2023,"INR 237,589,435",548.0,Puneet Sharma,31-May-2023 12:44 PM,AOC.pdf (1244.00 KB),Works awarded to MS Hill Constructionand Engineering Co. RO Reg Cross Road Sunny Side Solan Teh. and Distt. Solan HP,1.0,320687.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,07-Feb-2023 02:32 PM,Accepted-AOC,Awarded to Lowest bidder L-1,31-May-2023,Er. Anju Sharma,Internal,Zonal level committee Shimla Zone,Puneet Sharma,25-Feb-2023 01:13 PM,25-Feb-2023 01:15 PM,techsummary_101534.pdf (1119.08 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nalagarh,Irrigation and Public Health,HP",15426-86 dated 20-01-2023,2023_HPIPH_67366_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,1.0,Fee,.pdf,Bid security as per tender documents,20-Jan-2023 04:30 PM,08-Feb-2023 11:30 AM,20-Jan-2023 04:30 PM,08-Feb-2023 11:00 AM,NA ,NA ,03-Feb-2023 10:00 AM,08-Feb-2023 11:00 AM,25-Feb-2023 01:15 PM,"23,75,894",No,fixed,,Executive Enginner JSV Division Nalagarh,Nalagarh,Executive Engineer,Executive Engineer JSV Division Nalagarh District Solan (HP),Source Strengthening of Various LWSS under JSV Sub Division Nalagarh in Tehsil Nalagarh District Solan HP,Sub Head Providing Laying jointing and commissioning of MSERW pipe 80 and 65 mm dia of class L 210 and L 245 Providing laying GMS pipe Medium and High 125mm 80 mm 65 mm 50mm and 40 mm dia in Rising main construction of 27 No Pump house construction,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,180.0,548.0,Nalagarh,174101.0,Enginer-in-Chief JSV Tutikandi Shimla HP ,Engineer-in-Chief JSV Deptt. Tutikandi Shimla-5 HP ,03-Feb-2023 12:30 PM ,JSV Division Nalagarh,No ,No,"2,500",Executive Engineer JSV Division Nalagarh,Nalagarh,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320863.0,MCC POWER PROJECTS PVT. LTD.,08-Feb-2023 10:24 AM,Not Admitted-PreQual/Technical,Not Complied with technical specification,25-Feb-2023,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of bid forms as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,320132.0,R.G. INDUSTRIES,08-Feb-2023 09:18 AM,Rejected-Finance,Higher Amount,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Registration with JSV and EPF Registration as per NIT as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,320780.0,Unipro Techno Infrastructure Pvt Ltd,07-Feb-2023 04:30 PM,Rejected-Finance,Higher Amount,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual financial turnover and Similar nature work experience as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN GST ITR and authorization of DSC as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking for acceptance of tender documents and BOQ etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Make / Model of pumping machinery alongwith characteristics curve as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Flow diagram of complete scheme as per site conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other related documents etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
