Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"Procurement of PCC Poles of sizes8M, 9M and 9.75M","Procurement of PCC Poles of sizes8M, 9M and 9.75M",As per NIT ,EMD amount for HP based firm registered with HPSEBL is Nil and for others is Rs.224395.00 ,"2,24,39,470",Electrical Work/ Equipment,PCC poles ,Tender,120.0,180.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL, Shimla",No ,No,"2,24,395",Yes,fixed,,Nil,Nil,HPSEBL,CE(MM)-18/2022,2022_HPSEB_64639_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,1.0,Fee,.pdf,Proof of tender fee,1.0,Extension of critical dates,Date,,1.0,ICICI BANK,Chief Engineer MM,"HPSEBL, Vidyut Bhawan Shimla 171004.","1,180",Nil,Nil,No,07-Sep-2022 05:00 PM,15-Oct-2022 11:30 AM,07-Sep-2022 05:00 PM,14-Oct-2022 12:00 PM,NA ,NA ,08-Sep-2022 10:00 AM,14-Oct-2022 12:00 PM,04-Nov-2022 11:30 AM,29-May-2023,"INR 3,505,227",180.0,Suraj Pandey,29-May-2023 04:23 PM,AwardsummaryPCCPole.pdf (255.00 KB),"P.O. No-L-30-15573-83 dated 29.03.2023 has been awarded to the firm M/s K.B.Industries, Sujanpur(Pb) amounting to Rs.3505227.00",Technical,Technical Bid opening Summary,Suraj Pandey,15-Oct-2022 12:37 PM,technical_97288.pdf,Finance,Price bid opening summary T E 18 2022,Suraj Pandey,04-Nov-2022 12:42 PM,finance_97288.pdf,BOQ Comparative Chart,1.0,301711.0,K B INDUSTRIES,18-Sep-2022 06:02 PM,Accepted-AOC,quoted L-I prices,29-May-2023,Sr. Executive Engineer Civil,Internal,Assistant Engineer Sr. Account officer under Secretary,Suraj Pandey,03-Nov-2022 04:45 PM,04-Nov-2022 11:30 AM,techsummary_97288.pdf (348.16 KB),Chief Engineer (MM),Internal,Sr. Executive Engineer(C) A.E. and Under Secretary,Suraj Pandey,29-May-2023 04:19 PM,finsummary_97288.pdf (254.52 KB),HPSEBL,2022_HPSEB_64639_1,CE(MM)-18/2022,"Procurement of PCC Poles of sizes8M, 9M and 9.75M",1.0,301711.0,K B INDUSTRIES,INR,"3,505,227"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,300970.0,Kreative Concrete Industries,20-Sep-2022 09:02 PM,Rejected-AOC,Not quoted L-I prices,29-May-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"Renewed BIS Certificate, ISO certi., GST registration certi., PAN Card copy, ITR, GST clearance cer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and Type test reports of offered material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Plant Machinery Testing Equipments used for routine test to be carried out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheet of last three years, Last three years turn over duly certified by CA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
