Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description
Finance,Bid Opening summary,Deepak Mahajan,28-Apr-2023 03:23 PM,finance_103083.pdf,BOQ Comparative Chart,1.0,324012.0,Des Raj Basant,INR,"1,030,763",Technical,Bid Opening summary,Deepak Mahajan,03-Mar-2023 05:37 PM,technical_103083.pdf,1,323527,Akhtar Hussaun,17-Feb-2023 07:25 AM,Rejected-Finance,Other Than Lowest,28-Apr-2023,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,28-Apr-2023 04:01 PM,finsummary_103083.pdf (895.57 KB),27-May-2023,"INR 1,030,763",90.0,Deepak Mahajan,04-Oct-2023 03:53 PM,AL.pdf (788.00 KB),Award letter,PWD,2023_PWD_68433_2,EE Salooni letter No. 13463-13513 dated 02-02-2023,Construction of Jeep-able link road from Bani to village Shishla K.M. 0/0 to 1/850,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,03-Mar-2023 05:45 PM,07-Mar-2023 11:30 AM,techsummary_103083.pdf (1687.15 KB),08-Feb-2023 05:00 PM,17-Feb-2023 11:30 AM,08-Feb-2023 05:00 PM,17-Feb-2023 11:00 AM,NA ,NA ,08-Feb-2023 05:00 PM,17-Feb-2023 11:00 AM,07-Mar-2023 11:30 AM,1.0,ICICI BANK,PWD,EE Salooni letter No. 13463-13513 dated 02-02-2023,2023_PWD_68433_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"29,500",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,500.0,Nil,Nil,No,Construction of Jeep-able link road from Bani to village Shishla K.M. 0/0 to 1/850,Formation cutting at R.D. 0/0 to 1/0 and construction of wire crate for dumping site,Please refer Tender documents. ,NA ,"14,72,519",Civil Works,NA ,Tender,75.0,90.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment
,,,,,,,,,,,,,,,,2,324576,Arvind Thakur,16-Feb-2023 09:12 PM,Rejected-Finance,Other Than Lowest,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment
,,,,,,,,,,,,,,,,3,322969,Ashiq Mohd,16-Feb-2023 09:27 PM,Rejected-Finance,Other Than Lowest,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid)
,,,,,,,,,,,,,,,,4,324012,Des Raj Basant,15-Feb-2023 08:39 PM,Accepted-AOC,Work completed,04-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. and copy of GSTR-3B of last preceding month or quarter as the case may be attached
,,,,,,,,,,,,,,,,5,324323,HANS RAJ,16-Feb-2023 12:07 PM,Rejected-Finance,Other Than Lowest,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number
,,,,,,,,,,,,,,,,6,324407,HIMTECH CONSTRUCTION CO,16-Feb-2023 01:52 PM,Rejected-Finance,Other Than Lowest,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor"
,,,,,,,,,,,,,,,,7,322917,Kehar Singh,15-Feb-2023 08:52 PM,Rejected-Finance,Other Than Lowest,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct)
,,,,,,,,,,,,,,,,8,324671,Keso Ram,16-Feb-2023 10:58 PM,Rejected-Finance,Other Than Lowest,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit/Undertaking regarding not having two works in hand at the time of bid
,,,,,,,,,,,,,,,,9,324644,Mohd. Ashraf,16-Feb-2023 10:42 PM,Rejected-Finance,Other Than Lowest,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity
,,,,,,,,,,,,,,,,10,324069,MUNISH KUMAR,15-Feb-2023 07:45 PM,Rejected-Finance,Other Than Lowest,28-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
