Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
04-Feb-2023 05:00 PM,15-Feb-2023 10:30 AM,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,NA ,NA ,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,22-Feb-2023 10:30 AM,PWD,Sangrah 11646-71 dated 31.01.2023-2,2023_PWD_67967_22,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",Various roads under SCDP Sangrah Division HPPWD Sangrah. (SH - Supply and Stacking road Sign Boards)under SCDP,Various roads under SCDP Sangrah Division HPPWD Sangrah. (SH - Supply and Stacking road Sign Boards)under SCDP,Please refer Tender documents. ,NA ,"2,11,427",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"4,300",No,fixed,,Nil,Nil,1.0,ICICI BANK,350.0,Nil,Nil,No,Finance,SUMMARY,Rattan Kumar Sharma,02-Mar-2023 03:58 PM,finance_102423.pdf,BOQ Comparative Chart,1.0,323476.0,JAI PRAKASH,15-Feb-2023 09:17 AM,Rejected-Finance,L2,04-Mar-2023,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,21-Feb-2023 03:16 PM,22-Feb-2023 10:30 AM,techsummary_102423.pdf (572.87 KB),Technical,SUMMARY,Rattan Kumar Sharma,17-Feb-2023 12:01 PM,technical_102423.pdf,1.0,322783.0,Som Prakash,INR,"211,485",01-May-2023,"INR 211,485",180.0,Rattan Kumar Sharma,01-May-2023 04:18 PM,173.pdf (2550.00 KB),AOC,PWD,2023_PWD_67967_22,Sangrah 11646-71 dated 31.01.2023-2,Various roads under SCDP Sangrah Division HPPWD Sangrah. (SH - Supply and Stacking road Sign Boards)under SCDP,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,04-Mar-2023 11:48 AM,finsummary_102423.pdf (206.65 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,2.0,322783.0,Som Prakash,14-Feb-2023 02:16 PM,Accepted-AOC,AOC,01-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
