Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.1.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
29-May-2023,"INR 388,438",30.0,Chuni Lal Sharma,29-May-2023 01:25 PM,AOC.PDF (1208.00 KB),Work Awarded to the contractor,"Executive Engineer-Chairman,",Internal,"Assistant Engineer Sarkaghat - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Chuni Lal Sharma,29-May-2023 12:53 PM,finsummary_104909.pdf (860.18 KB),"Executive Engineer-Chairman,",Internal,"Assistant Engineer Bhaderwar - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Chuni Lal Sharma,04-Mar-2023 04:18 PM,07-Mar-2023 11:30 AM,techsummary_104909.pdf (1351.08 KB),PWD,2023_PWD_69544_1,PW-SKT-CB-Tender/2022-23 15738-40 dt - 08.02.2023,Construction of Kalthari Tikkari Ropa Thathar Batail Road Km. 0/0 to 7/300,Finance,Admitted,Chuni Lal Sharma,07-Mar-2023 12:49 PM,,BOQ Comparative Chart,1.0,329725.0,MAJDOOR VIKAS SANGH,INR,"355,420",Technical,Admitted,Chuni Lal Sharma,28-Feb-2023 03:48 PM,,1.0,329725.0,MAJDOOR VIKAS SANGH,27-Feb-2023 08:10 PM,Accepted-AOC,Work Award,29-May-2023,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Construction of Kalthari Tikkari Ropa Thathar Batail Road Km. 0/0 to 7/300,"(SH- Construction of R/wall in PCC 1-5-10 at RD 1/725 to 1/750 and v- shape drain Km. 0/030 to 0/280, 1/660 to 1/705 and 1/720 to 1/765) SCSP",Please refer Tender documents. ,NA ,"3,88,438",Civil Works - Roads,NA ,Rate Contract,90.0,30.0,SKT,170524.0,NA ,NA ,NA ,SKT,No ,No,PWD,PW-SKT-CB-Tender/2022-23 15738-40 dt - 08.02.2023,2023_PWD_69544_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,23-Feb-2023 01:15 PM,28-Feb-2023 03:00 PM,23-Feb-2023 01:15 PM,28-Feb-2023 01:20 PM,23-Feb-2023 01:15 PM ,28-Feb-2023 01:20 PM ,23-Feb-2023 01:15 PM,28-Feb-2023 01:20 PM,07-Mar-2023 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,1.0,ICICI BANK,Executive Engineer,"Executive Engineer, Sarkaghat Division, HP.PWD. Sarkaghat","8,000",No,fixed,,Nil,Nil,350.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328649.0,Rattan Verma,28-Feb-2023 01:10 PM,Rejected-Technical,Not Qualified for opening of financial bid (Part-II of bid),04-Mar-2023,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,329692.0,Ravinder Kumar,27-Feb-2023 07:25 PM,Rejected-Finance,L 2,29-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration General Rule,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand and Work Done certificate General Rule,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 7/8 duly signed by Contractor,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,
