Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No.2,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
29-May-2023,"INR 5,496,614",30.0,Sanjay Katoch,29-May-2023 02:42 PM,AMPBaru.pdf (772.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,18-May-2023 01:36 PM,finsummary_107260.pdf (643.20 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,05-Apr-2023 12:36 PM,06-Apr-2023 11:30 AM,techsummary_107260.pdf (745.56 KB),PWD,2023_PWD_71221_1,AMP Baru Tapre road km 0/0 to 4/0,Annual Maintenance Plan for the year 2023-24 on PMGSY road under Lambloo Sub-Division,Technical,Attached,Sanjay Katoch,29-Mar-2023 06:06 PM,technical_107260.pdf,1.0,337918.0,anil thakur,26-Mar-2023 03:17 PM,Rejected-Finance,l2,18-May-2023,1.0,339072.0,MSC Roads and Bridges Private Limited,INR,"5,496,613.6",Finance,Attached,Sanjay Katoch,18-May-2023 01:33 PM,finance_107260.pdf,BOQ Comparative Chart,"97,300",No,fixed,,Nil,Nil,PWD,AMP Baru Tapre road km 0/0 to 4/0,2023_PWD_71221_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,20-Mar-2023 06:00 PM,29-Mar-2023 11:30 AM,20-Mar-2023 06:00 PM,29-Mar-2023 10:30 AM,NA ,NA ,20-Mar-2023 06:00 PM,29-Mar-2023 10:30 AM,06-Apr-2023 11:30 AM,Annual Maintenance Plan for the year 2023-24 on PMGSY road under Lambloo Sub-Division,SH Providing and laying Tack Coat 30mm thick bituminous concrete 80mm thick paver blocks etc. in Baru Tapre road km 0/0 to 4/0,Please refer Tender documents. ,NA ,"64,76,510",Civil Works - Roads,NA ,Tender,60.0,NA ,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,Corrigendum,Date,,1.0,ICICI BANK,"2,000",Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,339034.0,MOHINDER PAL GOVT. CONTRACTOR,28-Mar-2023 05:50 PM,Rejected-Finance,l3,18-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,2.0,ICICI NEFT/RTGS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,339072.0,MSC Roads and Bridges Private Limited,28-Mar-2023 07:31 PM,Accepted-AOC,l1,29-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per SBD 1.2.1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,338175.0,Piar Chand Chauhan,25-Mar-2023 04:23 PM,Rejected-Finance,l4,18-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,having NOC from HP State Pollution Control Board.,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,
