Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
590.0,Nil,Nil,No,1.0,ICICI BANK,HPSEBL||CE(OP) South||SE(OP) Solan,08-2023-24,2023_HPSEB_72573_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,08-2023-24,E Tender on partial turnkey basis for Prov and Erection of 11 KV HT Line 3 Ph LT Line 11 4 KV 250 KVA SStn and 11 KV Metering Equipment for prov SOP to LWSS Mittian Behli Khaliar 1st Stage along with Augmentation of 2 Nos 11 4 KV 63 KVA SStn with 11,A-Class Electrical License with Chief Electrical Inspector Shimla ,NA ,"11,23,452",Electrical Works,HT DTR LT ,Tender,180.0,90.0,Solan,173211.0,NA ,NA ,NA ,"SE (OP) Circle, HPSEBL, Solan",No ,No,1.0,Fee/PreQual/Technical,.pdf,Proof of EMD and Tender Fees,29-Apr-2023 10:00 AM,09-May-2023 11:30 AM,29-Apr-2023 10:10 AM,08-May-2023 04:00 PM,29-Apr-2023 10:15 AM ,30-Apr-2023 12:00 PM ,30-Apr-2023 12:05 PM,08-May-2023 04:00 PM,16-May-2023 04:30 PM,Superintending Engineer,"SE (OP) Circle, HPSEBL,Solan Power House Road Saproon Solan","11,235",No,fixed,,Nil,Nil,Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,31-May-2023 10:55 AM,finsummary_109150.pdf (562.09 KB),1.0,345096.0,VINAY KUMAR SHARMA,INR,"825,737",HPSEBL||CE(OP) South||SE(OP) Solan,2023_HPSEB_72573_1,08-2023-24,08-2023-24,1.0,345742.0,ABS ENTERPRISES,08-May-2023 02:33 PM,Rejected-Finance,Rejected,31-May-2023,Superintending Engineer,Internal,Committee member detail uploaded,Mohan Singh Guleria,16-May-2023 04:29 PM,16-May-2023 04:30 PM,techsummary_109150.pdf (562.09 KB),Technical,Committee member detail uploaded,Mohan Singh Guleria,09-May-2023 12:22 PM,technical_109150.pdf,Finance,Committee member detail uploaded,Mohan Singh Guleria,16-May-2023 04:47 PM,finance_109150.pdf,BOQ Comparative Chart,31-May-2023,"INR 825,737",90.0,Mohan Singh Guleria,31-May-2023 11:12 AM,Award082023.pdf (5469.00 KB),Detail awarded uploaded
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A-Class Electrical License with Chief Electrical Inspector Shimla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,344651.0,Aman Electrical,30-Apr-2023 09:07 PM,Rejected-Finance,Rejected,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BID Capacity/Turnover Certificate with CA Certified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,345825.0,sai venktesh engineering works,08-May-2023 03:31 PM,Rejected-Technical,Rejected,16-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,345129.0,SANJEEV KUMAR,04-May-2023 05:19 PM,Rejected-Finance,Rejected,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,345096.0,VINAY KUMAR SHARMA,08-May-2023 09:09 AM,Accepted-AOC,Awarded,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate/completion certificate as per SBD Volume-I, Section-III, Clause No. 1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit for Blacklisting/Change of ownership/litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPFO/ESI No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture if applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
