EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"87,600",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,PW-JD/E-Tender/2022-23 -7204-06 DT. 9.9.2022,2022_PWD_64957_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Jubbal,HPPWD JUBBAL,500.0,Nil,Nil,No,14-Sep-2022 04:00 PM,21-Sep-2022 11:30 AM,14-Sep-2022 04:00 PM,20-Sep-2022 06:00 PM,NA ,NA ,14-Sep-2022 04:00 PM,20-Sep-2022 06:00 PM,23-Sep-2022 01:00 PM,Construction of link road from Prounthi(Kalonthi) to Jhal km. 0/00 to 1/500.,"C/O Breast wall and Retaining wall at various Rds and Hume pipe culverts 900mm dia with 3mtr. Both side wing wall at Rd.0/060,0/480,0/600 and 1/015",Please refer Tender documents. ,NA ,"53,32,283",Civil Works - Roads,NA ,Tender,120.0,60.0,JUBBAL,171205.0,NA ,NA ,NA ,JUBBAL,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,23-Sep-2022 12:53 PM,23-Sep-2022 01:00 PM,techsummary_97713.pdf (365.25 KB),PWD,2022_PWD_64957_1,PW-JD/E-Tender/2022-23 -7204-06 DT. 9.9.2022,Construction of link road from Prounthi(Kalonthi) to Jhal km. 0/00 to 1/500.,17-May-2023,"INR 5,475,893",60.0,Virender Rajta,17-May-2023 01:30 PM,555.pdf (782.00 KB),Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,23-Sep-2022 02:37 PM,finsummary_97713.pdf (436.88 KB),1.0,302339.0,Arun Negi,INR,"5,475,893",Finance,2 Nos of bids received.,Tarsem Singh,23-Sep-2022 02:34 PM,finance_97713.pdf,BOQ Comparative Chart,1.0,302339.0,Arun Negi,20-Sep-2022 11:51 AM,Accepted-AOC,OK,17-May-2023,Technical,2 Nos of bids received,Tarsem Singh,23-Sep-2022 12:41 PM,technical_97713.pdf
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,302472.0,BUILDWELL CONSTRUCTION,20-Sep-2022 03:07 PM,Rejected-Finance,ok,23-Sep-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
