Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
"Development of Medical Device Park at Nalagarh Distt. Solan (HP). (SH- Construction of Innovation, rapid prototyping Lab, Gamma Radiation lab, Centre for bio-material and EMC Lab).","(SH- Construction of Innovation, rapid prototyping Lab, Gamma Radiation lab, Centre for bio-material and EMC Lab).",Please refer Tender documents. ,NA ,"29,53,65,064",Civil Works - Buildings,NA ,Tender,120.0,360.0,MDP Nalagarh,174101.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,"5,900",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,HPSIDC Shimla,HP SIDC Limited,Job No. 1,2023_SIDC_71922_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"59,07,300",No,fixed,,Nil,Nil,1.0,Corrigendum III,Date,,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),05-Apr-2023 04:00 PM,25-Apr-2023 11:00 AM,05-Apr-2023 04:00 PM,24-Apr-2023 05:00 PM,NA ,NA ,05-Apr-2023 04:00 PM,24-Apr-2023 05:00 PM,10-May-2023 11:00 AM,29-May-2023,"INR 263,248,447",360.0,Sushant Singh Negi,02-Jun-2023 11:07 AM,emclabaward.pdf (3393.00 KB),Award letter,1.0,342698.0,Dinesh Kumar Sharma Const. (P) Ltd,INR,"263,248,447",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,16-May-2023 10:42 AM,finsummary_108200.pdf (116.21 KB),HP SIDC Limited,2023_SIDC_71922_1,Job No. 1,"Development of Medical Device Park at Nalagarh Distt. Solan (HP). (SH- Construction of Innovation, rapid prototyping Lab, Gamma Radiation lab, Centre for bio-material and EMC Lab).",Finance,Financial summary,Sushant Singh Negi,10-May-2023 11:37 AM,finance_108200.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,09-May-2023 05:30 PM,10-May-2023 11:00 AM,techsummary_108200.pdf (407.19 KB),Technical,Bid summary,Sushant Singh Negi,25-Apr-2023 01:44 PM,technical_108200.pdf,1.0,342698.0,Dinesh Kumar Sharma Const. (P) Ltd,24-Apr-2023 04:11 PM,Accepted-AOC,AOC,02-Jun-2023
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum II,Other,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,342921.0,H. C. Bansal Engg. & Contt.,24-Apr-2023 03:35 PM,Rejected-Finance,Forth lowest bidder,16-May-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,342478.0,PYRAMID BUILDERS,24-Apr-2023 11:37 AM,Rejected-Finance,Third lowest bidder,16-May-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,341760.0,UNIPRO,24-Apr-2023 11:36 AM,Rejected-Finance,Second lowest bidder,16-May-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Complete details of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup) and bid capacity and others required documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
