Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name
EE Dehra,Internal,"HDM,Supdt,DAO",Dinesh Kumar Dhiman,28-Mar-2023 03:33 PM,finsummary_103840.pdf (239.56 KB),11-May-2023,"INR 769,640",30.0,Gurvachan Singh,11-May-2023 04:39 PM,68831_6Award.pdf (849.00 KB),Work Award Issued,PWD,2023_PWD_68831_6,EE Dehra letter No. 11076-81 dt. 13.02.2023,Improvement of Blackspot on Gopipur to Chamukha road Km. 00/00 to 6/00,EE Dehra,Internal,"HDM, Supdt, DAO",Dinesh Kumar Dhiman,04-Mar-2023 01:29 PM,04-Mar-2023 01:35 PM,techsummary_103840.pdf (1698.78 KB),Technical,Summary,Dinesh Kumar Dhiman,04-Mar-2023 01:03 PM,technical_103840.pdf,1.0,328056.0,ashish chaudhry,23-Feb-2023 03:13 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,1.0,325605.0,M/S Surjeet Singh Govt. Contractor,INR,"615,764",Finance,Summary,Dinesh Kumar Dhiman,28-Mar-2023 03:14 PM,finance_103840.pdf,BOQ Comparative Chart,16-Feb-2023 10:00 AM,24-Feb-2023 11:30 AM,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,NA ,NA ,16-Feb-2023 10:00 AM,23-Feb-2023 06:00 PM,04-Mar-2023 01:35 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,350.0,Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,PWD,EE Dehra letter No. 11076-81 dt. 13.02.2023,2023_PWD_68831_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,000",No,fixed,,Nil,Nil,Improvement of Blackspot on Gopipur to Chamukha road Km. 00/00 to 6/00,Providing and Fixing W-metal Beam Crash Barrier at RD.2/500 to 2/600 and 2/800 to 2/900,Please refer to tender documents ,NA ,"7,69,640",Civil Works,NA ,Tender,75.0,30.0,Dehra,177710.0,NA ,NA ,NA ,Dehra,No ,No,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,325605.0,M/S Surjeet Singh Govt. Contractor,23-Feb-2023 04:21 PM,Accepted-AOC,L1,11-May-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,327864.0,RAJ KUMAR,23-Feb-2023 11:50 AM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,324603.0,RAJ KUMAR,21-Feb-2023 09:41 AM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,328159.0,RAJNIKANT,23-Feb-2023 02:55 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments under Dehra Division.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,325622.0,VISHAL DHIMAN GOVT CONTRACTOR,21-Feb-2023 01:21 PM,Rejected-Finance,Highest Bidder,28-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
