Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description
26-May-2023,"INR 1,999,942.7",180.0,Rattan Kumar Sharma,31-May-2023 11:35 AM,09.pdf (543.00 KB),AOC,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,02-May-2023 10:38 AM,finsummary_102380.pdf (985.98 KB),Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,22-Feb-2023 10:42 AM,22-Feb-2023 11:00 AM,techsummary_102380.pdf (577.50 KB),PWD,2023_PWD_67967_2,Sangrah 11646-71 dated 31.01.2023-2,C/O Link Road Village Mandbag to Chushoti Km. 0/00 to 3/500(SH - Jeepable to motorable road from RD. 0/435 to 1/675 and C/O 900mm dia HPC at Rd. 0/705) under SCSP,Technical,SUMMARY,Rattan Kumar Sharma,17-Feb-2023 11:40 AM,technical_102380.pdf,1.0,323469.0,BHARAT BHUSHAN,15-Feb-2023 09:43 AM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,Finance,SUMMARY,Rattan Kumar Sharma,01-May-2023 04:26 PM,finance_102380.pdf,BOQ Comparative Chart,1.0,322853.0,Tika Ram,INR,"1,999,942.7",C/O Link Road Village Mandbag to Chushoti Km. 0/00 to 3/500(SH - Jeepable to motorable road from RD. 0/435 to 1/675 and C/O 900mm dia HPC at Rd. 0/705) under SCSP,C/O Link Road Village Mandbag to Chushoti Km. 0/00 to 3/500(SH - Jeepable to motorable road from RD. 0/435 to 1/675 and C/O 900mm dia HPC at Rd. 0/705) under SCSP,Please refer Tender documents. ,NA ,"28,57,061",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,1.0,ICICI BANK,PWD,Sangrah 11646-71 dated 31.01.2023-2,2023_PWD_67967_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",04-Feb-2023 05:00 PM,15-Feb-2023 10:30 AM,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,NA ,NA ,04-Feb-2023 05:00 PM,15-Feb-2023 10:00 AM,22-Feb-2023 11:00 AM,"57,200",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,323412.0,JAIPAL THAKUR CONTARCTOR,14-Feb-2023 10:57 PM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,323282.0,RAJESH KUMAR,15-Feb-2023 08:38 AM,Rejected-Finance,In draw of lots not found the lowest bidder.,02-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.4. GST NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,322853.0,Tika Ram,14-Feb-2023 02:15 PM,Accepted-AOC,AOC,31-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY
