Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
Sr. Executive Engineer II,Internal,Assistant Engineer Junior Engineer,Suraj Pandey,08-Dec-2022 04:13 PM,09-Dec-2022 11:30 AM,techsummary_100051.pdf (200.49 KB),1.0,309110.0,Bhatinda Ceramics Pvt. Ltd.,20-Oct-2022 02:46 PM,Accepted-AOC,Awarded for Disc Ins. 11KV 45KN CD 320mm and 40mm 11KV 90KN CD 400mm,25-May-2023,Finance,Price bid opening summary,Suraj Pandey,25-May-2023 05:19 PM,finance_100051.pdf,BOQ Comparative Chart,Technical,Techno-commercial bid opening Summary,Suraj Pandey,29-Oct-2022 03:15 PM,technical_100051.pdf,25-May-2023,"INR 11,706,533.96",180.0,Suraj Pandey,25-May-2023 05:40 PM,AwardSummary.pdf (403.00 KB),"Three Awards has been placed to M/s Bhatinda Ceramics (P) Ltd, M/s R.R. Industries and M/s Taruna Dechome Pvt. Ltd. on dated 20.03.2023 amounting to Rs. 11706533.96",HPSEBL,2022_HPSEB_66529_1,CE(MM)-21/2022,Procurement of Porcelain Insulators of different types and ratings,1.0,308877.0,TARUNA DECHOME PVT. LTD.,INR,"3,130,453.64",Sr. Executive Engineer III,Internal,"Assistant engineer, Under secretary and Account officer",Suraj Pandey,25-May-2023 05:35 PM,finsummary_100051.pdf (403.10 KB),Chief Engineer MM,"Office of Chief Engineer MM, HPSEBL, Vidyut Bhawan, Shimla-04","1,18,131",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Procurement of Porcelain Insulators of different types and ratings,Procurement of Porcelain Insulators of different types and ratings,As per NIT ,EMD for registered HP based local units is NIl and for others is Rs. 118131 ,"1,18,13,090",Electrical Work/ Equipment,Porcelain Insulators ,Tender,120.0,180.0,"Office of Chief Engineer MM, HPSEBL",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL",No ,No,14-Oct-2022 11:30 AM,29-Oct-2022 11:30 AM,14-Oct-2022 11:30 AM,28-Oct-2022 12:00 PM,NA ,NA ,14-Oct-2022 11:30 AM,28-Oct-2022 12:00 PM,09-Dec-2022 11:30 AM,HPSEBL,CE(MM)-21/2022,2022_HPSEB_66529_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,1.0,Fee,.pdf,Proof of Tender Fee,"1,180",Nil,Nil,No
,,,,,,,2.0,309209.0,R.R. INDUSTRIES,25-Oct-2022 05:27 PM,Accepted-AOC,Awarded for 11KV Disc Ins. 90KN CD-320mm,25-May-2023,,,,,,,,,,,,,,,,,,,,,,,2.0,309110.0,Bhatinda Ceramics Pvt. Ltd.,INR,"5,336,167.89",,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,,,,
,,,,,,,3.0,309988.0,Sharda Ceramics Pvt. Ltd.,27-Oct-2022 07:10 PM,Rejected-Technical,Due to Non- Submission of documents as per NIT,08-Dec-2022,,,,,,,,,,,,,,,,,,,,,,,3.0,309209.0,R.R. INDUSTRIES,INR,"3,239,912.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Renewed BIS certificate and Renewed ISO certificate,,,,
,,,,,,,4.0,308877.0,TARUNA DECHOME PVT. LTD.,28-Oct-2022 11:17 AM,Accepted-AOC,Awarded for 11KV Pin Insulator CD 320mm and CD-230mm,25-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Purchase order/supply orders and performance certificate thereof,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and type test reports of offered material",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Capacity assessment and list of machinery,testing Equip,acceptance,routine tests to be carried out",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of arbitration/court cases and blacklisted/debarred by any Govt./Semi Govt. organization,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheet of last three years,detail of bought out items.acc.,fittings part of offered material",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST reg. No.,PAN No. a/w Income tax and GST clearance certificate",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney/Board of resolution to sign the bid doc and acceptance of terms and conditions,,,,
