Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
V. K. Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,09-May-2023 12:47 PM,finsummary_109159.pdf (553.24 KB),15-May-2023,"INR 2,388,894.07",60.0,Vijay Kumar Aggarwal,01-Nov-2023 04:06 PM,AOC_72579_1.pdf (430.00 KB),Awarded to Sh. Shakun Kumar Gupta,PWD,2023_PWD_72579_1,NAHAN 350-79,"Repair and Maintenance for Alteration and Necessary Changes in the CCU Unit of Dr. Y.S. Parmar Government Medical College, Nahan",V. K. Aggarwal,Internal,Suptd. DM DAO,Vijay Kumar Aggarwal,09-May-2023 12:25 PM,09-May-2023 12:30 PM,techsummary_109159.pdf (1093.48 KB),Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,09-May-2023 12:22 PM,technical_109159.pdf,1.0,346002.0,Ashwani kumar,09-May-2023 08:21 AM,Rejected-Finance,L4,09-May-2023,Finance,Financial Bids opened on 09.05.2023,Vijay Kumar Aggarwal,09-May-2023 12:42 PM,,BOQ Comparative Chart,1.0,345469.0,Shakun Kumar Gupta,INR,"1,863,337.37",Executive Engineer,Executive Engineer HPPWD B and R Division Nahan,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,"Repair and Maintenance for Alteration and Necessary Changes in the CCU Unit of Dr. Y.S. Parmar Government Medical College, Nahan","Providing and Fixing Aluminum Work, Brick Work, Applying White Wash and other Misc. Works",As per Bidding Documents ,NA ,"23,88,896",Civil Works - Buildings,NA ,Tender,75.0,60.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD B and R Division Nahan,No ,No,28-Apr-2023 05:00 PM,09-May-2023 11:00 AM,28-Apr-2023 05:00 PM,09-May-2023 10:00 AM,NA ,NA ,28-Apr-2023 05:00 PM,09-May-2023 10:00 AM,09-May-2023 12:30 PM,PWD,NAHAN 350-79,2023_PWD_72579_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"43,500",No,fixed,,Nil,Nil,500.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,346072.0,MANOJ TRADING AND ENGINEERING WORKS,08-May-2023 09:46 PM,Rejected-Finance,L2,09-May-2023,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,345874.0,Rakesh Chaudhary,08-May-2023 06:08 PM,Rejected-Finance,L3,09-May-2023,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,345469.0,Shakun Kumar Gupta,08-May-2023 03:58 PM,Accepted-AOC,L1,01-Nov-2023,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List a/w Documentary Proof or List of Machinery and List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of not having more than 2 Works-in-Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact Detail i.e. e-mail ID and Mobile No. of the Bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
