Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
21-Dec-2021 12:10 PM,29-Dec-2021 11:30 AM,21-Dec-2021 12:10 PM,28-Dec-2021 06:00 PM,NA ,NA ,21-Dec-2021 12:10 PM,28-Dec-2021 06:00 PM,01-Feb-2022 12:00 PM,Providing Metalling and Tarring Works Santoshinager Kaina Road Km 0/0 to 1/500 under MP LAD,SH P/L Wearing coat G- 2 and Tarring work in Km 0/600 to 1/100,Please refer Tender documents. ,NA ,"9,59,181",Civil Works - Roads,NA ,Tender,120.0,90.0,JUBBAL,171205.0,NA ,NA ,NA ,JUBBAL,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,1.0,ICICI BANK,Executive Engineer Jubbal,HPPWD JUBBAL,PWD,PW-JD/E-Tender/2021-22 -8299-8301 DT 16.12.2021,2021_PWD_54862_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,"19,200",No,fixed,,Nil,Nil,1.0,252671.0,Chaten Chauhan,INR,"998,412",Finance,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,21-Feb-2022 02:10 PM,finance_82275.pdf,BOQ Comparative Chart,1.0,252671.0,Chaten Chauhan,27-Dec-2021 06:28 PM,Accepted-AOC,ok,18-May-2023,Technical,Technical Bid Opening Summary,Prem Pal Sharma,01-Feb-2022 11:43 AM,technical_82275.pdf,EXECUTIVE ENGINEER JUBBAL,Internal,,Prem Pal Sharma,01-Feb-2022 11:44 AM,01-Feb-2022 12:00 PM,techsummary_82275.pdf (269.04 KB),PWD,2021_PWD_54862_2,PW-JD/E-Tender/2021-22 -8299-8301 DT 16.12.2021,Providing Metalling and Tarring Works Santoshinager Kaina Road Km 0/0 to 1/500 under MP LAD,18-May-2023,"INR 998,412",90.0,Tarsem Singh,18-May-2023 10:38 AM,3.pdf (771.00 KB),Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY Tender Assistant,Tarsem Singh,21-Feb-2022 02:12 PM,finsummary_82275.pdf (488.69 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money as per Tender Document,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,252679.0,Rekha Chauhan,27-Dec-2021 06:44 PM,Rejected-Finance,OK,21-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
