Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
23-Aug-2022 05:00 PM,14-Sep-2022 11:00 AM,23-Aug-2022 05:00 PM,14-Sep-2022 10:30 AM,NA ,NA ,23-Aug-2022 05:00 PM,14-Sep-2022 10:30 AM,19-Sep-2022 12:40 PM,1.0,ICICI BANK,Director of Industries,"Directorate of Industries , Bemloe , Shimla",Industries Department||Directorate of Industries,No. Ind.SP/F/(NIT)148/94-Vol-III,2022_HPInd_63877_3,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,"5,00,000",Yes,fixed,,Nil,Nil,500.0,Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,All documents as per Terms and conditions of tender enclosed.,Supply of Reinforced Cement Concrete (R.C.C) Pipes and Collars (ISI Marked) (M-08),Annual Rate Contract for the supply of Reinforced Cement Concrete (R.C.C) Pipes and Collars (ISI Marked),Please refer Tender documents. ,NA ,"2,78,20,519",Miscellaneous Goods,NA ,Rate Contract,120.0,365.0,"Directorate of Industries , Bemloe , Shimla",171001.0,NA ,NA ,NA ,Shimla,No ,No,Addtional Controller of Stores.,Internal,Anil Thakur (DDI SP) Karam Chand (Supdt. Gr-I) Vinay Jaryal (SO ACFA),Navneet Gupta,23-May-2023 12:53 PM,finsummary_96262.pdf (3467.07 KB),Industries Department||Directorate of Industries,2022_HPInd_63877_3,No. Ind.SP/F/(NIT)148/94-Vol-III,Supply of Reinforced Cement Concrete (R.C.C) Pipes and Collars (ISI Marked) (M-08),1,300210,FARM FRESH FOODS PRIVATE LIMITED,INR,"2,782,051.9",1,300673,Ashwani jain Govt. contractor,13-Sep-2022 01:56 PM,Accepted-AOC,Accepted,23-May-2023,Additional Controller of Stores,Internal,Anil Thakur (DDI) Karam Chand (Supdt. Gr-I SP) Vinay Jaryal (S.O FA) Rakesh Kumar (AE HPPWD),Navneet Gupta,19-Sep-2022 12:37 PM,19-Sep-2022 12:40 PM,techsummary_96262.pdf (1669.44 KB),Technical,Tender opening summary.,KARAM CHAND,19-Sep-2022 12:12 PM,technical_96262.pdf,Finance,Financial Bid Opening.,Navneet Gupta,23-May-2023 12:47 PM,finance_96262.pdf,BOQ Comparative Chart,23-May-2023,"INR 27,820,519",365.0,Navneet Gupta,23-May-2023 12:56 PM,RC-M-08.pdf (5526.00 KB)
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,300319,MANUJ VAISDYA,INR,"2,782,051.9",2,300975,A.S.SPUN PIPE INDUSTRY,13-Sep-2022 07:45 PM,Accepted-AOC,Accepted,23-May-2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,300593,Chamunda Spun Pipe Industries,INR,"2,782,051.9",3,300829,Bains Hume Pipes,13-Sep-2022 02:42 PM,Accepted-AOC,Accepted,23-May-2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,300639,HIM UDYOG,INR,"2,782,051.9",4,300593,Chamunda Spun Pipe Industries,12-Sep-2022 04:27 PM,Accepted-AOC,Accepted,23-May-2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,300673,Ashwani jain Govt. contractor,INR,"2,782,051.9",5,300210,FARM FRESH FOODS PRIVATE LIMITED,12-Sep-2022 10:25 AM,Accepted-AOC,Accepted,23-May-2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,300725,M/s G.D Hume Pipes,INR,"2,782,051.9",6,300921,Hateshwari Spun Pipes,13-Sep-2022 04:34 PM,Accepted-AOC,Accepted,23-May-2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,300829,Bains Hume Pipes,INR,"2,782,051.9",7,300639,HIM UDYOG,12-Sep-2022 06:40 PM,Accepted-AOC,Accepted,23-May-2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,300884,mahavira spun pipes,INR,"2,782,051.9",8,300884,mahavira spun pipes,13-Sep-2022 03:55 PM,Accepted-AOC,Accepted,23-May-2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,300921,Hateshwari Spun Pipes,INR,"2,782,051.9",9,300319,MANUJ VAISDYA,11-Sep-2022 06:21 PM,Accepted-AOC,Accepted,23-May-2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,300975,A.S.SPUN PIPE INDUSTRY,INR,"2,782,051.9",10,300725,M/s G.D Hume Pipes,12-Sep-2022 10:15 PM,Accepted-AOC,Accepted,23-May-2023,,,,,,,,,,,,,,,,,,,,,,,,
