Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
"2,360",Nil,Nil,Yes,06-Apr-2023 10:00 AM,17-Apr-2023 02:00 PM,06-Apr-2023 04:00 PM,17-Apr-2023 12:00 PM,06-Apr-2023 04:00 PM ,17-Apr-2023 12:00 PM ,06-Apr-2023 04:00 PM,17-Apr-2023 12:00 PM,19-Apr-2023 03:05 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of Earnest Money and Cost of Tender (As per NIT),"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",HIMUDA/EDD/W-7/28-38,2023_HIMUD_71957_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Building Integrated Command and Control for Dharamshala Distt. Kangra H.P.,Sub Head Providing Variable Refrigeration Volume/HVAC therein,Please refer Tender documents. ,NA ,"56,71,042",Electrical Works,NA ,Tender,60.0,180.0,Dharamshala Distt. kangra,176215.0,NA ,NA ,NA ,HIMUDA Electrical Division Dharamshala,No ,No,"1,13,420",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer Electrical,HIMUDA Electrical Division Dharamshala Distt. Kangra H.P.,1.0,342137.0,COMPLETE COOLING SOLUTIONS LLP,16-Apr-2023 09:38 AM,Accepted-AOC,Lowest Bidder,26-May-2023,Er Rajni Duggal Executive Engineer,Internal,"Er Ram Krishan AE(E) Sh. Abhishek Thakur Divisional Accountant, Sh. Hans Raj JDM, Miss Reenu JOA(IT)",Ram Krishan,19-Apr-2023 03:01 PM,19-Apr-2023 03:05 PM,techsummary_108294.pdf (647.14 KB),Technical,Bid opening Summary,Ram Krishan,19-Apr-2023 02:56 PM,,Finance,Bid opening summary,Ram Krishan,19-Apr-2023 05:02 PM,finance_108294.pdf,BOQ Comparative Chart,12-May-2023,"INR 5,671,042",180.0,Ram Krishan,26-May-2023 04:19 PM,Award.pdf (1804.00 KB),Award of Contract,Er. Rajni Duggal EE(E),Internal,"Er. Ram Krishan AE(E), Sh. Abhishek Thakur Divisional Accountant, Sh. Hans Raj JDM, Miss Reenu JOA(IT)",Ram Krishan,19-Apr-2023 05:05 PM,finsummary_108294.pdf (1417.61 KB),1.0,342137.0,COMPLETE COOLING SOLUTIONS LLP,INR,"4,669,610","Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",2023_HIMUD_71957_1,HIMUDA/EDD/W-7/28-38,Construction of Building Integrated Command and Control for Dharamshala Distt. Kangra H.P.
,,,,,,,,,,,,,,,.pdf,Copy of Registration/Enlistment/Approval (As per NIT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,2.0,342208.0,modern cooling solution,17-Apr-2023 11:30 AM,Rejected-Finance,Rejected,19-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Copy of PAN/TAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Copy of GST Registration Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Copy of EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Work Done certificate as per Condition No. 16 of From 6 of Tender Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per formula under Condition No. 26.2(a) and Work in hand detail also attached.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Integrity Pact submitted by the Bidder as per Form No. 8 Page No. 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,.pdf,Undertaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
