Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP",2023_HPIPH_69785_1,15282-381,C/O LIS to village Jatoli and Kurial Khera in Tehsil Rakkar District Kangra HP,1.0,332015.0,puneet angra,INR,"4,847,158","Er. Sumesh Raj, Executive Engineer",Internal,"Naresh Kumar HDM, Kamal Jeet Supdtt. Gr-II",Sumesh Raj Dhiman,29-Mar-2023 04:53 PM,finsummary_105244.pdf (555.52 KB),"Er. Sumesh Raj, Executive Engineer",Internal,"Naresh Kumar HDM, kamal Jeet Supdt. Gr-II",Sumesh Raj Dhiman,29-Mar-2023 04:07 PM,29-Mar-2023 04:10 PM,techsummary_105244.pdf (286.86 KB),1,331888,aman sood,06-Mar-2023 10:10 AM,Rejected-AOC,Reject,15-May-2023,04-May-2023,"INR 4,847,158",365.0,Sumesh Raj Dhiman,15-May-2023 12:39 PM,69785.pdf (432.00 KB),Sh. Puneet Angra S/O Sh. Tarsem Kumar Govt. Cont. Near Geeta Bhawan Ward No. 6 Main Bazar Una HP,Finance,Financial Summary,Sumesh Raj Dhiman,29-Mar-2023 04:48 PM,finance_105244.pdf,BOQ Comparative Chart,Technical,Technical Summary,Sumesh Raj Dhiman,29-Mar-2023 04:03 PM,technical_105244.pdf,27-Feb-2023 05:00 PM,06-Mar-2023 11:30 AM,27-Feb-2023 05:00 PM,06-Mar-2023 11:00 AM,NA ,NA ,27-Feb-2023 05:00 PM,06-Mar-2023 11:00 AM,29-Mar-2023 04:10 PM,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender form as per NIT, Earnest Money as per NIT",Executive Engineer,Jal Shakti Division Pragpur,800.0,Executive Engineer Jal Shakti Division Pragpur,Pragpur,No,"86,085",Yes,fixed,,Executive Engineer Jal Shakti Division Pragpur,Pragpur,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP",15282-381,2023_HPIPH_69785_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,C/O LIS to village Jatoli and Kurial Khera in Tehsil Rakkar District Kangra HP,"Providing, Laying jointing and testing of MSERW pipe of 200mm dia for rising main and S/E of pumping machinery with allied accessories",Please refer Tender documents. ,NA ,"53,58,499",Civil Works,NA ,Tender,120.0,365.0,"Executive Engineer, Jal Shakti Division Pragpur",177107.0,NA ,NA ,NA ,Pragpur,No ,No
,,,,,,,,,,,,,,,,,,,,,,2,330474,HYDRO ENGINEERING COMPANY,05-Mar-2023 10:46 AM,Rejected-AOC,Reject,15-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, Copy of EPF, Copy PAN No. Copy of Income tax Return",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3,331922,Naik Electrical Works,05-Mar-2023 09:36 PM,Rejected-AOC,Reject,15-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Enlistment with Jal Shakti Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,4,332015,puneet angra,06-Mar-2023 10:39 AM,Accepted-AOC,Accept,15-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of DSC Authorization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5,331783,RANDEEP SINGH GOVT CONT,06-Mar-2023 09:57 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of Non-Blacklisted by Department, Affidavit of Non-Relationship With Department",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,6,331447,SANJAY SAINI,04-Mar-2023 08:43 AM,Rejected-AOC,Reject,15-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Exemption of EMD with List of works where he has used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7,331975,ShriBalajiEnginearingWorks,06-Mar-2023 10:06 AM,Rejected-AOC,Reject,15-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8,331820,SS ENGINEERING WORKS,05-Mar-2023 03:00 PM,Rejected-AOC,Reject,15-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,9,331940,Sushant Puri,06-Mar-2023 12:10 AM,Rejected-AOC,Reject,15-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,10,331915,Vivek Dhiman,05-Mar-2023 09:15 PM,Rejected-AOC,Reject,15-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
