Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as mentioned in SBD,1.0,Rate showing in BOQ on column No 6 and 53 may read as excluding GST instead of including GST.,Other,,Periodic Maintenance Link road to Village Maglota DRRP No HP0403 VR012112101 Village Road (AMP 2023-24),Providing and Laying WBM G-II for profile correction and 2 cm Thick premix carpet with seal coat Km 0/00 to 0/500,Please refer Tender documents. ,NA ,"4,89,860",Civil Works - Roads,NA ,Tender,60.0,30.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,PWD,PWD-BD-TA-2022-23-20743-93,2023_PWD_70802_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,1.0,ICICI BANK,15-Mar-2023 12:00 PM,22-Mar-2023 11:30 AM,15-Mar-2023 12:00 PM,22-Mar-2023 11:00 AM,NA ,NA ,15-Mar-2023 12:00 PM,22-Mar-2023 11:00 AM,03-Apr-2023 11:00 AM,"9,900",No,fixed,,Nil,Nil,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,PWD,2023_PWD_70802_1,PWD-BD-TA-2022-23-20743-93,Periodic Maintenance Link road to Village Maglota DRRP No HP0403 VR012112101 Village Road (AMP 2023-24),Xen HPPWD Baijnath,Internal,"Divisional Accountant, Head Draughtsman, SupdtGII, Assistant Engineer",Sanjiv Kumar,31-Mar-2023 11:06 AM,03-Apr-2023 11:00 AM,techsummary_106708.pdf (284.33 KB),Xen HPPWD Baijnath,Internal,"DAO Baijnath, HDM Baijnath, SupdtGII Baijnath AE Baijnath",Sanjiv Kumar,01-May-2023 03:01 PM,finsummary_106708.pdf (139.00 KB),01-May-2023,"INR 494,946",30.0,Sanjiv Kumar,01-May-2023 03:02 PM,Awardmaglota.PDF (195.00 KB),1.0,336780.0,ANURAG SHARMA,21-Mar-2023 03:09 PM,Accepted-AOC,lower side,01-May-2023,Technical,Three bidders participated in this work and Two bidders found responsive. Hence committee decided to open the financial bid.,Sanjiv Kumar,31-Mar-2023 11:05 AM,technical_106708.pdf,Finance,Financial bid of two bidders open successfully,Sanjiv Kumar,01-May-2023 03:00 PM,finance_106708.pdf,BOQ Comparative Chart,1.0,336780.0,ANURAG SHARMA,INR,"514,108"
,,.pdf,Earnest Money as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,336052.0,G.P.ACHARYA,21-Mar-2023 04:02 PM,Rejected-Finance,Higher Side,01-May-2023,,,,,,,,,,,,,,,,
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,337034.0,SANJAY KAPOOR,22-Mar-2023 09:51 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Mar-2023,,,,,,,,,,,,,,,,
,,.pdf,GST Registration PAN Card and EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Minimum similar nature of workdone 40percent of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Machinery with proof of ownership if hiring affidavit of consent required from owner of machinery a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Undertaking regarding arbitration / litigation with PWD is pending in any court of law.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
