Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
18-Jan-2021,"INR 747,455",90.0,Arvind Lakhanpal,25-Jan-2021 11:30 AM,Footpath.pdf (151.00 KB),AOC,EE,Internal,Supdt/HDM/AE,Arvind Lakhanpal,03-Jan-2021 08:40 PM,finsummary_60857.pdf (216.51 KB),EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,17-Oct-2020 08:12 PM,19-Oct-2020 11:30 AM,techsummary_60857.pdf (293.93 KB),PWD,2020_PWD_41261_1,PW/TDD/NIT/21-11735dt.16.09,Construction of foot path along side of chougan at Sujanpur.(SH P/L 60mm thick cement concrete interlocking paver block). (Deposit work),Technical,summary,Arvind Lakhanpal,17-Oct-2020 08:09 PM,technical_60857.pdf,1.0,181492.0,Anil Chandel,07-Oct-2020 05:18 PM,Rejected-AOC,H,25-Jan-2021 11:34 AM,Finance,Suumary,Arvind Lakhanpal,03-Jan-2021 08:35 PM,finance_60857.pdf,BOQ Comparative Chart,1.0,181524.0,ASHWANI KUMAR GOVT. CONTRACTOR,INR,"1,470,502",AOC,350.0,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,1.0,DD - Demand Draft,Construction of foot path along side of chougan at Sujanpur.(SH P/L 60mm thick cement concrete interlocking paver block). (Deposit work),Construction of foot path along side of chougan at Sujanpur.(SH P/L 60mm thick cement concrete interlocking paver block). (Deposit work),Please refer Tender documents. ,NA ,"7,47,455",Civil Works,NA ,Tender,90.0,90.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,"15,000",Yes,fixed,,EE Tauni Devi,Hamirpur,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",30-Sep-2020 06:40 PM,08-Oct-2020 11:00 AM,30-Sep-2020 06:40 PM,08-Oct-2020 10:30 AM,NA ,NA ,30-Sep-2020 06:40 PM,08-Oct-2020 10:30 AM,19-Oct-2020 11:30 AM,PWD,PW/TDD/NIT/21-11735dt.16.09,2020_PWD_41261_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,181524.0,ASHWANI KUMAR GOVT. CONTRACTOR,07-Oct-2020 06:41 PM,Accepted-AOC,L,25-Jan-2021 11:34 AM,,,,,,,,,,,,AOC,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,181496.0,Gulam mohammad,08-Oct-2020 10:05 AM,Rejected-Technical,Not Admitted,17-Oct-2020 08:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,181487.0,JAMEEL KHAN GOVT CONTRACTOR,08-Oct-2020 09:56 AM,Rejected-Technical,Not Admitted,17-Oct-2020 08:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,181567.0,Japan Singh,08-Oct-2020 06:57 AM,Rejected-AOC,H,25-Jan-2021 11:34 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,181321.0,RAJ KUMAR,06-Oct-2020 05:37 PM,Rejected-AOC,H,25-Jan-2021 11:34 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,181513.0,SAJEEV KUMAR GOVT.CONTRACTOR,07-Oct-2020 06:16 PM,Rejected-AOC,H,25-Jan-2021 11:34 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,181315.0,SATISH KUMAR,06-Oct-2020 05:08 PM,Rejected-AOC,H,25-Jan-2021 11:34 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,181480.0,Surjeet Kumar,07-Oct-2020 04:27 PM,Rejected-AOC,H,25-Jan-2021 11:34 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,181547.0,VINAY KUMAR,08-Oct-2020 08:10 AM,Rejected-AOC,H,25-Jan-2021 11:34 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
