Publish Date,Bid Opening Date,Bid Submission Opening Date,Bid Submission Closing Date,Pre Bid Meeting Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date.1,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date.1,Bid Opening Date.1,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
26-Nov-2020 02:00 PM,03-Dec-2020 03:00 PM,26-Nov-2020 02:10 PM,03-Dec-2020 01:00 PM,,"2,200",Director Fire and Emergency Services Assam,Guwahati,No,1.0,Fee/PreQual/Technical,.pdf,Pre Qualification Criteria,"Supply of 55(fifty five) Portable Fire Fighting Pump for Fire and Emergency Services, Assam","Supply of 55(fifty five) Portable Fire Fighting Pump for Fire and Emergency Services, Assam",Please refer Tender documents. ,NA ,"1,10,00,000",Supply of Materials,NA ,Tender,365.0,45.0,Panbazar Guwahati,781001.0,Panbazar Guwahati ,"O/o the Directorate of Fire and Emergency Services, Assam  ",07-Oct-2020 03:00 PM ,Panbazar Guwahati,No ,No,1.0,SBI Bank,29-Sep-2020 06:50 PM,22-Oct-2020 03:00 PM,29-Sep-2020 06:55 PM,21-Oct-2020 05:00 PM,30-Sep-2020 09:00 AM ,06-Oct-2020 05:00 PM ,09-Oct-2020 09:00 AM,21-Oct-2020 05:00 PM,03-Dec-2020 03:00 PM,"2,20,000",Yes,percentage,2.0%,Director Fire and Emergency Services Assam,Guwahati,Director- Fire and Emergency Services-Assam,F and ES/PS/271/Pt-III/3674 dated 29/09/2020,2020_FESA_18822_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,Yes,1.0,CORRIGENDUM,Date,,"Director Fire and Emergency Services, Assam","O/o the Directorate of Fire and Emergency Services, Assam",AOC,Finance,SUMMARY,Pulin Chandra Roy,03-Dec-2020 05:11 PM,finance_29136.pdf,BOQ Comparative Chart,Technical,Summary,Pulin Chandra Roy,07-Nov-2020 04:24 PM,technical_29136.pdf,Director- Fire and Emergency Services-Assam,2020_FESA_18822_1,F and ES/PS/271/Pt-III/3674 dated 29/09/2020,"Supply of 55(fifty five) Portable Fire Fighting Pump for Fire and Emergency Services, Assam",1,95596,Ambala Coach Builders,20-Oct-2020 07:29 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Nov-2020 04:24 PM,Y K Gautam IPS,Internal,"P Bhuyan, D Nath, S Bhattacharyya, L Goswami, A Medhi, B N talukdar",Pulin Chandra Roy,26-Nov-2020 01:30 PM,techsummary_29136.pdf (1466.75 KB),08-Jan-2021,INR 9626045.0,45.0,Lohit Goswami,08-Jan-2021 03:38 PM,sovaa.pdf (611.00 KB),Y K GAUTAM,Internal,"P BHUYAN, S TIMUNG, D NATH, S C KALITA",Lohit Goswami,01-Jan-2021 04:23 PM,finsummary_29136.pdf (734.15 KB),1.0,95090.0,Sova Hitech Industries,INR,9626045.0,AOC
,,,,,,,,,,,.pdf,EMD Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,CORRIGENDUM,Technical Bid,,,,AOC,,,,,,,,,,,,,,,,2,96095,ANAND FABRICATORS & ENGINEERS,21-Oct-2020 04:00 PM,Rejected-Finance,Financially rejected,01-Jan-2021 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Tender Fee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,96000,Firefly Fire Pumps Pvt. Ltd.,21-Oct-2020 11:52 AM,Rejected-Technical,Failed to turn up for practical demonstration of the offered product in pursuance to clause 14 of page 4 of NIT.,26-Nov-2020 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Past Exprience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,95450,GEETA ENTERPRISES,20-Oct-2020 02:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Nov-2020 04:24 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Any other document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,95314,Laxmi Steel Industries,14-Oct-2020 03:54 PM,Rejected-Finance,Financially rejected,01-Jan-2021 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,95621,ROHIT ENTERPRISES,17-Oct-2020 09:26 PM,Rejected-Technical,Failed to upload the past supply experience of 50(fifty) Portable Pumps and Performance certificate of 30 (thirty) Portable Pumps during the last 3 FY as per clause (v) and (vi) of page 32 of NIT.,26-Nov-2020 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Any Other Document if required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,96111,SHRI GANESH INDUSTRIES,21-Oct-2020 03:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,07-Nov-2020 04:24 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,95583,SIRI TECON,20-Oct-2020 12:30 PM,Rejected-Technical,"Failed to upload the performance certificate of 30(thirty) Portable Pumps during the last 3 FY as per clause (vi) of page 32 of NIT. Besides, failed to upload the CE certificate and brochure of the specific model of the offered pump.",26-Nov-2020 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,95090,Sova Hitech Industries,14-Oct-2020 04:04 PM,Accepted-AOC,As per approval of Govt.,08-Jan-2021 03:38 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,95173,united manufacturing co.,17-Oct-2020 11:20 AM,Rejected-Technical,Failed to upload the past supply experience of 50(fifty) Portable Pumps and Performance certificate of 30 (thirty) Portable Pumps during the last 3 FY as per clause (v) and (vi) of page 32 of NIT.,26-Nov-2020 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
