EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"16,400",No,fixed,,EE Kasauli,Kasauli,04-Jun-2020 10:00 AM,18-Jun-2020 11:00 AM,04-Jun-2020 11:00 AM,17-Jun-2020 04:00 PM,NA ,NA ,04-Jun-2020 11:00 AM,17-Jun-2020 04:00 PM,20-Jun-2020 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),C/O chandi Harth Bughar Kanaita road in km 0/0 to 8/00,C/O chandi Harth Bughar Kanaita road in km 0/0 to 8/00 SH P/L Grade-I in km 2/00 to 4/00 under SCCP,Please refer Tender documents. ,NA ,"8,19,064",Civil Works,NA ,Tender,90.0,NA ,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,DD - Demand Draft,EE HPPWD Kasauli,EE HPPWD Kasauli,PWD,No/PW/Ksli/NIT-19- 1157-65 dated23/5/20,2020_PWD_37725_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Kasauli,Kasauli,No,AOC,1.0,162897.0,Ajay Bhardwaj,16-Jun-2020 09:22 PM,Rejected-Technical,Non-responsive,20-Jun-2020 12:37 PM,Technical,bid summary,Rajesh Kumar,20-Jun-2020 12:32 PM,technical_55564.pdf,Finance,financial summary,Rajesh Kumar,21-Jun-2020 02:09 PM,finance_55564.pdf,BOQ Comparative Chart,1.0,162336.0,Prem Chand,INR,"794,970",Er Rajesh Garg Executive Engineer,Internal,Sh satish kumar AE Subathu Sh A N arora HDM Sh Deepak Walia Supdt Gr II,Rajesh Kumar,20-Jun-2020 12:37 PM,20-Jun-2020 01:00 PM,techsummary_55564.pdf (282.97 KB),PWD,2020_PWD_37725_1,No/PW/Ksli/NIT-19- 1157-65 dated23/5/20,C/O chandi Harth Bughar Kanaita road in km 0/0 to 8/00,16-Oct-2020,"INR 819,064",60.0,Rajesh Kumar,07-Jan-2021 11:34 AM,AOC297.pdf (357.00 KB),AOC,Er Rajesh Garg Executive Engineer,Internal,Sh satish Kumar AE Subathu sh A N Arora HDM Sh deepak walia supdt II,Rajesh Kumar,21-Jun-2020 02:14 PM,finsummary_55564.pdf (205.79 KB),AOC
,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC,2.0,163028.0,Hans Raj,17-Jun-2020 02:49 PM,Rejected-AOC,rejected,07-Jan-2021 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,162336.0,Prem Chand,13-Jun-2020 07:45 PM,Accepted-AOC,accepted,07-Jan-2021 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,162886.0,VERMA BROTHERS,16-Jun-2020 09:06 PM,Rejected-AOC,rejected,07-Jan-2021 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
