Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Deepak walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,15-May-2020 12:13 PM,finsummary_53151.pdf (56.40 KB),05-Aug-2020,"INR 2,446,623",90.0,Rajesh Kumar,04-Jan-2021 03:12 PM,AOC195.pdf (517.00 KB),AOC,PWD,2020_PWD_36081_1,No/PW/Ksli/NIT 9967-77-16dt28/2/20,C/O Kimughat Chakki Ka Mour Road in km 15/120 to 16/380,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Deepak Walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,14-May-2020 01:53 PM,14-May-2020 02:00 PM,techsummary_53151.pdf (64.33 KB),1.0,156432.0,YOG RAJ SHARMA,INR,"3,012,780",Finance,Bid opening Summary,Satish Kumar,15-May-2020 12:10 PM,finance_53151.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Satish Kumar,14-May-2020 01:44 PM,technical_53151.pdf,1.0,155758.0,Baljeet Singh Thakur,19-Mar-2020 12:17 PM,Rejected-AOC,rejected,04-Jan-2021 03:16 PM,AOC,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),"44,200",No,fixed,,EE Kasauli,Kasauli,500.0,EE Kasauli,Kasauli,No,C/O Kimughat Chakki Ka Mour Road in km 15/120 to 16/380,C/O Kimughat Chakki Ka Mour Road in km 15/120 to 16/380 SH ROFD CD work and M/T works in km 15/120 to 15/960 under MMGSY,Please refer Tender documents. ,NA ,"24,46,623",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,PWD,No/PW/Ksli/NIT 9967-77-16dt28/2/20,2020_PWD_36081_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,11-Mar-2020 10:00 AM,25-Mar-2020 11:00 AM,11-Mar-2020 11:00 AM,24-Mar-2020 04:00 PM,NA ,NA ,11-Mar-2020 11:00 AM,24-Mar-2020 04:00 PM,14-May-2020 02:00 PM,EE HPPWD Kasauli,EE HPPWD Kasauli,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156320.0,Lalit Kumar Attri,23-Mar-2020 12:18 PM,Rejected-AOC,rejected,04-Jan-2021 03:16 PM,AOC,2.0,FDR - Fixed Deposit,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,156432.0,YOG RAJ SHARMA,24-Mar-2020 03:25 PM,Accepted-AOC,accepted,04-Jan-2021 03:16 PM,AOC,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
