Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,000",EE Kasauli,Kasauli,No,"86,500",No,fixed,,EE Kasauli,Kasauli,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),PWD,No/PW/Ksli/NIT-19- 637-47 dated14/5/20,2020_PWD_37455_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O TEhsil welfair office building at kasauli,C/O Tehsil welfare office building at Kasauli Distt. Solan HP SH C/O Civil work,Please refer Tender documents. ,NA ,"53,99,199",Civil Works,NA ,Tender,90.0,360.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,EE HPPWD Kasauli,EE HPPWD Kasauli,27-May-2020 10:00 AM,11-Jun-2020 11:00 AM,27-May-2020 11:00 AM,10-Jun-2020 04:00 PM,NA ,NA ,27-May-2020 11:00 AM,10-Jun-2020 04:00 PM,17-Jun-2020 01:30 PM,1.0,DD - Demand Draft,AOC,PWD,2020_PWD_37455_1,No/PW/Ksli/NIT-19- 637-47 dated14/5/20,C/O TEhsil welfair office building at kasauli,Er Rajesh Garg Executive Engineer,Internal,Sh satish Kumar AE Subathu Sh A N Arora HDM Sh Deepak Walia Supdt G-II,Rajesh Kumar,17-Jun-2020 01:14 PM,17-Jun-2020 01:30 PM,techsummary_55210.pdf (456.57 KB),Er Rajesh Garg Executive Engineer,Internal,Sh Satish Kumar A E Subathu Sh A N Arora HDM Sh Deepak Walia Supdt Gr-II,Satish Kumar,17-Jun-2020 05:34 PM,finsummary_55210.pdf (206.07 KB),21-Dec-2020,"INR 5,399,199",360.0,Rajesh Kumar,07-Jan-2021 11:03 AM,AOC447.pdf (313.00 KB),AOC,1.0,161543.0,Vedprksh,07-Jun-2020 03:11 PM,Accepted-AOC,accepted,07-Jan-2021 11:07 AM,Technical,bid summary,Satish Kumar,17-Jun-2020 12:35 PM,technical_55210.pdf,1.0,revoke corrigendum,corrigendum,17-Jun-2020 12:21 PM,Corrigendumwelfareoffice.pdf ,346.58,Technical Opening,Finance,Financial Bid Summary,Satish Kumar,17-Jun-2020 05:30 PM,finance_55210.pdf,BOQ Comparative Chart,1.0,161543.0,Vedprksh,INR,"6,150,298",AOC
,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,162050.0,Vicky Kumar,10-Jun-2020 02:23 PM,Rejected-AOC,rejected,07-Jan-2021 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,162008.0,YOG RAJ SHARMA,10-Jun-2020 07:51 AM,Rejected-Technical,Nonresponsive,17-Jun-2020 01:14 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
