Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
EE,Internal,SUPDT Estt/SUPDT A/C/AE,Swaroop Kumar,16-Mar-2020 07:42 PM,17-Mar-2020 03:30 PM,techsummary_52689.pdf (589.61 KB),PWD,2020_PWD_35849_1,PW/TDD/GA-NIT/2019-16395 dt. 15.02.2020,C/O Kakkar Sachuhi road km. 0/0 to 8/500,Technical,Pre tech Bid,Swaroop Kumar,16-Mar-2020 07:37 PM,technical_52689.pdf,1.0,154051.0,RAJ KUMAR,11-Mar-2020 10:13 AM,Accepted-AOC,Lowest,25-Jan-2021 12:07 PM,Finance,summary,Swaroop Kumar,06-Jul-2020 03:24 PM,finance_52689.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",PWD,PW/TDD/GA-NIT/2019-16395 dt. 15.02.2020,2020_PWD_35849_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,02-Mar-2020 06:30 PM,11-Mar-2020 11:00 AM,02-Mar-2020 06:30 PM,11-Mar-2020 10:30 AM,NA ,NA ,02-Mar-2020 06:30 PM,11-Mar-2020 10:30 AM,17-Mar-2020 03:30 PM,C/O Kakkar Sachuhi road km. 0/0 to 8/500,C/O R/Wall at RD. 3/748 to 3/758) and C/O link road to Chamiyania Di-Khanauli km. 0/0 to 2/0.(SH C/O R/Wall at RD. 0/314 to 0/320 and at RD. 0/550 to 0/555) Under BASP,Please refer Tender documents. ,NA ,"6,88,638",Civil Works,NA ,Tender,90.0,60.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"14,000",Yes,fixed,,EE Tauni Devi,Hamirpur,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,154049.0,SATISH KUMAR,11-Mar-2020 10:01 AM,Rejected-AOC,Higher,25-Jan-2021 12:07 PM,,,,,,,AOC,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3.0,153517.0,SWARNA SUNRISE,08-Mar-2020 12:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Mar-2020 07:37 PM,,,,,,,AOC,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
