Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er Rajesh Garg Executive Engineer,Internal,Sh J L Kanta AE Kasauli Sh A N Arora HDM Sh Deepak walia Supdt G II,Rajesh Kumar,31-Aug-2020 01:19 PM,finsummary_58659.pdf (207.31 KB),29-Oct-2020,"INR 1,409,820",180.0,Rajesh Kumar,04-Jan-2021 03:42 PM,AOC329.pdf (475.00 KB),AOC,PWD,2020_PWD_39740_1,4539-47,C O gamberpul mareheta via Daunta Baniara road in km 0/0 to 2/100,Er Rajesh Garg Executive Engineer,Internal,Sh J L Kanta AE Kasauli Sh A N Arora HDM Sh Deepak walia Supdt G II,Rajesh Kumar,29-Aug-2020 05:12 PM,29-Aug-2020 05:25 PM,techsummary_58659.pdf (460.79 KB),Finance,financialsummary,Rajesh Kumar,31-Aug-2020 01:10 PM,finance_58659.pdf,BOQ Comparative Chart,1.0,174813.0,Sushant,INR,"1,441,222",Technical,Bidsummary,Rajesh Kumar,29-Aug-2020 05:01 PM,technical_58659.pdf,1,175053,Ajay Bhardwaj,26-Aug-2020 05:34 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Aug-2020 05:02 PM,AOC,13-Aug-2020 03:00 PM,28-Aug-2020 11:00 AM,13-Aug-2020 03:30 PM,27-Aug-2020 04:00 PM,NA ,NA ,13-Aug-2020 03:30 PM,27-Aug-2020 04:00 PM,29-Aug-2020 05:25 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form as per schedule f 6.3,1.0,DD - Demand Draft,Executive Engineer,executive Engineer HPPWD Kasauli,"28,200",No,fixed,,EE Kasauli,Kasauli,PWD,4539-47,2020_PWD_39740_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C O gamberpul mareheta via Daunta Baniara road in km 0/0 to 2/100,C O Gamberpul mareheta via Daunta Baniara road in km 0/0 to 2/100 SH C/O RCC slab culvert at RD 0/575 with wing wall under SCCP,As per tender document ,NA ,,Civil Works,NA ,Tender,90.0,180.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,500.0,EE Kasauli,Kasauli,Yes,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,175403,Akshay Kumar,27-Aug-2020 03:45 PM,Rejected-AOC,rejected,04-Jan-2021 03:45 PM,AOC,,,,,,,,,,,,.pdf,Earnest Money deposit (AS per schedule F 6.5,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,174836,Amar Lal,24-Aug-2020 03:50 PM,Rejected-AOC,rejected,04-Jan-2021 03:45 PM,AOC,,,,,,,,,,,,.pdf,Contractor registration refer general rule No 23 and as per intivation bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,174802,Baljeet Singh Thakur,24-Aug-2020 02:06 PM,Rejected-AOC,rejected,04-Jan-2021 03:45 PM,AOC,,,,,,,,,,,,.pdf,Work done Certificate on prescrived format given in standard bidding Document Section III (13.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,174761,Chander Mohan Chawla,24-Aug-2020 12:14 PM,Rejected-AOC,rejected,04-Jan-2021 03:45 PM,AOC,,,,,,,,,,,,.pdf,affidavit of Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,175348,Gopal Thakur,27-Aug-2020 03:45 PM,Rejected-AOC,rejected,04-Jan-2021 03:45 PM,AOC,,,,,,,,,,,,.pdf,Form No 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,175236,Hans Raj,27-Aug-2020 12:15 PM,Rejected-AOC,rejected,04-Jan-2021 03:45 PM,AOC,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,175288,kamal kishore mehta,27-Aug-2020 12:41 PM,Rejected-AOC,rejected,04-Jan-2021 03:45 PM,AOC,,,,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,175338,LALIT VERMA,27-Aug-2020 01:18 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Aug-2020 05:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,175003,MUKESH KUMAR,25-Aug-2020 04:06 PM,Rejected-AOC,rejected,04-Jan-2021 03:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
