S.No,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,SBI Bank,"4,10,958",Yes,percentage,2.0%,"EE,Borolia Division(I),Baksa",Baksa,"4,500","EE,Borolia Division(I),Baksa",Baksa,No,1.0,Prebid minutes corrigendum,Other,,Installation of Solar powered Tube Well Schemes under PMKSY-HKKP (Ph-II) Access to ground water for the year 2020-21 Package-2,Installation of Solar powered Tube Well Schemes under PMKSY-HKKP(Ph-II) Access to ground water for the year 2020-21,Please refer Tender documents. ,NA ,"2,05,47,900",Civil Works,NA ,Rate Contract,180.0,90.0,Baksa,781372.0,NA ,NA ,NA ,"O/o Chief Engineer (I),Irrigation,Assam, Ghy-03",No ,No,Irrigation Department||Chief Engineer(Major)-Irrigation Dept,22 _PMKSY_HKKP_ 2020_21 Date 25.08.2020,2020_ID_18505_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,25-Aug-2020 06:00 PM,16-Sep-2020 03:00 PM,25-Aug-2020 06:10 PM,16-Sep-2020 02:00 PM,NA ,NA ,26-Aug-2020 10:00 AM,16-Sep-2020 02:00 PM,02-Jan-2021 04:50 PM,"Chief Engineer (MI),Irrigation,Assam","O/o Chief Engineer (I),Irrigation,Assam, Ghy-03",1.0,Fee/PreQual/Technical,.pdf,NIT,AOC,Finance,Financial opening is under process,KRISHNAV JYOTI SARMA,02-Jan-2021 05:07 PM,,BOQ Comparative Chart,"Chief Engineer,Irrigation,Assam,Ghy-03",Internal,,Manisha Barua,02-Jan-2021 04:47 PM,02-Jan-2021 04:50 PM,techsummary_28540.pdf (792.50 KB),"Chief Engineer,Irrigation,Assam,Ghy-03",Internal,,Manisha Barua,25-Jan-2021 02:55 PM,finsummary_28540.pdf (937.10 KB),Irrigation Department||Chief Engineer(Major)-Irrigation Dept,2020_ID_18505_2,22 _PMKSY_HKKP_ 2020_21 Date 25.08.2020,Installation of Solar powered Tube Well Schemes under PMKSY-HKKP (Ph-II) Access to ground water for the year 2020-21 Package-2,25-Jan-2021,INR 2.05479E+7,90.0,Manisha Barua,25-Jan-2021 02:56 PM,AOC.pdf (937.00 KB),AOC,1.0,88399.0,Bhrigujit Choudhury,INR,18493110.0,Technical,Technical evaluation is under process,Amit Singha,16-Sep-2020 03:57 PM,,1,88399,Bhrigujit Choudhury,16-Sep-2020 12:52 PM,Accepted-AOC,Awarded,25-Jan-2021 02:56 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Document,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,88380,Birkhang Basumatary,16-Sep-2020 10:44 AM,Rejected-Technical,Not Admitted,02-Jan-2021 04:47 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,88361,Dhiren Singha,15-Sep-2020 09:10 PM,Rejected-Technical,Not Admitted,02-Jan-2021 04:47 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,88068,ENFROS TECHNOLOGIES-DHANESH MEDHI JV,15-Sep-2020 03:18 PM,Rejected-Technical,Not Admitted,02-Jan-2021 04:47 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-Qualification,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,88363,KEMENDRA KUMAR BRAHMA JV DAHAR BASUMATARY,16-Sep-2020 12:37 PM,Rejected-Finance,Not Admitted,25-Jan-2021 02:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Drawings,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,88334,Mahirul Islam,15-Sep-2020 09:36 PM,Rejected-Technical,Not Admitted,02-Jan-2021 04:47 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,87946,MWIKHWM OWARY,15-Sep-2020 04:13 PM,Rejected-Technical,Not Admitted,02-Jan-2021 04:47 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,88318,PURNANANDA BHATTACHARJYA,16-Sep-2020 12:07 PM,Rejected-Finance,Not Admitted,25-Jan-2021 02:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,88215,Rabi Ram Narzary,15-Sep-2020 08:31 PM,Rejected-Finance,Not Admitted,25-Jan-2021 02:55 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,88386,RANGJA KHUNGUR BASUMATARY,16-Sep-2020 12:54 PM,Rejected-Finance,Not Admitted,25-Jan-2021 02:55 PM,AOC
