S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,DD - Demand Draft,ACE/BV/S.KXJ/C.M Spl-BW/01/2020-21,"Construction of Road from NH 44 to Eraligool and Saidpur under CM Special Package for Barak Valley (Phase I) for the year 2013-14 (Balance work), under South Karimganj LAC.",Please refer to Tender Documents ,NA ,,Civil Works – Roads,NA ,Rate Contract,180.0,120.0,KARIMGANJ,788710.0,NA ,NA ,NA ,"O/o Addl. C.E, Barak Valley, Silchar",No ,No,"5,40,060",Yes,fixed,,PWD,GUWAHATI,16-Dec-2020 04:00 PM,21-Dec-2020 02:30 PM,16-Dec-2020 04:00 PM,21-Dec-2020 02:00 PM,16-Dec-2020 04:00 PM ,18-Dec-2020 04:00 PM ,16-Dec-2020 04:00 PM,21-Dec-2020 02:00 PM,28-Dec-2020 02:35 PM,1,General Certificate ,PAN ,Permanent Account Number ,,Public Works Roads Department,ACE/BV/ETN/2020-21/99/201(T),2020_PWD_19649_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,COST OF BID,"8,101",PWD,GUWAHATI,No,"Addl. C.E, Barak Valley, Silchar","O/o Addl. C.E, Barak Valley, Silchar",AOC,BIJOY KUMAR SARMAH ADDL C E BARAK VALLEY SILCHAR,Internal,"EE PWRD SIL AND UDB TR DIV, AEE TC OFFICE OF EE PWRD SIL AND UDB TR DIV, AEE TC OFFICE OF ADDL CE PWRD B VALLEY SIL",PRANAB DEB,10-Jan-2021 10:24 AM,finsummary_30434.pdf (411.96 KB),BIJOY KUMAR SARMAH,Internal,"ADDL. C.E PWRD BARAK VALLEY SILCHAR, EE PWRD UDB AND SIL TR DIV, AEE T.C O/O EE PWRD UDB AND SIL TR DIV, AEE T.C O/O ADDL. C.E PWRD BARAK VALLEY SILCHAR",PRANAB DEB,28-Dec-2020 02:30 PM,28-Dec-2020 02:35 PM,techsummary_30434.pdf (515.86 KB),1.0,100341.0,KABIR UDDIN,INR,29350705.0,Finance,BOS,PRANAB DEB,10-Jan-2021 09:53 AM,,BOQ Comparative Chart,11-Jan-2021,INR 29350705,120.0,PRANAB DEB,10-Jan-2021 04:03 PM,NEGOTIATEDRATEBOQ.pdf (2340.00 KB),NEGOTIATEDRATEBOQ,Public Works Roads Department,2020_PWD_19649_1,ACE/BV/ETN/2020-21/99/201(T),ACE/BV/S.KXJ/C.M Spl-BW/01/2020-21,Technical,TBO,PRANAB DEB,28-Dec-2020 02:14 PM,technical_30434.pdf,1.0,100403.0,AF Sahab Uddin,20-Dec-2020 10:15 PM,Rejected-Finance,L2,10-Jan-2021 10:24 AM,AOC
2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,.pdf,BID SECURITY,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100341.0,KABIR UDDIN,19-Dec-2020 09:44 PM,Accepted-AOC,L1 NEGOTIATED,10-Jan-2021 04:03 PM,AOC
3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,General Certificate ,Trade License ,Latest Trade License Copy ,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATION DOCUMENT,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,General Certificate ,ESIC ,Employees State Insurance Certificate ,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,General Certificate ,PF ,Providenet Fund Certificates ,,,,,,,,,,,,,,,,,,.pdf,NIT,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,2.0,Finance,.pdf,FOB,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,Machineries ,Machineries Details ,Machineries Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Manpower ,Manpower Details ,Manpower Details Description ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
