Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Documents,07-Nov-2020 01:00 PM,16-Nov-2020 03:00 PM,07-Nov-2020 01:00 PM,16-Nov-2020 02:00 PM,NA ,NA ,09-Nov-2020 12:00 PM,16-Nov-2020 02:00 PM,03-Dec-2020 01:50 PM,Soil Conservation Department||Director - SCD,E-TEN-1/2020-21/2971 DT.03-11-2020,2020_SCD_19210_3,Yes,Open Tender,Works,Works,2.0,No,No,Online,No,No,No,"Director, Soil Conservation Deptt.","Directorate of Soil Conservation Deptt., Ghy-05, Assam",1.0,SBI Bank,800.0,Nil,Nil,No,WATER HARVESTING and LAND DEVELOPMENT PROJECT ATDAKSHIN SINGRA VILLAGE,WATER HARVESTING and LAND DEVELOPMENT PROJECT ATDAKSHIN SINGRA VILLAGE,Please refer Tender documents. ,NA ,"41,70,100",Civil Works,NA ,Tender,365.0,365.0,Nalbari,781335.0,NA ,NA ,NA ,"Directorate of Soil Conservation Deptt., Assam",No ,No,"83,402",Yes,percentage,2.0%,Nil,Nil,AOC,Soil Conservation Department||Director - SCD,2020_SCD_19210_3,E-TEN-1/2020-21/2971 DT.03-11-2020,WATER HARVESTING and LAND DEVELOPMENT PROJECT ATDAKSHIN SINGRA VILLAGE,1,98016,ABDUL HAMID,15-Nov-2020 03:01 PM,Rejected-AOC,Contract not Awarded,11-Jan-2021 03:14 PM,"Director, Soil Conservation Deptt.,Assam",Internal,,Jiten Malakar,11-Jan-2021 03:12 PM,finsummary_29807.pdf (840.71 KB),11-Jan-2021,INR 3961595.0,365.0,Jiten Malakar,11-Jan-2021 03:14 PM,DAKHINSINGRA.pdf (841.00 KB),1.0,98051.0,Mr Dijesh Bujarbaruah,INR,3961595.0,"DIRECTOR, SOIL CONSERVATION DEPTT., ASSAM",Internal,,Chandan Jyoti Saikia,03-Dec-2020 01:46 PM,03-Dec-2020 01:50 PM,techsummary_29807.pdf (447.21 KB),Finance,financial bid has been opened,Jiten Malakar,03-Dec-2020 02:04 PM,,BOQ Comparative Chart,Technical,TENDER HAS BEEN OPENED,Chandan Jyoti Saikia,17-Nov-2020 12:55 PM,,AOC
,,.pdf,Tender Document with seal and sign of the bidder in each page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2,98002,Dhaneswar Kalita,14-Nov-2020 11:00 AM,Rejected-AOC,Contract not Awarded,11-Jan-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ/ Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,98079,Hirak Jyoti Bora,16-Nov-2020 01:32 PM,Rejected-AOC,Contract not Awarded,11-Jan-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,98045,Ikbal Hussain,15-Nov-2020 11:20 PM,Rejected-AOC,Contract not Awarded,11-Jan-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,97990,J D ASSOCIATES,13-Nov-2020 03:10 PM,Rejected-AOC,Contract not Awarded,11-Jan-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,97981,Lakhitara Enterprise,15-Nov-2020 11:15 PM,Rejected-Technical,Provissionally not Admitted,03-Dec-2020 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,97980,Md. Chan Ali,14-Nov-2020 05:03 PM,Rejected-AOC,Contract not Awarded,11-Jan-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,98051,Mr Dijesh Bujarbaruah,16-Nov-2020 01:49 PM,Accepted-AOC,Contract Awarded,11-Jan-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,97996,M/S A B ENTERPRISE,13-Nov-2020 07:56 PM,Rejected-AOC,Contract not Awarded,11-Jan-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,98007,RANJAN DAS,16-Nov-2020 10:55 AM,Rejected-AOC,Contract not Awarded,11-Jan-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
