Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
VIJAY KUMAR AGGARWAL,Internal,SUPTD HDM,Vijay Kumar Aggarwal,15-Dec-2020 05:05 PM,finsummary_63599.pdf (661.28 KB),17-Dec-2020,"INR 1,440,892",60.0,Vijay Kumar Aggarwal,08-Jan-2021 03:49 PM,AOC_42909_1.pdf (767.00 KB),Awarded to Sh. Imran,PWD,2020_PWD_42909_1,NAHAN 10593-610,C/o Matter to Mantra Mata Mandir Road Km 0/0 to 9/0,VIJAY KUMAR AGGARWAL,Internal,SUPTD DAO HDM,Vijay Kumar Aggarwal,15-Dec-2020 01:21 PM,15-Dec-2020 02:30 PM,techsummary_63599.pdf (2020.88 KB),1.0,191368.0,imIMRAN SHAH,INR,"1,440,892",Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,15-Dec-2020 04:52 PM,finance_63599.pdf,BOQ Comparative Chart,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,11-Dec-2020 05:06 PM,technical_63599.pdf,1,191377,Avtar Singh,11-Dec-2020 09:42 AM,Rejected-Finance,L5,15-Dec-2020 05:08 PM,AOC,"26,000",No,fixed,,Nil,Nil,03-Dec-2020 05:00 PM,11-Dec-2020 11:00 AM,03-Dec-2020 05:00 PM,11-Dec-2020 10:00 AM,NA ,NA ,03-Dec-2020 05:00 PM,11-Dec-2020 10:00 AM,15-Dec-2020 02:30 PM,PWD,NAHAN 10593-610,2020_PWD_42909_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer HPPWD Division Nahan,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,RECEIPT OF COST OF TENDER AND EARNEST MONEY PAYMENT (Indicated in Schedule F),C/o Matter to Mantra Mata Mandir Road Km 0/0 to 9/0,C/o 6.00 meter span RCC Slab Culvert at RD 1/825,As Per Bidding Documents ,NA ,"12,96,294",Civil Works - Roads,NA ,Tender,120.0,60.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,191241,Bhupender Chauhan,10-Dec-2020 12:59 PM,Rejected-Finance,L2,15-Dec-2020 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION (General Rules No. 26.3),,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,191368,imIMRAN SHAH,11-Dec-2020 07:45 AM,Accepted-AOC,1440892.00,08-Jan-2021 03:53 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION (General Rule No. 26.4),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,191345,jagdish,10-Dec-2020 09:26 PM,Rejected-Finance,L6,15-Dec-2020 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF MACHINERY (General Rule No. 26.6),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,191298,Jawant Singh,10-Dec-2020 10:18 PM,Rejected-Finance,L10,15-Dec-2020 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FORM OF BID (General Rules No. 26.8),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,191346,KESHWA NAND,10-Dec-2020 09:04 PM,Rejected-Finance,L11,15-Dec-2020 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY IN XLS FORMAT,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,191370,Nikhil,11-Dec-2020 09:19 AM,Rejected-Finance,L9,15-Dec-2020 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,190558,RAGHUBIR SINGH,10-Dec-2020 07:22 PM,Rejected-Finance,L8,15-Dec-2020 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,191374,Rahul Chuhan,11-Dec-2020 09:13 AM,Rejected-Finance,L7,15-Dec-2020 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,191330,Rizwan Ahmed,11-Dec-2020 09:55 AM,Rejected-Finance,L3,15-Dec-2020 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,191373,SUBHASH CHAND,11-Dec-2020 08:56 AM,Rejected-Finance,L4,15-Dec-2020 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
