Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,fin bid opening summary,Kishan Lal Chaudhary,11-Dec-2020 03:35 PM,finance_61874.pdf,BOQ Comparative Chart,1.0,187633.0,Rashid Ali Civil Contractor,INR,"2,261,434",Technical,Bid opening summary,Kishan Lal Chaudhary,26-Nov-2020 12:03 PM,technical_61874.pdf,1.0,188013.0,Bhupender Chauhan,18-Nov-2020 12:22 PM,Rejected-Finance,L2,11-Dec-2020 04:02 PM,01-Jan-2021,"INR 3,658,102",330.0,Kishan Lal Chaudhary,01-Jan-2021 12:04 PM,aoc..pdf (1100.00 KB),AOC,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinah DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,11-Dec-2020 03:59 PM,finsummary_61874.pdf (423.86 KB),Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM.",Kishan Lal Chaudhary,26-Nov-2020 12:10 PM,26-Nov-2020 03:30 PM,techsummary_61874.pdf (760.89 KB),PWD,2020_PWD_41948_2,Tender/6435-83 dated 24.10.2020,"Routine maintenance of Kolar Bilaspur road km. 1/0 to 9/0, Majra Beas Mandir road km. 0/0 to 1/900, Jagatpur Majra Parduni road km. 0/700 to 1/700, Girinagar Jaton road km. 9/0 to 12/500 and km. 22/0 to 24/500 and Jamta Rajban road km. 23/0 to 25/0 a",AOC,27-Oct-2020 04:30 PM,19-Nov-2020 11:30 AM,27-Oct-2020 05:00 PM,18-Nov-2020 05:00 PM,NA ,NA ,27-Oct-2020 05:00 PM,18-Nov-2020 05:00 PM,26-Nov-2020 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,1.0,ICICI BANK,PWD,Tender/6435-83 dated 24.10.2020,2020_PWD_41948_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),"62,370",No,fixed,,EE Paonta Sahib,Paonta Sahib,"Routine maintenance of Kolar Bilaspur road km. 1/0 to 9/0, Majra Beas Mandir road km. 0/0 to 1/900, Jagatpur Majra Parduni road km. 0/700 to 1/700, Girinagar Jaton road km. 9/0 to 12/500 and km. 22/0 to 24/500 and Jamta Rajban road km. 23/0 to 25/0 a","Routine maintenance of Kolar Bilaspur road km. 1/0 to 9/0, Majra Beas Mandir road km. 0/0 to 1/900, Jagatpur Majra Parduni road km. 0/700 to 1/700, Girinagar Jaton road km. 9/0 to 12/500 and km. 22/0 to 24/500 and Jamta Rajban road km. 23/0 to 25/0 a",Please refer tender document ,NA ,"36,58,102",Civil Works - Roads,NA ,Tender,90.0,330.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,"1,500",EE Paonta Sahib,Paonta Sahib,Yes,1.0,Postponed of dates,Date,,AOC
,,,,,,,,,,,,,,,,2.0,188150.0,IQUBAL,18-Nov-2020 04:16 PM,Rejected-Technical,Not Qualified,26-Nov-2020 12:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,187633.0,Rashid Ali Civil Contractor,17-Nov-2020 09:14 PM,Accepted-AOC,L1,01-Jan-2021 12:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Scanned copy of 50 percent work done certificate for similar nature of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Bidding Capacity/C.A. annual report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,List of machinery tool plants as per schedule F Sr. No. 6.19 Ref.Clause No.18 i.e. R.C. and purchas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,.pdf,One No. Site Supervisor who has 3 years experience in road works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
