Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
16-Dec-2020,"INR 849,757",90.0,Rajesh Kumar,07-Jan-2021 11:30 AM,AOC404.pdf (450.00 KB),AOC,Er Rajesh Kumar,Internal,Er Rajesh Kumar AE Subathu Sh Deepak Walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,15-May-2020 12:03 PM,finsummary_53150.pdf (55.05 KB),Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Deepak Walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,14-May-2020 02:05 PM,14-May-2020 02:15 PM,techsummary_53150.pdf (61.74 KB),PWD,2020_PWD_36080_1,No/PW/Ksli/NIT19967-77d28/2/20,Imrpvement of black sopt on Sardighat Gharshi Diggal road in km 0/0 to 5/00,Technical,Bid Opening Summary,Satish Kumar,14-May-2020 02:00 PM,technical_53150.pdf,1.0,156270.0,amar lal,22-Mar-2020 12:08 PM,Accepted-AOC,accepted,07-Jan-2021 11:34 AM,1.0,156270.0,amar lal,INR,"967,289",Finance,Bid Opening Summary,Satish Kumar,15-May-2020 12:00 PM,finance_53150.pdf,BOQ Comparative Chart,AOC,"17,000",No,fixed,,EE Kasauli,Kasauli,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),PWD,No/PW/Ksli/NIT19967-77d28/2/20,2020_PWD_36080_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,EE HPPWD Kasauli,EE HPPWD Kasauli,11-Mar-2020 10:00 AM,25-Mar-2020 11:00 AM,11-Mar-2020 11:00 AM,24-Mar-2020 04:00 PM,NA ,NA ,11-Mar-2020 11:00 AM,24-Mar-2020 04:00 PM,14-May-2020 02:15 PM,350.0,EE Kasauli,Kasauli,No,Imrpvement of black sopt on Sardighat Gharshi Diggal road in km 0/0 to 5/00,Imrpvement of black sopt on Sardighat Gharshi Diggal road in km 0/0 to 5/00 SH Providing and erecting W metal beam crash barrier in Rd 1/200 to 1/500,Please refer Tender documents. ,NA ,"8,49,757",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156413.0,MUKESH KUMAR,24-Mar-2020 10:48 AM,Rejected-AOC,rejected,07-Jan-2021 11:34 AM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,156437.0,YOG RAJ SHARMA,24-Mar-2020 03:56 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-May-2020 02:00 PM,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,Financial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
