S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,120541.0,Madan Builders,INR,"115,716,063",Finance,Financial bid opening summary,Vishwa Nath Prasher,29-Apr-2019 01:40 PM,finance_41268.pdf,BOQ Comparative Chart,Technical,Technical bid opening summary,Vishwa Nath Prasher,20-Apr-2019 04:12 PM,technical_41268.pdf,1.0,120535.0,Ajay Kuthiala,12-Apr-2019 05:53 PM,Rejected-Finance,Non Responsive,24-Jan-2021 05:36 PM,Executive Engineer,Internal,HDM DAO SUPDT AE-II,Vishwa Nath Prasher,24-Jan-2021 05:32 PM,finsummary_41268.pdf (152.47 KB),24-Jan-2021,"INR 106,796,386",1095.0,Vishwa Nath Prasher,24-Jan-2021 05:33 PM,Awardauditorium.pdf (2575.00 KB),Award letter dated 26/09/2019,PWD,2019_PWD_28645_1,PW-BLP1-CB-eproc/19-22506-50 dt 27.2.19,Construction of Auditorium for Culture Programs atBilaspur.,Executive Engineer,Internal,AE HDM DAO SUPDT,Vishwa Nath Prasher,25-Apr-2019 11:38 AM,25-Apr-2019 11:40 AM,techsummary_41268.pdf (552.78 KB),AOC,02-Apr-2019 03:55 PM,16-Apr-2019 11:00 AM,02-Apr-2019 04:00 PM,16-Apr-2019 10:30 AM,NA ,NA ,02-Apr-2019 04:00 PM,16-Apr-2019 10:30 AM,25-Apr-2019 11:40 AM,1.0,DD - Demand Draft,"5,000","EE Division No.1, HPPWD Bilaspur",Bilaspur,No,1.0,Fee/PreQual/Technical,.pdf,Tender form cost and EMD indicated in schedule F.,Executive Engineer,"Division No.1, HPPWD Bilaspur",Construction of Auditorium for Culture Programs atBilaspur.,Building Portion.,Please refer Tender documents. ,NA ,"10,67,96,386",Civil Works - Buildings,Building Portion ,Tender,120.0,1095.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur",No ,No,1.0,Regarding change in amount of Earnest money,Fee,,PWD,PW-BLP1-CB-eproc/19-22506-50 dt 27.2.19,2019_PWD_28645_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,00,000",No,fixed,,"EE Division No.1, HPPWD Bilaspur.",Bilaspur,AOC
,,,,,,,,,,,,,,,,2.0,120587.0,", D.S.Rathore",15-Apr-2019 05:47 PM,Rejected-Finance,Non responsive,24-Jan-2021 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,Registration as per General Rule 23.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,120622.0,KDN Infrastructure Pvt. Ltd.,16-Apr-2019 09:56 AM,Rejected-Finance,Non Responsive,24-Jan-2021 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,GST EPF and PAN Number refer General Rule 26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,120600.0,Kumar Associates,16-Apr-2019 07:34 AM,Rejected-Finance,Non Responsive,24-Jan-2021 05:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate duly signed by the concerned EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,120541.0,Madan Builders,13-Apr-2019 05:20 PM,Accepted-AOC,1st lowest,24-Jan-2021 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6.0,120617.0,Pawan Kumar,15-Apr-2019 10:14 PM,Rejected-Technical,Non Responsive due to non submission of documents.,25-Apr-2019 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of machinery, tools, plants as per Sr. No. 6.19 of schedule F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List of Equipments for buildings refer Sr. No. 6.14 of schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Financial turn over for last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 of SBD duly signed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
