S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Tender Stage
1.0,190975.0,Vee Kay Systems,INR,"1,051,380",Finance,Out of 11 bids 9 were technically qualified and financially evaluated.,Anurag Sharma,02-Jan-2021 04:13 PM,finance_62896.pdf,BOQ Comparative Chart,Technical,Out of 11 Bids 2 Bids are Technically rejected by the Technical Evaluation Committee.,Anurag Sharma,30-Dec-2020 10:19 AM,technical_62896.pdf,1,191556,ASHA SCIENTIFIC WORKS,16-Dec-2020 07:52 PM,Rejected-AOC,Not Lowest Rate,06-Jan-2021 10:56 AM,06-Jan-2021,"INR 1,051,380",30.0,Anurag Sharma,06-Jan-2021 10:52 AM,PO_Switchgear_Lab.pdf (802.00 KB),Ajeet Thakur,Internal,Ravi Kumar Sanjay Kumar,Anurag Sharma,06-Jan-2021 09:42 AM,finsummary_62896.pdf (297.12 KB),Sh. Ved Prakash,Internal,Sh. Ravi Kant Sh. Tapinder Singh,Anurag Sharma,30-Dec-2020 10:23 AM,30-Dec-2020 10:30 AM,techsummary_62896.pdf (874.75 KB),Directorate of Technical Education||Engineering Colleges||A B V Govt. Inst. of Engg. and Tech. Pragatinagar,2020_DTE_42425_1,TEQIP-III/HP/ABVI/Switch Gear Lab,EE Switch Gear Lab Equipements,AOC,500.0,Director ABVGIET,Gumma (Kotkhai),No,20-Nov-2020 12:00 PM,18-Dec-2020 03:30 PM,20-Nov-2020 12:00 PM,18-Dec-2020 03:00 PM,NA ,NA ,05-Dec-2020 09:00 AM,18-Dec-2020 03:00 PM,30-Dec-2020 10:30 AM,Anurag Sharma,ABVGIET Pragatinagar Gumma Kotkhai Shimla HP,1.0,Extended Date of Submission,Date,,1.0,Fee,.pdf,Scanned copy of Tender Cost,EE Switch Gear Lab Equipements,EE Switch Gear Lab Equipements,Please refer Tender documents. ,NA ,,Electrical Work/ Equipment,NA ,Tender,90.0,30.0,ABVGIET Pragatinagar Gumma Kotkhai Shimla HP,171202.0,NA ,NA ,NA ,ABVGIET Pragatinagar Gumma Kotkhai Shimla HP,No ,No,Directorate of Technical Education||Engineering Colleges||A B V Govt. Inst. of Engg. and Tech. Pragatinagar,TEQIP-III/HP/ABVI/Switch Gear Lab,2020_DTE_42425_1,Yes,Open Tender,Lump-sum,Goods,3.0,No,No,Offline,No,No,No,"2,50,000",Yes,fixed,,Director ABVGIET,Gumma (Kotkhai),1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2,190813,Associated Scientific Corp (I),17-Dec-2020 03:06 PM,Rejected-AOC,Not Lowest Rate,06-Jan-2021 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,3,190718,DDR INTERNATIONAL,10-Dec-2020 04:39 PM,Rejected-AOC,Not Lowest Rate,06-Jan-2021 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Technical Specification with brochures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,191666,Kitek Technologies Pvt. Ltd,18-Dec-2020 01:13 PM,Rejected-AOC,Not Lowest Rate,06-Jan-2021 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,192251,Micro Mech Instruments,18-Dec-2020 01:32 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,30-Dec-2020 10:23 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,191774,M/s Premier Trading Corporation,17-Dec-2020 06:20 PM,Rejected-AOC,Not Lowest Rate,06-Jan-2021 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,190974,POWER LAB INSTRUMENTS,17-Dec-2020 08:34 PM,Rejected-AOC,Not Lowest Rate,06-Jan-2021 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,192210,quality industrial corporation,18-Dec-2020 11:43 AM,Rejected-AOC,Not Lowest Rate,06-Jan-2021 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,190675,Technozon Solutions,17-Dec-2020 08:03 PM,Rejected-AOC,Not Lowest Rate,06-Jan-2021 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,190975,Vee Kay Systems,17-Dec-2020 06:11 PM,Accepted-AOC,Lowest Rate,06-Jan-2021 10:56 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,11,191108,Vi Microsystems Private Limited,09-Dec-2020 04:16 PM,Not Admitted-PreQual/Technical,Not Complied with technical specification,30-Dec-2020 10:23 AM,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
