Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Executive Engineer,Internal,HDM DAO SUPDT,Vishwa Nath Prasher,26-Jan-2021 03:23 PM,finsummary_48225.pdf (164.70 KB),26-Jan-2021,"INR 2,229,773",90.0,Vishwa Nath Prasher,26-Jan-2021 03:24 PM,AwardLushan.pdf (642.00 KB),Award letter dated 13/01/2020,PWD,2019_PWD_33453_1,PW-BLP1-CB-eproc/19-13925-60 dt 19.11.19,Construction of link road mandrighat to kuhghat vai harizan basti Upper Lushan.,Executive Engineer,Internal,HDM DAO SUPDT,Vishwa Nath Prasher,27-Dec-2019 04:00 PM,27-Dec-2019 04:05 PM,techsummary_48225.pdf (586.09 KB),Finance,Financial bid opening summary,Vishwa Nath Prasher,26-Jan-2021 03:19 PM,finance_48225.pdf,BOQ Comparative Chart,1.0,142458.0,parmod kumar,INR,"2,663,882",Technical,Technical bid evaluation summary,Vishwa Nath Prasher,27-Dec-2019 03:54 PM,technical_48225.pdf,1,142425,A. R. Construction & Builders,25-Dec-2019 03:32 PM,Rejected-Finance,Non Responsive,26-Jan-2021 03:27 PM,AOC,1.0,DD - Demand Draft,Executive Engineer,"Division No.1, HPPWD Bilaspur",PWD,PW-BLP1-CB-eproc/19-13925-60 dt 19.11.19,2019_PWD_33453_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"41,000",No,fixed,,"EE Division No.1, HPPWD Bilaspur",Bilaspur,500.0,"EE Division No.1, HPPWD Bilaspur",Bilaspur,No,1.0,Fee/PreQual/Technical,.pdf,Tender form cost and EMD indicated in schedule F.,Construction of link road mandrighat to kuhghat vai harizan basti Upper Lushan.,"Formation cutting, Hume pipe culvert and soling.",Please refer Tender documents. ,NA ,"22,29,773",Civil Works - Roads,"Formation cutting, Hume pipe culvert and so ",Tender,120.0,90.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur",No ,No,18-Dec-2019 05:45 PM,26-Dec-2019 11:00 AM,18-Dec-2019 05:45 PM,26-Dec-2019 10:30 AM,NA ,NA ,18-Dec-2019 05:45 PM,26-Dec-2019 10:30 AM,27-Dec-2019 04:05 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,142453,Ashish Dhillon,25-Dec-2019 04:54 PM,Rejected-Finance,Non responsive,26-Jan-2021 03:27 PM,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per General Rule 23.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,142456,Deepak Sharma,25-Dec-2019 05:01 PM,Rejected-Finance,Non responsive,26-Jan-2021 03:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST EPF and PAN Number refer General Rule 26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,142094,LAKHANPAL SHARMA,23-Dec-2019 03:57 PM,Rejected-Finance,Non responsive,26-Jan-2021 03:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand certificate duly signed by the concerned EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,142458,parmod kumar,25-Dec-2019 05:08 PM,Accepted-AOC,1st lowest,26-Jan-2021 03:28 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,142379,Pawan Kumar,25-Dec-2019 01:19 PM,Rejected-Finance,Non Responsive,26-Jan-2021 03:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of machinery, tools and plants.",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,142367,Pradeep Kumar,25-Dec-2019 12:12 PM,Rejected-Technical,Non Responsive,27-Dec-2019 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,142399,Rajesh Kumar,25-Dec-2019 02:31 PM,Rejected-Finance,Non Responsive,26-Jan-2021 03:27 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,142431,RAJNEESH SINGH,25-Dec-2019 03:39 PM,Rejected-Technical,non responsive due to non submission of work done certificate,27-Dec-2019 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,142368,Rakesh Kumar,25-Dec-2019 12:08 PM,Rejected-Technical,Non Responsive,27-Dec-2019 04:00 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
