EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"16,200",No,fixed,,EE Kasauli,Kasauli,C/O Missing Culvert on Joharji Mallah road in km 0/0 to 27465,C/O Missing Culvert on Joharji Mallah road in km 0/0 to 27/465SH C/O 3.00meter span RCC Slab culvert i.e. both side wing wall at Rd 4/323,Please refer Tender documents. ,NA ,"8,09,325",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,DD - Demand Draft,PWD,No/PW/Ksli//20-18606 16dt12/2/20,2020_PWD_35687_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE HPPWD Kasauli,Kasauli,No,EE HPPWD Kasauli,EE HPPWD Kasauli,03-Mar-2020 10:00 AM,21-Mar-2020 11:00 AM,03-Mar-2020 11:00 AM,20-Mar-2020 04:00 PM,NA ,NA ,03-Mar-2020 11:00 AM,20-Mar-2020 04:00 PM,01-May-2020 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),AOC,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Deepak Walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,01-May-2020 11:53 AM,01-May-2020 02:00 PM,techsummary_52384.pdf (63.78 KB),PWD,2020_PWD_35687_1,No/PW/Ksli//20-18606 16dt12/2/20,C/O Missing Culvert on Joharji Mallah road in km 0/0 to 27465,10-Jul-2020,"INR 809,325",90.0,Rajesh Kumar,20-Aug-2020 05:40 PM,AOC93.pdf (373.00 KB),AOC,Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Deepak Walia Supdt Gr-II Sh Amar Nath Arora HDM,Satish Kumar,11-May-2020 04:19 PM,finsummary_52384.pdf (54.69 KB),Finance,Bid Opening Summary,Satish Kumar,11-May-2020 04:16 PM,finance_52384.pdf,BOQ Comparative Chart,1.0,156008.0,Sanjay Kumar,INR,"903,473",1.0,155932.0,Geeta Ram,19-Mar-2020 10:21 PM,Rejected-AOC,Accepted,20-Aug-2020 05:41 PM,Technical,Bid Opening Summary,Satish Kumar,01-May-2020 11:40 AM,technical_52384.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,156008.0,Sanjay Kumar,20-Mar-2020 01:07 PM,Accepted-AOC,accepted,20-Aug-2020 05:41 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,155883.0,SANSAR CHAND,19-Mar-2020 05:21 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-May-2020 11:40 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
