Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage
PWD,PW-BHNR-EA-Tender /2019- 1891-96 dated 24-06-2019,2019_PWD_30125_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Karchham Division HP PWD BHabanagar,11-Jul-2019 10:00 AM,22-Jul-2019 11:00 AM,11-Jul-2019 10:30 AM,20-Jul-2019 05:00 PM,NA ,NA ,11-Jul-2019 10:30 AM,20-Jul-2019 05:00 PM,22-Jul-2019 04:30 PM,1.0,DD - Demand Draft,"1,80,400",Yes,fixed,,EE Bhabanagar,Sungra/Bhabanagar,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,C.O Govt. Senior Secondary School building at Brua Distt. Kinnaur SH site development C.O Building portion i.c WS and S.I septic tank and rain water harvesting tank etc.,C.O Govt. Senior Secondary School building at Brua Distt. Kinnaur SH site development C.O Building portion i.c WS and S.I septic tank and rain water harvesting tank etc.,Please refer Tender documents. ,NA ,"1,47,90,812",Civil Works - Buildings,NA ,Tender,120.0,540.0,Brua,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,"5,000",EE Bhabanagar,Sungra/Bhabanagar,Yes,AOC,1.0,124684.0,Bhagwan singh Negi,INR,"26,788,153",Finance,summar,Pramod Kumar,13-Mar-2020 04:52 PM,finance_43453.pdf,BOQ Comparative Chart,1.0,124684.0,Bhagwan singh Negi,16-Jul-2019 03:05 PM,Accepted-AOC,awarded,03-Aug-2020 02:50 PM,Technical,opening summary,Pramod Kumar,22-Jul-2019 04:17 PM,technical_43453.pdf,PWD,2019_PWD_30125_1,PW-BHNR-EA-Tender /2019- 1891-96 dated 24-06-2019,C.O Govt. Senior Secondary School building at Brua Distt. Kinnaur SH site development C.O Building portion i.c WS and S.I septic tank and rain water harvesting tank etc.,XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Pramod Kumar,22-Jul-2019 04:20 PM,22-Jul-2019 04:30 PM,techsummary_43453.pdf (783.32 KB),XEN Rahul Sood,Internal,HDM DAO Supdt. Gr-II,Rakesh Chander Negi,03-Aug-2020 02:23 PM,finsummary_43453.pdf (783.20 KB),03-Aug-2020,"INR 14,790,812",540.0,Rakesh Chander Negi,03-Aug-2020 02:50 PM,1334-41.PDF (5065.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,.pdf,Earnest Money Deposit,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,125107.0,Vinod Kumar,18-Jul-2019 05:20 PM,Rejected-Finance,Due to L2,03-Aug-2020 02:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant",,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
