S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,59944.0,Mecgale Pneumatics Pvt. Ltd.,14-May-2019 12:09 PM,Rejected-Finance,Financially Non Responsive,16-Jul-2019 04:15 PM,1.0,59974.0,SEARS INDIA IMPEX LTD.,INR,82204144.0,Finance,All the bidders are accepted for Financial Evaluation.,Gobinda choudhury,15-Jun-2019 02:36 PM,finance_20039.pdf,BOQ Comparative Chart,Urban Development Department||Assam Urban Water Supply and Sewerage Board-UDD,2019_UDD_11589_2,UWS (T)-1072/2000/Pt-III/396,"Execution, Testing, Commissioning of all system component of Rangia Town Water Supply scheme","Dr.Numal Momin,MLA,Chairman,AUWSSB.",External,"1.Shri Ranjit Hazarika, ACS, MD, AUWSSB 2.Shri Lohit Pathak SE,PHED 3.Shri Balwant Singh,EE,PWD(B) 4.Shri Dinesh Ch. Saharia, AFS 5. Shri Azizur Rahman.CE, AUWSSB",Gobinda choudhury,16-Jul-2019 04:15 PM,finsummary_20039.pdf (4704.42 KB),26-Jul-2019,INR 1.09244E+8,540.0,Chandrakanta Singha,04-Aug-2020 03:08 PM,Rangia.pdf (8215.00 KB),"Execution, testing , commissioning of all system component of Rangia Town Water Supply scheme (with surface water source from River Barolia) including 2 (two) month trial run after commissioning for p",Technical,All the bidders are accepted for technical evaluation.,Gobinda choudhury,21-May-2019 04:14 PM,technical_20039.pdf,"Sri. Ranjit Hazarika, ACS, Managing Director",Internal,"1.Sri Azizur Rahman.CE,2.Sri Deep Bora, EE, .3.Sri Indra Mohan Sharma, AEE(i/c) ,4.Sri Gobinda ChoudharyAE, 5. Pankaj Bora AE 6. Sri Aditya Yadav, AE, 7.Smti Lipika Das,JE, 8.Smti Deepali Deur,JE, 9.",Gobinda choudhury,11-Jun-2019 03:21 PM,14-Jun-2019 12:00 PM,techsummary_20039.pdf (5020.45 KB),AOC,1.0,Corrigendum Regarding Technical Bid,Technical Bid,,1.0,Fee/PreQual/Technical,.pdf,Tender Fee and EMD,1.0,DD - Demand Draft,"21,84,880",Yes,percentage,2.0%,"Managing Director, AUWSSB","Guwahati, Assam",1,General Certificate ,PAN ,Permanent Account Number ,,Urban Development Department||Assam Urban Water Supply and Sewerage Board-UDD,UWS (T)-1072/2000/Pt-III/396,2019_UDD_11589_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"Managing Director, AUWSSB","OFFICE OF THE MANAGING DIRECTOR, ASSAM URBAN WATER SUPPLY AND SEWERAGE BOARD, AMRITPUR PATH, GANESHGURI, GUWAHATI- 6",10-Apr-2019 11:00 AM,15-May-2019 12:00 PM,10-Apr-2019 06:00 PM,14-May-2019 02:00 PM,NA ,NA ,07-May-2019 11:00 AM,14-May-2019 02:00 PM,14-Jun-2019 12:00 PM,"Execution, Testing, Commissioning of all system component of Rangia Town Water Supply scheme","Execution, Testing, Commissioning of all system component of Rangia Town Water Supply scheme (with surface water source from River Barolia) including 2 (two) month trial run after commissioning for providing 3.50 MLD (24x7) treated water",Please refer Tender documents. ,NA ,"10,92,44,000",Civil Works - Water Works,NA ,Tender,120.0,540.0,Rangia Town,781354.0,NA ,NA ,NA ,"AMRITPUR PATH, GANESHGURI, GUWAHATI- 6",No ,No,"12,000","Managing Director, AUWSSB","Guwahati, Assam",No,AOC
2.0,59950.0,M/S. D.K. ASSAM ASSOCIATES PVT. LTD.,13-May-2019 07:53 PM,Rejected-Finance,Financially Non Responsive,16-Jul-2019 04:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Tender Document, Experience, etc as per bid document",2.0,BC - Bankers Cheque,,,,,,,2,General Certificate ,Goods and Service Tax ,Goods and Service Tax Registration Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,59974.0,SEARS INDIA IMPEX LTD.,14-May-2019 01:00 PM,Accepted-AOC,L1 bidder rate accepted,04-Aug-2020 03:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Financial Bid,3.0,SS - Small Savings Instrument,,,,,,,3,General Certificate ,Trade License ,Latest Trade License Copy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,,,4,General Certificate ,Company Details ,"Partnership Deed, Co-Operative Society By Law,MOA,Company Registration Certificates,JV Consortium,Year of Incorporation Certificates ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,,,5,General Certificate ,Solvency Certificate ,Solvency Certificate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,6.0,DCR - Deposit at call receipt,,,,,,,6,General Certificate ,Other Certificates ,As Mentioned In The Tender Document ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,7.0,IPO - Indian Postal Order,,,,,,,7,P/L and Balance Sheet ,Year 1 ,Y1 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,8,P/L and Balance Sheet ,Year 2 ,Y2 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,9,P/L and Balance Sheet ,Year 3 ,Y3 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,10,P/L and Balance Sheet ,Year 4 ,Y4 Profit and Loss Statement and Balance Sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
