Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
SUPPLY AND INSTALLATION OF VARIOUS EQUIPMENTS INSTRUMENTS RELATED TO PATHOLOGY DEPARTMENT FOR ALL MEDICAL COLLEGE HOSPITALS OF ASSAM OTHER MEDICAL COLLEGE HOSPITALS ASSAM,SUPPLY AND INSTALLATION OF VARIOUS EQUIPMENTS INSTRUMENTS RELATED TO PATHOLOGY DEPARTMENT FOR ALL MEDICAL COLLEGE HOSPITALS OF ASSAM OTHER MEDICAL COLLEGE HOSPITALS ASSAM,Please refer Tender documents. ,NA ,"50,00,000",Medical Equipments/Waste,NA ,Tender,365.0,25.0,Medical College Hospitals and SCI Assam,781032.0,NA ,NA ,NA ,"DME, ASSAM, Sixmile, Khanapara",No ,No,25-Jul-2019 06:00 PM,31-Jul-2019 05:00 PM,25-Jul-2019 06:05 PM,31-Jul-2019 04:00 PM,NA ,NA ,25-Jul-2019 06:10 PM,31-Jul-2019 04:00 PM,10-Oct-2019 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,PreQualification,1.0,DD - Demand Draft,"3,00,000",No,fixed,,As mentiond in the E-Tender.,As mentiond in the E-Tender.,Health and Family Welfare Department||Directorate of Medical Education-HFWD,IFB NO. DME/116/2019/6988 DATED 28/05/2019,2019_HFWD_13698_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,"Director of Mdical Education , ASSAM","Director of Mdical Education , ASSAM, Sixmile, Khanapara","5,000",As mentiond in the E-Tender.,As mentiond in the E- Tender.,Yes,AOC,1,62605,Alliance Scientific,30-Jul-2019 06:24 PM,Accepted-AOC,Approved rate list as per minutes of the finance committee and Technical Committee meeting,04-Aug-2020 01:12 PM,Health and Family Welfare Department||Directorate of Medical Education-HFWD,2019_HFWD_13698_1,IFB NO. DME/116/2019/6988 DATED 28/05/2019,SUPPLY AND INSTALLATION OF VARIOUS EQUIPMENTS INSTRUMENTS RELATED TO PATHOLOGY DEPARTMENT FOR ALL MEDICAL COLLEGE HOSPITALS OF ASSAM OTHER MEDICAL COLLEGE HOSPITALS ASSAM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,62481,HD Consortium India Ltd.,30-Jul-2019 06:34 PM,Rejected-Finance,As per minutes of the Finance Committee Meeting,09-Dec-2019 01:09 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,62607,IMPERIAL BIOTEK,30-Jul-2019 12:36 PM,Rejected-Technical,As per Minutes of Tech. Committee Meeting and pre bid meeting,10-Oct-2019 11:39 AM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBOQ,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,62570,Jyoti Pharmaceuticals,31-Jul-2019 02:32 PM,Accepted-AOC,Approved rate list as per minutes of the finance committee and Technical Committee meeting,04-Aug-2020 01:12 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,62655,MAINDEOR ENTERPRISE,31-Jul-2019 11:34 AM,Rejected-Finance,As per minutes of the Finance Committee Meeting,09-Dec-2019 01:09 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,62668,M B Traders,31-Jul-2019 01:56 PM,Accepted-AOC,Approved rate list as per minutes of the finance committee and Technical Committee meeting,04-Aug-2020 01:12 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,62616,NJD TRADERS,30-Jul-2019 06:49 PM,Rejected-Finance,As per minutes of the Finance Committee Meeting,09-Dec-2019 01:09 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,62637,SIEMENS HEALTHCARE PVT LTD,30-Jul-2019 09:58 PM,Not Admitted-Finance,Not qualified for AOC,09-Dec-2019 12:52 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,62581,United Traders,30-Jul-2019 11:39 AM,Accepted-AOC,Approved rate list as per minutes of the finance committee and Technical Committee meeting,04-Aug-2020 01:12 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,62573,YORK SCIENTIFIC INDUSTRIES PVT. LTD.,29-Jul-2019 05:43 PM,Accepted-AOC,Approved rate list as per minutes of the finance committee and Technical Committee meeting,04-Aug-2020 01:12 PM,,,,,AOC
